Time,voted_state_val,low_confidence,voted_state,PD1_state,PD1_o_total,PD1_o_ratio,PD1_trash_ratio,PD2_state,PD2_o_total,PD2_o_ratio,PD2_trash_ratio,PD3_state,PD3_o_total,PD3_o_ratio,PD3_trash_ratio
2024-05-10 00:00:00,0,True,QUIET,QUIET,428.775,1.603,0.9737,QUIET,2063.2250000000004,2.115,0.934,QUIET,933.1749999999997,3.601,0.9224
2024-05-10 00:01:00,0,True,QUIET,QUIET,433.45000000000005,1.612,0.973,QUIET,2056.725,2.112,0.9342,QUIET,934.2249999999998,3.604,0.9215
2024-05-10 00:02:00,1,True,ELEVATED,QUIET,430.45000000000005,1.611,0.973,ELEVATED,2064.2750000000005,2.113,0.9339,ELEVATED,930.7499999999999,3.6,0.9223
2024-05-10 00:03:00,1,True,ELEVATED,QUIET,428.775,1.609,0.9728,ELEVATED,2048.15,2.11,0.9342,ELEVATED,940.1999999999999,3.607,0.9208
2024-05-10 00:04:00,1,True,ELEVATED,QUIET,428.77500000000003,1.608,0.9729,ELEVATED,2051.8250000000003,2.109,0.9342,ELEVATED,941.8,3.613,0.9206
2024-05-10 00:05:00,1,True,ELEVATED,QUIET,426.95000000000005,1.606,0.9729,ELEVATED,2066.7,2.109,0.9336,ELEVATED,934.8499999999999,3.614,0.9211
2024-05-10 00:06:00,1,True,ELEVATED,QUIET,431.70000000000005,1.605,0.9726,ELEVATED,2066.3,2.111,0.9334,ELEVATED,946.6249999999999,3.623,0.9202
2024-05-10 00:07:00,1,True,ELEVATED,QUIET,430.525,1.605,0.9727,ELEVATED,2052.8499999999995,2.109,0.934,ELEVATED,942.25,3.632,0.9201
2024-05-10 00:08:00,1,True,ELEVATED,QUIET,424.05000000000007,1.602,0.9731,ELEVATED,2051.325,2.11,0.9337,ELEVATED,942.6499999999999,3.634,0.9195
2024-05-10 00:09:00,1,True,ELEVATED,QUIET,428.025,1.601,0.9728,ELEVATED,2033.275,2.106,0.9344,ELEVATED,954.1000000000001,3.644,0.9185
2024-05-10 00:10:00,1,True,ELEVATED,QUIET,423.6,1.599,0.9728,ELEVATED,2057.675,2.104,0.9337,ELEVATED,951.7249999999999,3.657,0.9183
2024-05-10 00:11:00,1,True,ELEVATED,QUIET,426.1000000000001,1.594,0.9726,ELEVATED,2047.0749999999998,2.1,0.9338,ELEVATED,954.6500000000001,3.663,0.9178
2024-05-10 00:12:00,1,True,ELEVATED,QUIET,431.5,1.595,0.9716,ELEVATED,2035.1750000000002,2.096,0.9339,ELEVATED,956.525,3.674,0.9175
2024-05-10 00:13:00,1,True,ELEVATED,QUIET,424.925,1.596,0.9718,ELEVATED,2041.7750000000005,2.094,0.9339,ELEVATED,947.2999999999997,3.677,0.9178
2024-05-10 00:14:00,1,True,ELEVATED,QUIET,425.125,1.594,0.9717,ELEVATED,2021.9000000000005,2.092,0.9343,ELEVATED,955.7249999999999,3.679,0.917
2024-05-10 00:15:00,1,True,ELEVATED,QUIET,428.0000000000001,1.597,0.9715,ELEVATED,2054.8500000000004,2.092,0.9331,ELEVATED,976.25,3.698,0.9154
2024-05-10 00:16:00,1,True,ELEVATED,QUIET,435.94999999999993,1.604,0.971,ELEVATED,2059.55,2.094,0.9326,ELEVATED,973.2,3.712,0.9153
2024-05-10 00:17:00,1,True,ELEVATED,QUIET,438.57500000000005,1.61,0.9708,ELEVATED,2061.175,2.099,0.933,ELEVATED,996.8,3.743,0.9133
2024-05-10 00:18:00,1,True,ELEVATED,QUIET,435.50000000000006,1.617,0.9709,ELEVATED,2083.225,2.108,0.932,ELEVATED,995.125,3.78,0.9135
2024-05-10 00:19:00,1,True,ELEVATED,QUIET,439.67500000000007,1.628,0.9706,ELEVATED,2072.4000000000005,2.118,0.9323,ELEVATED,1003.4000000000001,3.817,0.9121
2024-05-10 00:20:00,1,True,ELEVATED,QUIET,430.1,1.63,0.9711,ELEVATED,2046.0,2.116,0.9324,ELEVATED,996.925,3.833,0.9123
2024-05-10 00:21:00,1,True,ELEVATED,QUIET,437.17500000000007,1.631,0.9704,ELEVATED,2052.9249999999997,2.115,0.9323,ELEVATED,993.8499999999999,3.849,0.9121
2024-05-10 00:22:00,1,True,ELEVATED,QUIET,436.35000000000014,1.629,0.9703,ELEVATED,2045.125,2.112,0.9325,ELEVATED,995.9249999999997,3.848,0.9115
2024-05-10 00:23:00,1,True,ELEVATED,QUIET,427.275,1.623,0.9709,ELEVATED,2048.625,2.105,0.9324,ELEVATED,995.6999999999998,3.848,0.9115
2024-05-10 00:24:00,1,True,ELEVATED,QUIET,430.52500000000003,1.616,0.9702,ELEVATED,2042.5249999999996,2.099,0.9324,ELEVATED,979.1249999999998,3.83,0.9124
2024-05-10 00:25:00,1,True,ELEVATED,QUIET,423.6,1.611,0.9703,ELEVATED,2015.2749999999999,2.092,0.9333,ELEVATED,968.125,3.807,0.9129
2024-05-10 00:26:00,1,True,ELEVATED,QUIET,422.92499999999995,1.601,0.9703,ELEVATED,2016.875,2.085,0.9332,ELEVATED,974.05,3.792,0.9122
2024-05-10 00:27:00,1,True,ELEVATED,QUIET,425.79999999999995,1.593,0.97,ELEVATED,2010.2750000000005,2.078,0.9334,ELEVATED,990.15,3.788,0.9108
2024-05-10 00:28:00,1,True,ELEVATED,QUIET,424.125,1.59,0.9699,ELEVATED,2017.1000000000004,2.071,0.9332,ELEVATED,985.6499999999999,3.78,0.9111
2024-05-10 00:29:00,1,True,ELEVATED,QUIET,422.85,1.585,0.9699,ELEVATED,2017.0749999999998,2.066,0.9331,ELEVATED,994.425,3.792,0.9099
2024-05-10 00:30:00,1,True,ELEVATED,QUIET,426.45000000000005,1.587,0.9696,ELEVATED,2010.7000000000005,2.065,0.9334,ELEVATED,1008.3499999999999,3.823,0.9087
2024-05-10 00:31:00,1,True,ELEVATED,QUIET,430.0999999999999,1.592,0.9692,ELEVATED,2010.4249999999997,2.064,0.9334,ELEVATED,999.825,3.843,0.9089
2024-05-10 00:32:00,1,True,ELEVATED,QUIET,431.15000000000003,1.596,0.9692,ELEVATED,2003.8000000000002,2.063,0.9336,ELEVATED,1007.95,3.856,0.9071
2024-05-10 00:33:00,1,True,ELEVATED,QUIET,425.72499999999997,1.597,0.9696,ELEVATED,2000.6,2.059,0.9337,ELEVATED,1017.8500000000001,3.881,0.9068
2024-05-10 00:34:00,1,True,ELEVATED,QUIET,431.07499999999993,1.604,0.9692,ELEVATED,2005.0499999999997,2.057,0.9335,ELEVATED,1030.1749999999997,3.909,0.9048
2024-05-10 00:35:00,1,True,ELEVATED,QUIET,438.92499999999995,1.613,0.9685,ELEVATED,2026.3000000000002,2.06,0.9329,ELEVATED,1062.9999999999998,3.951,0.9017
2024-05-10 00:36:00,1,True,ELEVATED,QUIET,447.1999999999998,1.626,0.9679,ELEVATED,2055.0750000000003,2.069,0.932,ELEVATED,1078.875,4.012,0.9003
2024-05-10 00:37:00,1,True,ELEVATED,QUIET,450.35,1.64,0.9673,ELEVATED,2038.975,2.076,0.9325,ELEVATED,1098.75,4.082,0.8986
2024-05-10 00:38:00,1,True,ELEVATED,QUIET,446.5749999999999,1.656,0.9669,ELEVATED,2057.025,2.088,0.9319,ELEVATED,1076.35,4.127,0.9004
2024-05-10 00:39:00,1,True,ELEVATED,QUIET,446.625,1.667,0.9665,ELEVATED,2024.9249999999997,2.092,0.9329,ELEVATED,1064.5,4.154,0.9012
2024-05-10 00:40:00,1,True,ELEVATED,QUIET,446.0250000000001,1.673,0.9664,ELEVATED,2019.1750000000002,2.09,0.9331,ELEVATED,1068.425,4.158,0.9007
2024-05-10 00:41:00,1,True,ELEVATED,QUIET,451.1,1.675,0.966,ELEVATED,2032.1499999999999,2.086,0.9327,ELEVATED,1078.8999999999999,4.158,0.8993
2024-05-10 00:42:00,1,True,ELEVATED,QUIET,449.67499999999995,1.675,0.966,ELEVATED,2029.075,2.084,0.9328,ELEVATED,1097.8999999999999,4.157,0.8973
2024-05-10 00:43:00,1,True,ELEVATED,QUIET,459.95000000000005,1.685,0.9653,ELEVATED,2033.9999999999995,2.079,0.9326,ELEVATED,1110.675,4.184,0.8948
2024-05-10 00:44:00,1,True,ELEVATED,QUIET,466.17500000000007,1.7,0.9648,ELEVATED,2046.1999999999998,2.083,0.9323,ELEVATED,1127.2499999999998,4.232,0.8932
2024-05-10 00:45:00,1,True,ELEVATED,QUIET,463.5,1.713,0.965,ELEVATED,2044.9500000000003,2.089,0.9323,ELEVATED,1131.875,4.281,0.8924
2024-05-10 00:46:00,1,True,ELEVATED,QUIET,458.4,1.718,0.9654,ELEVATED,2020.0249999999999,2.086,0.9331,ELEVATED,1113.05,4.308,0.8939
2024-05-10 00:47:00,1,True,ELEVATED,QUIET,456.42499999999995,1.723,0.9655,ELEVATED,2015.6,2.083,0.9332,ELEVATED,1111.0749999999998,4.318,0.8937
2024-05-10 00:48:00,1,True,ELEVATED,QUIET,451.25,1.717,0.9658,ELEVATED,2003.9250000000002,2.077,0.9336,ELEVATED,1103.025,4.312,0.8943
2024-05-10 00:49:00,1,True,ELEVATED,QUIET,448.425,1.703,0.9659,ELEVATED,1997.4999999999995,2.067,0.9338,ELEVATED,1090.225,4.283,0.8954
2024-05-10 00:50:00,1,True,ELEVATED,QUIET,442.675,1.688,0.9661,ELEVATED,1977.7500000000005,2.053,0.9344,ELEVATED,1099.975,4.259,0.8943
2024-05-10 00:51:00,1,True,ELEVATED,QUIET,447.625,1.68,0.9655,ELEVATED,1967.3250000000003,2.043,0.9347,ELEVATED,1104.7499999999995,4.252,0.8936
2024-05-10 00:52:00,1,True,ELEVATED,QUIET,442.95000000000005,1.67,0.9657,ELEVATED,1974.2250000000001,2.034,0.9344,ELEVATED,1105.175,4.248,0.8933
2024-05-10 00:53:00,1,True,ELEVATED,QUIET,448.275,1.667,0.965,ELEVATED,1974.35,2.028,0.9345,ELEVATED,1115.375,4.257,0.8917
2024-05-10 00:54:00,1,True,ELEVATED,QUIET,452.1,1.67,0.9645,ELEVATED,1963.35,2.021,0.9348,ELEVATED,1128.1499999999996,4.287,0.891
2024-05-10 00:55:00,1,True,ELEVATED,QUIET,459.8999999999999,1.683,0.9639,ELEVATED,1977.2500000000005,2.021,0.9344,ELEVATED,1136.75,4.315,0.8883
2024-05-10 00:56:00,1,True,ELEVATED,QUIET,451.275,1.686,0.9645,ELEVATED,1970.3500000000001,2.022,0.9345,ELEVATED,1125.025,4.331,0.889
2024-05-10 00:57:00,1,True,ELEVATED,QUIET,453.39999999999986,1.694,0.9644,ELEVATED,1967.4,2.02,0.9346,ELEVATED,1128.575,4.349,0.8882
2024-05-10 00:58:00,1,True,ELEVATED,QUIET,446.00000000000006,1.692,0.9649,ELEVATED,1964.2,2.018,0.9346,ELEVATED,1139.2999999999997,4.367,0.8872
2024-05-10 00:59:00,1,True,ELEVATED,QUIET,446.775,1.688,0.9649,ELEVATED,1949.625,2.015,0.9352,ELEVATED,1138.8500000000001,4.375,0.8869
2024-05-10 01:00:00,1,True,ELEVATED,QUIET,447.77499999999986,1.679,0.9643,ELEVATED,1937.4750000000001,2.007,0.9356,ELEVATED,1135.2,4.374,0.8874
2024-05-10 01:01:00,1,True,ELEVATED,QUIET,443.85,1.673,0.9643,ELEVATED,1933.7500000000005,2.0,0.9357,ELEVATED,1134.5749999999998,4.382,0.8868
2024-05-10 01:02:00,1,True,ELEVATED,QUIET,440.725,1.664,0.9642,ELEVATED,1930.6499999999999,1.992,0.9358,ELEVATED,1132.275,4.384,0.887
2024-05-10 01:03:00,1,True,ELEVATED,QUIET,448.8,1.666,0.9634,ELEVATED,1916.2750000000005,1.982,0.9363,ELEVATED,1127.6,4.375,0.8871
2024-05-10 01:04:00,1,True,ELEVATED,QUIET,443.9,1.664,0.9637,ELEVATED,1919.1749999999997,1.976,0.9362,ELEVATED,1141.575,4.378,0.8848
2024-05-10 01:05:00,1,True,ELEVATED,QUIET,447.8499999999999,1.664,0.9635,ELEVATED,1923.6250000000002,1.973,0.9361,ELEVATED,1158.6749999999997,4.396,0.8831
