onset,peak,end,peak_pfu,duration_hr,flare_max_ut,flare_lead_min,xray_class,xray_numeric,optical_class,optical_numeric,ar_location,ar_latitude,ar_longitude,cme_direction,ar_region
2021-05-29 03:00,2021-05-29 03:20,2021-05-31 03:20,15,0.33,2021-05-28 23:12,228.0,C9,90.0,1F,1.0,N18W70,18.0,70.0,NW,2824
2021-10-30 21:00,2021-10-30 21:05,2021-11-01 21:05,11,0.08,,,,,,,S26E15,-26.0,-15.0,SE,2887
2022-01-20 08:00,2022-01-20 10:15,2022-01-22 10:15,22,2.25,2022-01-20 06:01,119.0,M5,500.0,1F,1.0,N08W68,8.0,68.0,NW,2929
2022-03-28 13:25,2022-03-28 14:50,2022-03-30 14:50,19,1.42,2022-03-28 11:30,115.0,M4.0,400.0,,,N13W06,13.0,6.0,NW,2975
2022-03-31 06:20,2022-03-31 06:30,2022-04-02 06:30,11,0.17,2022-03-28 11:29,4011.0,M4.0,400.0,,,N13W06,13.0,6.0,NW,2975
2022-04-02 14:30,2022-04-02 16:00,2022-04-04 16:00,32,1.5,2022-04-02 13:55,35.0,M4,400.0,1N,2.0,N14W65,14.0,65.0,NW,2975
2023-07-18 01:15,2023-07-18 06:15,2023-07-20 06:15,620,5.0,2023-07-18 00:06,69.0,,,,,S25W78,-25.0,78.0,SW,3363
2023-07-29 00:20,2023-07-29 09:20,2023-07-31 09:20,154,9.0,2023-07-28 15:58,502.0,,,,,N27W108,27.0,108.0,NW,3376
2023-09-01 04:30,2023-09-01 06:10,2023-09-03 06:10,26,1.67,2023-09-01 03:51,39.0,,,,,N13W68,13.0,68.0,NW,3413
2024-01-03 20:05,2024-01-04 08:35,2024-01-06 08:35,20,12.5,2023-12-31 21:35,4230.0,X5,5000.0,3B,4.0,N04E73,4.0,-73.0,NE,3536
2024-01-29 06:15,2024-01-29 18:05,2024-01-31 18:05,137,11.83,2024-01-29 04:38,97.0,M6,600.0,SF,0.0,N29W85,29.0,85.0,NW,3559
2024-02-09 15:30,2024-02-09 23:55,2024-02-11 23:55,187,8.42,2024-02-09 13:14,136.0,X3.3,3300.0,,,S16E14,-16.0,-14.0,SW,3575
2024-05-10 13:35,2024-05-10 17:45,2024-05-12 17:45,207,4.17,2024-05-10 06:54,401.0,X4,4000.0,2B,3.0,S20W26,-20.0,26.0,SW,3664
2024-05-13 14:00,2024-05-14 05:20,2024-05-16 05:20,121,15.33,2024-05-13 09:44,256.0,M6,600.0,SF,0.0,S19W87,-19.0,87.0,SW,3664
2024-09-09 16:40,2024-09-09 22:50,2024-09-11 22:50,34,6.17,2024-09-09 03:32,788.0,M1.0,100.0,,,S11W88,-11.0,88.0,SW,3806
2024-09-17 07:35,2024-09-17 10:50,2024-09-19 10:50,33,3.25,2024-09-14 15:29,3846.0,X4,4000.0,2B,3.0,S18E62,-18.0,-62.0,SE,3825
2024-10-09 05:05,2024-10-10 15:15,2024-10-12 15:15,1810,34.17,2024-10-09 01:56,189.0,X1.8,1800.0,,,N12W25,12.0,25.0,NW,3848
