onset,peak,end,peak_pfu,duration_hr,flare_max_ut,flare_lead_min,xray_class,xray_numeric,optical_class,optical_numeric,ar_location,ar_latitude,ar_longitude,cme_direction,ar_region
1976-04-30 21:20,1976-05-01 17:00,1976-05-03 17:00,12,19.67,1976-04-30 21:14,6.0,X2,2000.0,2B,3.0,S09W47,-9.0,47.0,,700
1977-09-19 14:30,1977-09-19 21:30,1977-09-21 21:30,200,7.0,1977-09-19 10:54,216.0,X2,2000.0,3B,4.0,N08W58,8.0,58.0,,889
1977-11-22 14:00,1977-11-22 18:00,1977-11-24 18:00,160,4.0,1977-11-22 10:06,234.0,X1,1000.0,2N,3.0,N24W38,24.0,38.0,,939
1978-02-13 09:30,1978-02-14 10:00,1978-02-16 10:00,850,24.5,1978-02-13 02:55,395.0,M7,700.0,0B,,N22W13,22.0,13.0,,1001
1978-04-11 15:30,1978-04-11 16:30,1978-04-13 16:30,65,1.0,1978-04-11 13:53,97.0,X2,2000.0,2B,3.0,N19W54,19.0,54.0,,1057
1978-04-29 04:45,1978-04-30 20:00,1978-05-02 20:00,1000,39.25,1978-04-28 13:06,939.0,X5,5000.0,4B,5.0,N22E41,22.0,-41.0,,1092
1978-05-07 04:20,1978-05-07 04:20,1978-05-09 04:20,100,0.0,1978-05-07 03:30,50.0,X2,2000.0,2B,3.0,N22W64,22.0,64.0,,1095
1978-06-02 07:30,1978-06-02 09:35,1978-06-04 09:35,19,2.08,1978-05-31 10:09,2721.0,M5,500.0,2B,3.0,N23W50,23.0,50.0,,1129
1978-06-24 09:00,1978-06-25 02:30,1978-06-27 02:30,25,17.5,1978-06-22 17:09,2391.0,M2,200.0,3B,4.0,N19E18,19.0,-18.0,,1164
1978-07-13 03:00,1978-07-13 10:00,1978-07-15 10:00,20,7.0,,,,,,,,,,,
1978-09-23 10:35,1978-09-24 04:00,1978-09-26 04:00,2200,17.42,1978-09-23 10:23,12.0,X1,1000.0,3B,4.0,N35W50,35.0,50.0,,1294
1978-11-10 21:30,1978-11-10 21:40,1978-11-12 21:40,38,0.17,1978-11-10 00:42,1248.0,M1,100.0,2N,3.0,N17E02,17.0,-2.0,,1385
1979-02-17 20:20,1979-02-17 22:05,1979-02-19 22:05,31,1.75,1979-02-16 02:00,2540.0,X2,2000.0,2B,3.0,N15E48,15.0,-48.0,,1574
1979-04-03 16:00,1979-04-03 23:10,1979-04-05 23:10,45,7.17,,,,,,,,,,,
1979-06-06 18:50,1979-06-07 00:05,1979-06-09 00:05,950,5.25,1979-06-05 05:29,2241.0,X2,2000.0,1N,2.0,N20E16,20.0,-16.0,,1781
1979-07-07 00:15,1979-07-07 10:10,1979-07-09 10:10,50,9.92,,,,,,,,,,,
1979-08-19 08:50,1979-08-21 07:40,1979-08-23 07:40,500,46.83,1979-08-18 14:16,1114.0,X6,6000.0,1B,2.0,N10E90,10.0,-90.0,,1943
1979-09-15 15:00,1979-09-16 12:00,1979-09-18 12:00,60,21.0,1979-09-14 08:02,1858.0,X2,2000.0,,,N10E90,10.0,-90.0,,1994
1979-11-16 04:30,1979-11-16 13:00,1979-11-18 13:00,75,8.5,1979-11-15 16:39,711.0,M1,100.0,0B,,N34W25,34.0,25.0,,2110
1980-02-06 13:40,1980-02-06 18:50,1980-02-08 18:50,12,5.17,,,,,,,,,,,
1980-07-17 23:00,1980-07-19 19:30,1980-07-21 19:30,100,44.5,1980-07-17 06:03,1017.0,M3,300.0,1B,2.0,S12E06,-12.0,-6.0,,2562
1981-03-30 09:00,1981-03-30 21:15,1981-04-01 21:15,30,12.25,1981-03-30 00:49,491.0,M3,300.0,2N,3.0,N13W74,13.0,74.0,,2993
