onset,peak,end,peak_pfu,year,month,flare_lead_min,xray_class,ar_longitude,PD1_in_data,PD1_pre_mean,PD1_post_mean,PD1_event_mean,PD1_event_max,PD1_event_min,PD1_event_std,PD1_bg_mean,PD1_max_ratio,PD1_max_ratio_t,PD1_ksem_peak_t,PD1_ksem_rise_min,PD1_snr_ratio,PD2_in_data,PD2_pre_mean,PD2_post_mean,PD2_event_mean,PD2_event_max,PD2_event_min,PD2_event_std,PD2_bg_mean,PD2_max_ratio,PD2_max_ratio_t,PD2_ksem_peak_t,PD2_ksem_rise_min,PD2_snr_ratio,PD3_in_data,PD3_pre_mean,PD3_post_mean,PD3_event_mean,PD3_event_max,PD3_event_min,PD3_event_std,PD3_bg_mean,PD3_max_ratio,PD3_max_ratio_t,PD3_ksem_peak_t,PD3_ksem_rise_min,PD3_snr_ratio,max_ratio_any,max_ratio_mean_pd,required_mult,in_data,detectable_x1.25,detectable_x2,detectable_x3,detectable_x5,detectable_x7,detectable_x10,detectable_x15,detectable_x20,detectable_x21,detectable_x25,detectable_x30,detectable_x50
2021-05-29 03:00:00,2021-05-29 03:20:00,2021-05-31 03:20:00,15,2021,5,228.0,C9,70.0,True,5330.6,946.9,1278.2,6465.1,621.5,1247.7,5257.6,1.23,2021-05-29 03:00:00,2021-05-29 03:00:00,0.0,0.24,True,4765.6,4118.0,4746.8,8361.9,2181.8,2167.1,5582.1,1.498,2021-05-29 05:00:00,2021-05-29 05:00:00,120.0,0.996,True,2370.4,2712.8,2491.7,4291.7,909.7,1118.4,3598.4,1.193,2021-05-29 06:00:00,2021-05-29 06:00:00,180.0,1.051,1.498,1.307,1.423,True,True,False,False,False,False,False,False,False,False,False,False,False
2021-10-30 21:00:00,2021-10-30 21:05:00,2021-11-01 21:05:00,11,2021,10,,,-15.0,True,121.1,774.3,294.9,2963.6,26.9,333.3,192.0,15.436,2021-10-31 12:45:00,2021-10-31 12:45:00,945.0,2.435,True,4116.6,4989.5,4416.0,7132.5,1835.3,1662.4,4229.0,1.687,2021-11-01 00:30:00,2021-11-01 00:30:00,1650.0,1.073,True,148.3,673.9,224.0,807.9,16.7,203.0,265.8,3.04,2021-10-31 12:45:00,2021-10-31 12:45:00,945.0,1.51,15.436,6.721,14.664,True,True,True,True,True,True,True,True,False,False,False,False,False
2022-01-20 08:00:00,2022-01-20 10:15:00,2022-01-22 10:15:00,22,2022,1,119.0,M5,68.0,True,7622.4,7049.5,7586.2,9852.2,4406.7,1319.2,6242.4,1.578,2022-01-21 02:15:00,2022-01-21 02:15:00,1095.0,0.995,True,7413.3,6518.9,6746.7,10590.2,2633.8,1890.8,6586.9,1.608,2022-01-21 02:45:00,2022-01-21 02:45:00,1125.0,0.91,True,5674.6,5974.8,6095.8,10064.3,663.1,2104.6,5435.1,1.852,2022-01-21 05:45:00,2022-01-21 05:45:00,1305.0,1.074,1.852,1.679,1.759,True,True,False,False,False,False,False,False,False,False,False,False,False
2022-03-28 13:25:00,2022-03-28 14:50:00,2022-03-30 14:50:00,19,2022,3,115.0,M4.0,6.0,True,5357.5,5110.1,5737.7,7733.4,4345.7,877.8,5081.3,1.522,2022-03-29 01:30:00,2022-03-29 01:30:00,725.0,1.071,True,4821.6,4225.9,5419.5,9639.6,2236.2,2463.9,3974.0,2.426,2022-03-29 03:30:00,2022-03-29 03:30:00,845.0,1.124,True,2713.4,2137.0,3577.0,6493.3,1099.0,1391.7,2686.2,2.417,2022-03-29 03:30:00,2022-03-29 03:30:00,845.0,1.318,2.426,2.122,2.304,True,True,True,False,False,False,False,False,False,False,False,False,False
2022-03-31 06:20:00,2022-03-31 06:30:00,2022-04-02 06:30:00,11,2022,3,4011.0,M4.0,6.0,True,5239.2,5612.7,5160.6,8373.9,3747.3,1107.9,5362.3,1.562,2022-04-02 02:15:00,2022-04-02 02:15:00,2635.0,0.985,True,4562.9,7498.1,4294.4,9678.2,1599.7,2424.6,4793.5,2.019,2022-04-02 03:30:00,2022-04-02 03:30:00,2710.0,0.941,True,2541.8,5502.0,2333.3,7523.6,499.1,1625.2,2810.0,2.677,2022-04-02 01:45:00,2022-04-02 01:45:00,2605.0,0.918,2.677,2.086,2.544,True,True,True,False,False,False,False,False,False,False,False,False,False
2022-04-02 14:30:00,2022-04-02 16:00:00,2022-04-04 16:00:00,32,2022,4,35.0,M4,65.0,True,5691.0,2930.4,4436.5,7437.9,1018.2,1428.1,5263.0,1.413,2022-04-02 22:30:00,2022-04-02 22:30:00,480.0,0.78,True,4996.7,6642.6,8062.7,13784.4,3130.9,3352.1,5397.6,2.554,2022-04-03 04:00:00,2022-04-03 04:00:00,810.0,1.614,True,3296.5,5507.6,6864.2,12745.2,2122.6,3112.7,3512.9,3.628,2022-04-04 06:45:00,2022-04-04 06:45:00,2415.0,2.082,3.628,2.532,3.447,True,True,True,True,False,False,False,False,False,False,False,False,False
2023-07-18 01:15:00,2023-07-18 06:15:00,2023-07-20 06:15:00,620,2023,7,69.0,,78.0,True,3596.4,2814.3,3619.4,5048.7,1814.3,550.4,3864.4,1.306,2023-07-20 04:30:00,2023-07-20 04:30:00,3075.0,1.006,True,3525.1,4827.8,6260.0,11192.5,3035.9,2787.9,3859.7,2.9,2023-07-20 04:30:00,2023-07-20 04:30:00,3075.0,1.776,True,406.9,2745.3,3795.5,6171.0,2191.8,831.6,1051.8,5.867,2023-07-20 04:30:00,2023-07-20 04:30:00,3075.0,9.328,5.867,3.358,5.574,True,True,True,True,True,False,False,False,False,False,False,False,False
2023-07-29 00:20:00,2023-07-29 09:20:00,2023-07-31 09:20:00,154,2023,7,502.0,,108.0,True,5760.9,5819.4,5607.0,7406.9,4211.1,915.5,5416.4,1.367,2023-07-29 02:00:00,2023-07-29 02:00:00,100.0,0.973,True,4766.1,4371.6,4878.4,8849.2,1815.4,2325.2,4456.7,1.986,2023-07-29 06:15:00,2023-07-29 06:15:00,355.0,1.024,True,3229.7,4135.4,3392.5,6582.4,1109.5,1534.0,2953.0,2.229,2023-07-29 06:15:00,2023-07-29 06:15:00,355.0,1.05,2.229,1.861,2.118,True,True,True,False,False,False,False,False,False,False,False,False,False
2023-09-01 04:30:00,2023-09-01 06:10:00,2023-09-03 06:10:00,26,2023,9,39.0,,68.0,True,1118.6,5288.2,2210.0,7899.9,397.2,1691.5,1287.6,6.136,2023-09-03 02:30:00,2023-09-03 02:30:00,2760.0,1.976,True,2415.5,3671.2,3337.7,9633.3,1246.9,1559.7,3045.1,3.164,2023-09-02 21:30:00,2023-09-02 21:30:00,2460.0,1.382,True,1570.4,3165.1,2246.2,6294.9,426.4,1456.8,1661.3,3.789,2023-09-03 02:45:00,2023-09-03 02:45:00,2775.0,1.43,6.136,4.363,5.829,True,True,True,True,True,False,False,False,False,False,False,False,False
2024-01-03 20:05:00,2024-01-04 08:35:00,2024-01-06 08:35:00,20,2024,1,4230.0,X5,-73.0,True,4378.0,4403.9,4290.4,6920.0,2850.5,1181.3,4265.8,1.622,2024-01-05 20:15:00,2024-01-05 20:15:00,2890.0,0.98,True,4487.8,4464.2,4530.6,6789.1,2403.2,1508.5,4305.8,1.577,2024-01-04 06:30:00,2024-01-04 06:30:00,625.0,1.01,True,1986.4,1964.8,1904.6,2776.6,1000.9,615.6,1775.9,1.564,2024-01-06 03:45:00,2024-01-06 03:45:00,3340.0,0.959,1.622,1.587,1.541,True,True,False,False,False,False,False,False,False,False,False,False,False
2024-01-29 06:15:00,2024-01-29 18:05:00,2024-01-31 18:05:00,137,2024,1,97.0,M6,85.0,True,3993.5,4373.8,4106.3,5787.4,2579.1,884.0,4019.7,1.44,2024-01-31 18:00:00,2024-01-31 18:00:00,3585.0,1.028,True,1773.8,2410.3,2054.7,3653.5,1101.7,596.3,1822.1,2.005,2024-01-30 05:45:00,2024-01-30 05:45:00,1410.0,1.158,True,1796.4,2362.7,2206.4,3443.0,1442.7,508.6,1886.3,1.825,2024-01-31 01:45:00,2024-01-31 01:45:00,2610.0,1.228,2.005,1.757,1.905,True,True,True,False,False,False,False,False,False,False,False,False,False
2024-02-09 15:30:00,2024-02-09 23:55:00,2024-02-11 23:55:00,187,2024,2,136.0,X3.3,-14.0,True,3961.2,720.1,1729.8,5687.1,38.7,2000.1,3629.4,1.567,2024-02-09 19:30:00,2024-02-09 19:30:00,240.0,0.437,True,1804.0,2887.7,2000.4,3090.7,1047.1,602.4,1822.7,1.696,2024-02-10 17:45:00,2024-02-10 17:45:00,1575.0,1.109,True,153.6,2569.9,1768.5,2385.4,116.1,348.1,544.9,4.377,2024-02-11 01:45:00,2024-02-11 01:45:00,2055.0,11.514,4.377,2.547,4.158,True,True,True,True,False,False,False,False,False,False,False,False,False
