onset,peak,end,peak_pfu,year,month,flare_lead_min,xray_class,ar_longitude,PD1_in_data,PD1_pre_mean,PD1_post_mean,PD1_event_mean,PD1_event_max,PD1_event_min,PD1_event_std,PD1_bg_mean,PD1_max_ratio,PD1_max_ratio_t,PD1_ksem_peak_t,PD1_ksem_rise_min,PD1_snr_ratio,PD2_in_data,PD2_pre_mean,PD2_post_mean,PD2_event_mean,PD2_event_max,PD2_event_min,PD2_event_std,PD2_bg_mean,PD2_max_ratio,PD2_max_ratio_t,PD2_ksem_peak_t,PD2_ksem_rise_min,PD2_snr_ratio,PD3_in_data,PD3_pre_mean,PD3_post_mean,PD3_event_mean,PD3_event_max,PD3_event_min,PD3_event_std,PD3_bg_mean,PD3_max_ratio,PD3_max_ratio_t,PD3_ksem_peak_t,PD3_ksem_rise_min,PD3_snr_ratio,max_ratio_any,max_ratio_mean_pd,required_mult,in_data,detectable_x1.25,detectable_x2,detectable_x3,detectable_x5,detectable_x7,detectable_x10,detectable_x15,detectable_x20,detectable_x21,detectable_x25,detectable_x30,detectable_x50
2021-05-29 03:00:00,2021-05-29 03:20:00,2021-05-31 03:20:00,15,2021,5,228.0,C9,70.0,True,0.9,0.8,0.9,1.4,0.7,0.1,1.0,1.42,2021-05-29 03:30:00,2021-05-29 03:30:00,30.0,1.0,True,0.9,0.7,0.8,1.3,0.6,0.1,1.0,1.303,2021-05-29 03:00:00,2021-05-29 03:00:00,0.0,0.889,True,1.0,0.9,1.0,1.6,0.7,0.1,1.0,1.573,2021-05-29 03:15:00,2021-05-29 03:15:00,15.0,1.0,1.573,1.432,1.495,True,True,False,False,False,False,False,False,False,False,False,False,False
2021-10-30 21:00:00,2021-10-30 21:05:00,2021-11-01 21:05:00,11,2021,10,,,-15.0,True,8.2,1.0,2.2,4.7,1.2,0.9,7.4,0.629,2021-10-30 21:00:00,2021-10-30 21:00:00,0.0,0.268,True,7.5,0.9,2.0,4.0,1.0,0.9,6.8,0.594,2021-10-30 21:15:00,2021-10-30 21:15:00,15.0,0.267,True,8.9,1.1,2.4,5.0,1.2,1.0,8.4,0.597,2021-10-30 22:00:00,2021-10-30 22:00:00,60.0,0.27,0.629,0.606,0.597,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-20 08:00:00,2022-01-20 10:15:00,2022-01-22 10:15:00,22,2022,1,119.0,M5,68.0,True,1.5,0.7,2.1,9.4,0.6,2.2,1.3,6.975,2022-01-20 09:15:00,2022-01-20 09:15:00,75.0,1.4,True,1.9,0.7,1.9,8.4,0.6,2.0,1.4,6.133,2022-01-20 09:00:00,2022-01-20 09:00:00,60.0,1.0,True,1.6,0.9,2.4,8.9,0.7,2.3,1.6,5.749,2022-01-20 10:30:00,2022-01-20 10:30:00,150.0,1.5,6.975,6.286,6.626,True,True,True,True,True,False,False,False,False,False,False,False,False
2022-03-28 13:25:00,2022-03-28 14:50:00,2022-03-30 14:50:00,19,2022,3,115.0,M4.0,6.0,True,1.0,1.7,2.1,11.1,0.6,2.4,1.2,8.901,2022-03-28 13:30:00,2022-03-28 13:30:00,5.0,2.1,True,1.1,1.7,2.2,11.0,0.6,2.4,1.3,8.641,2022-03-28 13:30:00,2022-03-28 13:30:00,5.0,2.0,True,1.3,2.1,2.6,14.1,0.7,2.9,1.5,9.132,2022-03-28 13:30:00,2022-03-28 13:30:00,5.0,2.0,9.132,8.891,8.675,True,True,True,True,True,True,False,False,False,False,False,False,False
2022-03-31 06:20:00,2022-03-31 06:30:00,2022-04-02 06:30:00,11,2022,3,4011.0,M4.0,6.0,True,1.2,2.8,1.0,3.1,0.5,0.6,1.6,2.009,2022-03-31 06:30:00,2022-03-31 06:30:00,10.0,0.833,True,1.2,2.7,1.1,3.1,0.6,0.6,1.6,1.951,2022-03-31 07:15:00,2022-03-31 07:15:00,55.0,0.917,True,1.5,3.3,1.3,3.6,0.6,0.7,1.9,1.869,2022-03-31 06:45:00,2022-03-31 06:45:00,25.0,0.867,2.009,1.943,1.909,True,True,True,False,False,False,False,False,False,False,False,False,False
2022-04-02 14:30:00,2022-04-02 16:00:00,2022-04-04 16:00:00,32,2022,4,35.0,M4,65.0,True,0.9,0.7,1.7,12.1,0.6,2.2,1.4,8.589,2022-04-02 14:45:00,2022-04-02 14:45:00,15.0,1.889,True,0.9,0.7,1.6,11.5,0.6,2.1,1.4,8.155,2022-04-02 14:45:00,2022-04-02 14:45:00,15.0,1.778,True,1.1,0.8,2.0,14.6,0.7,2.6,1.7,8.665,2022-04-02 14:45:00,2022-04-02 14:45:00,15.0,1.818,8.665,8.47,8.232,True,True,True,True,True,True,False,False,False,False,False,False,False
2023-07-18 01:15:00,2023-07-18 06:15:00,2023-07-20 06:15:00,620,2023,7,69.0,,78.0,True,0.9,0.4,1.7,11.7,0.3,2.6,1.1,10.965,2023-07-18 04:00:00,2023-07-18 04:00:00,165.0,1.889,True,1.0,0.4,1.7,12.6,0.3,2.5,1.1,11.708,2023-07-18 04:00:00,2023-07-18 04:00:00,165.0,1.7,True,1.3,0.5,1.9,13.5,0.4,2.8,1.3,10.639,2023-07-18 04:00:00,2023-07-18 04:00:00,165.0,1.462,11.708,11.104,11.123,True,True,True,True,True,True,True,False,False,False,False,False,False
2023-07-29 00:20:00,2023-07-29 09:20:00,2023-07-31 09:20:00,154,2023,7,502.0,,108.0,True,0.9,0.4,1.2,3.8,0.3,0.9,1.0,3.704,2023-07-29 09:30:00,2023-07-29 09:30:00,550.0,1.333,True,0.9,0.4,1.1,3.4,0.4,0.8,1.0,3.353,2023-07-29 05:45:00,2023-07-29 05:45:00,325.0,1.222,True,1.1,0.5,1.3,4.0,0.4,1.0,1.2,3.3,2023-07-29 05:45:00,2023-07-29 05:45:00,325.0,1.182,3.704,3.453,3.519,True,True,True,True,False,False,False,False,False,False,False,False,False
2023-09-01 04:30:00,2023-09-01 06:10:00,2023-09-03 06:10:00,26,2023,9,39.0,,68.0,True,0.5,0.3,0.9,9.4,0.2,1.3,1.0,9.45,2023-09-01 04:30:00,2023-09-01 04:30:00,0.0,1.8,True,0.5,0.3,0.8,8.9,0.3,1.1,1.0,8.863,2023-09-01 04:30:00,2023-09-01 04:30:00,0.0,1.6,True,0.6,0.4,1.0,9.9,0.3,1.3,1.0,9.907,2023-09-01 04:30:00,2023-09-01 04:30:00,0.0,1.667,9.907,9.407,9.411,True,True,True,True,True,True,False,False,False,False,False,False,False
2024-01-03 20:05:00,2024-01-04 08:35:00,2024-01-06 08:35:00,20,2024,1,4230.0,X5,-73.0,True,0.7,0.3,0.5,0.9,0.2,0.1,1.0,0.857,2024-01-04 03:30:00,2024-01-04 03:30:00,445.0,0.714,True,0.7,0.4,0.5,0.8,0.3,0.1,1.0,0.79,2024-01-03 21:00:00,2024-01-03 21:00:00,55.0,0.714,True,0.8,0.4,0.6,0.9,0.3,0.1,1.0,0.887,2024-01-03 20:45:00,2024-01-03 20:45:00,40.0,0.75,0.887,0.844,0.842,True,False,False,False,False,False,False,False,False,False,False,False,False
