onset,peak,end,peak_pfu,year,month,flare_lead_min,xray_class,ar_longitude,PD1_in_data,PD1_pre_mean,PD1_post_mean,PD1_event_mean,PD1_event_max,PD1_event_min,PD1_event_std,PD1_bg_mean,PD1_max_ratio,PD1_max_ratio_t,PD1_ksem_peak_t,PD1_ksem_rise_min,PD1_snr_ratio,PD2_in_data,PD2_pre_mean,PD2_post_mean,PD2_event_mean,PD2_event_max,PD2_event_min,PD2_event_std,PD2_bg_mean,PD2_max_ratio,PD2_max_ratio_t,PD2_ksem_peak_t,PD2_ksem_rise_min,PD2_snr_ratio,PD3_in_data,PD3_pre_mean,PD3_post_mean,PD3_event_mean,PD3_event_max,PD3_event_min,PD3_event_std,PD3_bg_mean,PD3_max_ratio,PD3_max_ratio_t,PD3_ksem_peak_t,PD3_ksem_rise_min,PD3_snr_ratio,max_ratio_any,max_ratio_mean_pd,required_mult,in_data,detectable_x1.25,detectable_x2,detectable_x3,detectable_x5,detectable_x7,detectable_x10,detectable_x15,detectable_x20,detectable_x21,detectable_x25,detectable_x30,detectable_x50
2021-05-29 03:00:00,2021-05-29 03:20:00,2021-05-31 03:20:00,15,2021,5,228.0,C9,70.0,True,1.3,1.5,1.5,2.3,1.2,0.2,1.7,1.311,2021-05-29 03:30:00,2021-05-29 03:30:00,30.0,1.154,True,1.3,1.1,1.2,2.3,1.0,0.2,1.3,1.733,2021-05-29 03:00:00,2021-05-29 03:00:00,0.0,0.923,True,1.8,1.5,1.6,3.4,1.3,0.3,1.6,2.078,2021-05-29 03:00:00,2021-05-29 03:00:00,0.0,0.889,2.078,1.707,1.974,True,True,True,False,False,False,False,False,False,False,False,False,False
2021-10-30 21:00:00,2021-10-30 21:05:00,2021-11-01 21:05:00,11,2021,10,,,-15.0,True,12.2,1.6,3.3,7.2,1.9,1.4,10.9,0.666,2021-10-30 21:00:00,2021-10-30 21:00:00,0.0,0.27,True,11.8,1.4,3.2,6.5,1.5,1.4,10.4,0.619,2021-10-30 21:15:00,2021-10-30 21:15:00,15.0,0.271,True,16.6,1.9,4.5,9.7,2.5,1.9,15.1,0.639,2021-10-30 21:15:00,2021-10-30 21:15:00,15.0,0.271,0.666,0.642,0.633,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-20 08:00:00,2022-01-20 10:15:00,2022-01-22 10:15:00,22,2022,1,119.0,M5,68.0,True,3.9,3.1,5.2,16.1,1.3,3.3,3.7,4.348,2022-01-20 09:15:00,2022-01-20 09:15:00,75.0,1.333,True,3.1,1.3,3.3,13.1,1.1,3.1,2.3,5.587,2022-01-20 09:00:00,2022-01-20 09:00:00,60.0,1.065,True,2.6,1.6,4.4,16.6,1.1,4.2,2.7,6.027,2022-01-20 10:15:00,2022-01-20 10:15:00,135.0,1.692,6.027,5.321,5.726,True,True,True,True,True,False,False,False,False,False,False,False,False
2022-03-28 13:25:00,2022-03-28 14:50:00,2022-03-30 14:50:00,19,2022,3,115.0,M4.0,6.0,True,1.6,2.6,3.6,16.5,1.2,3.5,2.0,8.153,2022-03-28 13:30:00,2022-03-28 13:30:00,5.0,2.25,True,1.6,2.8,3.5,17.4,1.0,3.8,2.0,8.799,2022-03-28 13:30:00,2022-03-28 13:30:00,5.0,2.188,True,2.1,3.6,4.6,25.5,1.1,5.3,2.7,9.556,2022-03-28 13:30:00,2022-03-28 13:30:00,5.0,2.19,9.556,8.836,9.078,True,True,True,True,True,True,False,False,False,False,False,False,False
2022-03-31 06:20:00,2022-03-31 06:30:00,2022-04-02 06:30:00,11,2022,3,4011.0,M4.0,6.0,True,2.0,5.4,1.7,4.8,0.9,0.9,2.6,1.857,2022-03-31 06:30:00,2022-03-31 06:30:00,10.0,0.85,True,1.9,4.4,1.7,5.1,0.9,1.0,2.5,2.011,2022-03-31 06:45:00,2022-03-31 06:45:00,25.0,0.895,True,2.5,6.1,2.2,5.7,0.9,1.2,3.4,1.688,2022-03-31 06:45:00,2022-03-31 06:45:00,25.0,0.88,2.011,1.852,1.91,True,True,True,False,False,False,False,False,False,False,False,False,False
2022-04-02 14:30:00,2022-04-02 16:00:00,2022-04-04 16:00:00,32,2022,4,35.0,M4,65.0,True,1.7,3.0,4.7,18.5,1.7,2.8,2.7,6.862,2022-04-02 14:45:00,2022-04-02 14:45:00,15.0,2.765,True,1.5,1.2,2.8,17.8,1.0,3.2,2.3,7.83,2022-04-02 14:45:00,2022-04-02 14:45:00,15.0,1.867,True,1.9,1.3,3.6,26.6,1.0,5.0,3.0,8.875,2022-04-02 15:00:00,2022-04-02 15:00:00,30.0,1.895,8.875,7.855,8.431,True,True,True,True,True,True,False,False,False,False,False,False,False
2023-07-18 01:15:00,2023-07-18 06:15:00,2023-07-20 06:15:00,620,2023,7,69.0,,78.0,True,1.4,1.5,5.6,32.2,1.7,6.6,2.5,12.705,2023-07-18 04:00:00,2023-07-18 04:00:00,165.0,4.0,True,1.5,0.8,5.0,36.5,0.8,7.6,2.5,14.486,2023-07-18 04:00:00,2023-07-18 04:00:00,165.0,3.333,True,2.3,0.9,6.6,46.6,0.7,10.1,3.4,13.58,2023-07-18 04:00:00,2023-07-18 04:00:00,165.0,2.87,14.486,13.59,13.762,True,True,True,True,True,True,True,False,False,False,False,False,False
2023-07-29 00:20:00,2023-07-29 09:20:00,2023-07-31 09:20:00,154,2023,7,502.0,,108.0,True,2.1,1.5,3.4,10.5,1.1,2.6,2.4,4.419,2023-07-29 09:30:00,2023-07-29 09:30:00,550.0,1.619,True,1.5,0.8,3.1,9.8,0.7,2.6,2.1,4.693,2023-07-29 10:45:00,2023-07-29 10:45:00,625.0,2.067,True,2.0,0.8,3.9,13.4,0.7,3.3,2.7,5.071,2023-07-29 10:45:00,2023-07-29 10:45:00,625.0,1.95,5.071,4.728,4.817,True,True,True,True,True,False,False,False,False,False,False,False,False
2023-09-01 04:30:00,2023-09-01 06:10:00,2023-09-03 06:10:00,26,2023,9,39.0,,68.0,True,0.8,0.9,1.6,13.9,0.4,2.0,1.0,13.87,2023-09-01 04:30:00,2023-09-01 04:30:00,0.0,2.0,True,0.8,0.5,1.5,13.9,0.4,2.0,1.0,13.89,2023-09-01 04:30:00,2023-09-01 04:30:00,0.0,1.875,True,1.0,0.6,1.8,18.6,0.5,2.3,1.1,16.615,2023-09-01 04:30:00,2023-09-01 04:30:00,0.0,1.8,16.615,14.792,15.784,True,True,True,True,True,True,True,True,False,False,False,False,False
2024-01-03 20:05:00,2024-01-04 08:35:00,2024-01-06 08:35:00,20,2024,1,4230.0,X5,-73.0,True,1.3,0.6,1.0,1.7,0.5,0.3,1.0,1.687,2024-01-04 07:45:00,2024-01-04 07:45:00,700.0,0.769,True,1.3,0.6,0.9,1.6,0.5,0.3,1.0,1.637,2024-01-04 02:30:00,2024-01-04 02:30:00,385.0,0.692,True,1.7,0.7,1.2,2.2,0.5,0.4,1.1,2.021,2024-01-04 02:30:00,2024-01-04 02:30:00,385.0,0.706,2.021,1.781,1.92,True,True,True,False,False,False,False,False,False,False,False,False,False
