detector,catalog,baseline,channel,best_POD,best_POD_FAR,best_POD_n_hit,best_POD_win,best_POD_k_or_mult,best_POD_onset,best_FAR,best_FAR_POD,best_FAR_n_hit,best_FAR_win,best_FAR_k_or_mult,best_FAR_onset
metop03,noaa,blc1_fixed,pro_tel0_p4,0.143,0.462,6,,,0.1,0.462,0.143,6,,,0.1
metop03,noaa,blc1_fixed,pro_tel0_p5,0.262,0.462,11,,,0.1,0.462,0.262,11,,,0.1
metop03,noaa,blc1_fixed,pro_tel90_p4,0.143,0.4,6,,,0.1,0.4,0.143,6,,,0.1
metop03,noaa,blc1_fixed,pro_tel90_p5,0.19,0.438,8,,,0.1,0.438,0.19,8,,,0.1
metop03,noaa,blc1_lowe,pro_tel0_p4,0.667,0.421,28,1.0,1.25,0.1,0.393,0.667,28,1.0,1.25,1.0
metop03,noaa,blc1_lowe,pro_tel0_p5,0.738,0.287,31,1.0,1.25,0.1,0.24,0.333,14,1.0,1.25,1.0
metop03,noaa,blc1_lowe,pro_tel90_p4,0.5,0.462,21,3.0,1.25,0.1,0.424,0.452,19,1.0,1.25,0.1
metop03,noaa,blc1_lowe,pro_tel90_p5,0.69,0.372,29,5.0,1.25,0.1,0.288,0.595,25,1.0,1.25,0.5
metop03,noaa,quietoff,pro_tel0_p4,1.0,0.946,42,10.0,0.0,0.0,0.312,0.476,20,1.0,20.0,1.0
metop03,noaa,quietoff,pro_tel0_p5,1.0,0.951,42,10.0,0.0,0.0,0.188,0.19,8,1.0,20.0,1.0
metop03,noaa,quietoff,pro_tel90_p4,1.0,0.939,42,10.0,0.0,0.0,0.367,0.405,17,1.0,20.0,1.0
metop03,noaa,quietoff,pro_tel90_p5,1.0,0.944,42,10.0,0.0,0.0,0.206,0.405,17,1.0,20.0,0.7
noaa19,noaa,blc1_fixed,pro_tel0_p5,0.119,0.667,5,,,0.1,0.667,0.119,5,,,0.1
noaa19,noaa,blc1_fixed,pro_tel90_p5,0.143,0.632,6,,,0.1,0.632,0.143,6,,,0.1
noaa19,noaa,blc1_lowe,pro_tel0_p4,0.5,0.437,21,1.0,1.25,0.1,0.437,0.5,21,1.0,1.25,0.1
noaa19,noaa,blc1_lowe,pro_tel0_p5,0.524,0.436,22,1.0,1.25,0.1,0.411,0.5,21,3.0,1.25,0.1
noaa19,noaa,blc1_lowe,pro_tel90_p4,0.381,0.58,16,1.0,1.25,0.1,0.544,0.31,13,30.0,1.25,0.1
noaa19,noaa,blc1_lowe,pro_tel90_p5,0.5,0.338,21,1.0,1.25,0.1,0.338,0.5,21,1.0,1.25,0.1
noaa19,noaa,quietoff,pro_tel0_p4,0.905,0.948,38,10.0,0.0,0.0,0.464,0.5,21,1.0,7.0,1.0
noaa19,noaa,quietoff,pro_tel0_p5,0.905,0.949,38,10.0,0.0,0.0,0.385,0.548,23,1.0,1.0,0.5
noaa19,noaa,quietoff,pro_tel90_p4,0.905,0.943,38,10.0,0.0,0.0,0.505,0.524,22,1.0,5.0,1.0
noaa19,noaa,quietoff,pro_tel90_p5,0.905,0.95,38,10.0,0.0,0.0,0.36,0.571,24,1.0,3.0,0.5
