detector,catalog,baseline,win,k_or_mult,h,onset,maglat_bins,channel,POD,FAR,event_FAR,n_events_total,n_events_tp,n_events_fa,TP,FP,FN,precision,recall,f1,n_det,n_hit,n_fa,n_fa_saa,fa_maglat_median,fa_maglat_p10,fa_maglat_p90,tp_maglat_median,fa_bmag_median,detected,youden,criterion,score,n_channels_in_group,rank_of_best,n_excluded_far_nan,n_excluded_low_nhit,n_excluded_low_recall,n_excluded_high_ndet
gk2a,noaa,blc1_fixed,,,,1.0,,PD1B-OU,0.676,0.097,0.115,25,22,3,23,3,11,0.885,0.676,0.767,31,23,3,,,,,,,True,0.5790000000000001,min_far,0.097,12,1,0,108,108,0
gk2a,noaa,blc1_lowe,1.0,1.25,,1.0,,PD1B-OU,0.676,0.065,0.08,24,22,2,23,2,11,0.92,0.676,0.78,31,23,2,,,,,,,True,0.611,min_far,0.065,33,1,0,0,216,907
gk2a,noaa,quietoff,1.0,20.0,,0.7,,PD1B-OU,0.676,0.03,0.042,23,22,1,23,1,11,0.958,0.676,0.793,33,23,1,,,,,,,True,0.646,min_far,0.03,42,1,0,1896,4424,3007
metop03,noaa,blc1_lowe,1.0,1.25,,0.3,,pro_tel0_p5,0.714,0.253,0.25,38,28,10,30,10,12,0.75,0.714,0.732,83,30,21,2.0,-34.6,-67.0,47.4,-29.85,38807.3,True,0.46099999999999997,min_far,0.253,5,1,0,168,639,0
metop03,noaa,quietoff,1.0,15.0,,0.1,,omni_p6,0.524,0.075,0.083,23,21,2,22,2,20,0.917,0.524,0.667,67,22,5,2.0,21.1,-41.8,30.86,20.4,36021.1,True,0.449,min_far,0.075,17,1,24,756,3028,1607
noaa19,noaa,blc1_lowe,1.0,1.25,,0.1,,pro_tel90_p5,0.5,0.338,0.364,32,20,12,21,12,21,0.636,0.5,0.56,71,21,24,4.0,-3.45,-71.55,51.33,21.1,36133.0,True,0.16199999999999998,min_far,0.338,4,1,0,168,708,0
noaa19,noaa,quietoff,1.0,3.0,,1.0,,omni_p7,0.571,0.239,0.385,37,22,15,24,15,18,0.615,0.571,0.593,113,24,27,7.0,-51.2,-72.06,39.68,-4.5,31736.6,True,0.33199999999999996,min_far,0.239,14,1,54,750,3195,1564
gk2a,noaa,blc1_fixed,,,,1.0,,PD1B-OU,0.676,0.097,0.115,25,22,3,23,3,11,0.885,0.676,0.767,31,23,3,,,,,,,True,0.5790000000000001,min_event_far,0.115,12,1,0,108,108,0
gk2a,noaa,blc1_lowe,10.0,1.25,,0.7,,PD1B-OU,0.706,0.105,0.077,25,23,2,24,2,10,0.923,0.706,0.8,38,24,4,,,,,,,True,0.601,min_event_far,0.077,33,1,0,0,216,907
gk2a,noaa,quietoff,1.0,15.0,,0.7,,PD1B-OU,0.706,0.031,0.04,24,23,1,24,1,10,0.96,0.706,0.814,32,24,1,,,,,,,True,0.6749999999999999,min_event_far,0.04,42,1,0,1896,4424,3007
metop03,noaa,blc1_lowe,1.0,1.25,,0.1,,pro_tel90_p5,0.643,0.29,0.182,30,24,6,27,6,15,0.818,0.643,0.72,69,27,20,2.0,9.9,-63.77,39.84,22.9,37771.2,True,0.35300000000000004,min_event_far,0.182,5,1,0,168,639,0
metop03,noaa,quietoff,3.0,10.0,,0.1,,omni_p6,0.595,0.17,0.074,25,23,2,25,2,17,0.926,0.595,0.725,135,25,23,3.0,20.1,-61.6,43.92,7.55,36305.1,True,0.42499999999999993,min_event_far,0.074,17,1,24,756,3028,1607
noaa19,noaa,blc1_lowe,1.0,1.25,,0.1,,pro_tel90_p5,0.5,0.338,0.364,32,20,12,21,12,21,0.636,0.5,0.56,71,21,24,4.0,-3.45,-71.55,51.33,21.1,36133.0,True,0.16199999999999998,min_event_far,0.364,4,1,0,168,708,0
noaa19,noaa,quietoff,30.0,20.0,,0.1,,omni_p6,0.5,0.406,0.323,30,20,10,21,10,21,0.677,0.5,0.575,128,21,52,4.0,-15.35,-70.72,64.2,-16.25,38533.4,True,0.09399999999999997,min_event_far,0.323,14,1,54,750,3195,1564
gk2a,noaa,blc1_fixed,,,,0.5,,PD1B-OU,0.853,0.25,0.256,38,28,10,29,10,5,0.744,0.853,0.795,44,29,11,,,,,,,True,0.603,max_f1,0.795,12,1,0,108,108,0
gk2a,noaa,blc1_lowe,10.0,1.25,,0.5,,PD1B-OU,0.824,0.195,0.176,33,27,6,28,6,6,0.824,0.824,0.824,41,28,8,,,,,,,True,0.629,max_f1,0.824,33,1,0,0,216,907
gk2a,noaa,quietoff,7.0,15.0,,0.5,,PD1B-OU,0.794,0.132,0.1,29,26,3,27,3,7,0.9,0.794,0.844,38,27,5,,,,,,,True,0.662,max_f1,0.844,42,1,0,1896,4424,3007
metop03,noaa,blc1_lowe,1.0,1.25,,0.3,,pro_tel0_p5,0.714,0.253,0.25,38,28,10,30,10,12,0.75,0.714,0.732,83,30,21,2.0,-34.6,-67.0,47.4,-29.85,38807.3,True,0.46099999999999997,max_f1,0.732,5,1,0,168,639,0
metop03,noaa,quietoff,30.0,7.0,,0.1,,omni_p6,0.786,0.364,0.154,35,29,6,33,6,9,0.846,0.786,0.815,258,33,94,5.0,-17.6,-68.1,50.63,-16.7,38663.95,True,0.42200000000000004,max_f1,0.815,17,1,24,756,3028,1607
noaa19,noaa,blc1_lowe,1.0,1.25,,0.1,,pro_tel90_p5,0.5,0.338,0.364,32,20,12,21,12,21,0.636,0.5,0.56,71,21,24,4.0,-3.45,-71.55,51.33,21.1,36133.0,True,0.16199999999999998,max_f1,0.56,4,1,0,168,708,0
noaa19,noaa,quietoff,30.0,3.0,,0.1,,omni_p6,0.833,0.501,0.453,60,31,29,35,29,7,0.547,0.833,0.66,469,35,235,10.0,-18.3,-67.82,64.96,-17.05,37338.4,True,0.33199999999999996,max_f1,0.66,14,1,54,750,3195,1564
gk2a,noaa,blc1_fixed,,,,0.3,,PD2B-OU,0.882,0.531,0.4,49,29,20,30,20,4,0.6,0.882,0.714,98,30,52,,,,,,,True,0.351,max_pod,0.882,12,1,0,108,108,0
gk2a,noaa,blc1_lowe,7.0,1.25,,0.1,,PD3B-OU,1.0,0.627,0.528,69,31,38,34,38,0,0.472,1.0,0.642,153,34,96,,,,,,,True,0.373,max_pod,1.0,33,1,0,0,216,907
gk2a,noaa,quietoff,5.0,5.0,,0.1,,PD3B-OU,0.971,0.521,0.327,48,32,16,33,16,1,0.673,0.971,0.795,96,33,50,,,,,,,True,0.44999999999999996,max_pod,0.971,42,1,0,1896,4424,3007
metop03,noaa,blc1_lowe,1.0,1.25,,0.1,,pro_tel0_p5,0.738,0.287,0.295,42,29,13,31,13,11,0.705,0.738,0.721,94,31,27,3.0,-34.6,-66.82,52.76,-27.4,40086.5,True,0.451,max_pod,0.738,5,1,0,168,639,0
metop03,noaa,quietoff,10.0,3.0,,0.0,,pro_tel0_p5,1.0,0.67,0.562,89,35,54,42,54,0,0.438,1.0,0.609,852,42,571,12.0,-28.9,-67.9,49.4,-19.0,38744.4,True,0.32999999999999996,max_pod,1.0,17,1,24,756,3028,1607
noaa19,noaa,blc1_lowe,1.0,1.25,,0.1,,pro_tel0_p2,0.595,0.947,0.942,427,24,403,25,403,17,0.058,0.595,0.106,718,25,680,25.0,-52.5,-74.72,44.21,-58.75,38949.25,True,-0.352,max_pod,0.595,4,1,0,168,708,0
noaa19,noaa,quietoff,1.0,3.0,,0.0,,pro_tel0_p5,0.881,0.503,0.657,105,34,71,37,71,5,0.343,0.881,0.493,360,37,181,10.0,-33.3,-71.3,63.5,-13.9,38678.1,True,0.378,max_pod,0.881,14,1,54,750,3195,1564
gk2a,noaa,blc1_fixed,,,,0.5,,PD1B-OU,0.853,0.25,0.256,38,28,10,29,10,5,0.744,0.853,0.795,44,29,11,,,,,,,True,0.603,youden,0.603,12,1,0,108,108,0
gk2a,noaa,blc1_lowe,1.0,1.25,,0.5,,PD1B-OU,0.824,0.167,0.176,33,27,6,28,6,6,0.824,0.824,0.824,42,28,7,,,,,,,True,0.6569999999999999,youden,0.6569999999999999,33,1,0,0,216,907
gk2a,noaa,quietoff,1.0,15.0,,0.7,,PD1B-OU,0.706,0.031,0.04,24,23,1,24,1,10,0.96,0.706,0.814,32,24,1,,,,,,,True,0.6749999999999999,youden,0.6749999999999999,42,1,0,1896,4424,3007
metop03,noaa,blc1_lowe,1.0,1.25,,0.3,,pro_tel0_p5,0.714,0.253,0.25,38,28,10,30,10,12,0.75,0.714,0.732,83,30,21,2.0,-34.6,-67.0,47.4,-29.85,38807.3,True,0.46099999999999997,youden,0.46099999999999997,5,1,0,168,639,0
metop03,noaa,quietoff,1.0,1.0,,1.0,,omni_p6,0.929,0.333,0.571,87,35,52,39,52,3,0.429,0.929,0.586,357,39,119,9.0,-20.0,-74.16,63.98,14.15,38738.1,True,0.5960000000000001,youden,0.5960000000000001,17,1,24,756,3028,1607
