detector,catalog,baseline,win,k_or_mult,h,onset,maglat_bins,channel,POD,FAR,n_det,n_hit,n_fa,n_fa_saa,fa_maglat_median,fa_maglat_p10,fa_maglat_p90,tp_maglat_median,fa_bmag_median,detected,youden,f1,criterion,score,n_channels_in_group,rank_of_best,n_excluded_far_nan,n_excluded_low_nhit
gk2a,swpc,blc1_fixed,,,,0.1,,PD2A-F,0.608,0.641,552,73,354,,,,,,,True,-0.03300000000000003,0.2668783221492652,min_far,0.641,48,1,0,17
gk2a,swpc,blc1_lowe,5.0,1.25,,1.0,,PD1A-OU,0.6,0.622,415,72,258,,,,,,,True,-0.02200000000000002,0.32,min_far,0.622,48,1,0,154
gk2a,swpc,quietoff,3.0,20.0,,0.1,,PD3A-O,0.233,0.266,79,28,21,,,,,,,True,-0.033,0.3310246847806784,min_far,0.266,48,1,0,2072
metop03,swpc,blc1_fixed,,,,0.1,,ele_tel0_e1,0.126,0.588,68,20,40,1.0,56.6,-55.22,77.33,72.8,38941.7,True,-0.46199999999999997,0.18287373004354135,min_far,0.588,8,1,30,54
metop03,swpc,blc1_lowe,5.0,1.25,,0.1,,ele_tel90_e3,0.547,0.623,655,87,408,62.0,-38.25,-70.09,46.9,-15.0,36569.5,True,-0.07599999999999996,0.2660349670873339,min_far,0.623,16,1,0,278
metop03,swpc,quietoff,7.0,15.0,,0.1,,ele_tel90_e3,0.038,0.25,12,6,3,1.0,-32.9,-76.02,52.94,-45.1,38643.1,True,-0.212,0.07190160832544938,min_far,0.25,22,1,24,1845
noaa19,swpc,blc1_fixed,,,,0.1,,ele_tel0_e1,0.101,0.627,67,16,42,0.0,70.25,-6.85,79.18,64.8,39037.15,True,-0.526,0.14786348247781134,min_far,0.627,8,1,0,84
noaa19,swpc,blc1_lowe,3.0,1.25,,0.1,,ele_tel90_e3,0.541,0.633,630,86,399,51.0,-39.1,-70.1,47.56,-39.8,35604.8,True,-0.09199999999999997,0.26709531122178054,min_far,0.633,15,1,0,314
noaa19,swpc,quietoff,3.0,20.0,,0.1,,ele_tel90_e3,0.031,0.0,6,5,0,0.0,,,,-75.8,,True,0.031,0.06013579049466538,min_far,0.0,22,1,54,1679
gk2a,swpc,blc1_fixed,,,,0.1,,PD2A-F,0.608,0.641,552,73,354,,,,,,,True,-0.03300000000000003,0.2668783221492652,max_pod,0.608,48,1,0,17
gk2a,swpc,blc1_lowe,1.0,1.25,,0.1,,PD2A-CR,0.992,0.845,1820,119,1537,,,,,,,True,0.14700000000000002,0.1340120516395043,max_pod,0.992,48,1,0,154
gk2a,swpc,quietoff,1.0,1.0,,1.0,,PD3B-FTUO,0.992,0.843,1596,119,1345,,,,,,,True,0.14900000000000002,0.15025635020441827,max_pod,0.992,48,1,0,2072
metop03,swpc,blc1_fixed,,,,0.1,,ele_tel0_e1,0.126,0.588,68,20,40,1.0,56.6,-55.22,77.33,72.8,38941.7,True,-0.46199999999999997,0.18287373004354135,max_pod,0.126,8,1,30,54
metop03,swpc,blc1_lowe,10.0,1.25,,0.1,,ele_tel90_e3,0.579,0.656,767,92,503,66.0,-39.4,-68.44,45.96,-28.95,37093.7,True,-0.07700000000000007,0.24406593280718433,max_pod,0.579,16,1,0,278
metop03,swpc,quietoff,1.0,0.0,,0.7,,pro_tel90_p6,1.0,0.815,4640,159,3783,178.0,-38.9,-74.5,52.6,-18.1,37613.9,True,0.18500000000000005,0.07754206291148501,max_pod,1.0,22,1,24,1845
noaa19,swpc,blc1_fixed,,,,0.1,,ele_tel0_e1,0.101,0.627,67,16,42,0.0,70.25,-6.85,79.18,64.8,39037.15,True,-0.526,0.14786348247781134,max_pod,0.101,8,1,0,84
noaa19,swpc,blc1_lowe,10.0,1.25,,0.1,,ele_tel90_e3,0.597,0.669,844,95,565,59.0,-39.6,-71.72,45.36,-34.4,35401.9,True,-0.07200000000000006,0.23195370332501739,max_pod,0.597,15,1,0,314
noaa19,swpc,quietoff,1.0,0.0,,0.3,,pro_tel90_p3,0.855,0.839,5552,136,4657,138.0,-20.9,-73.84,53.7,-24.5,35302.8,True,0.016000000000000014,0.054926588592624254,max_pod,0.855,22,1,54,1679
