config,variant,threshold,ground_truth,n_det_raw,n_cat,n_det,pod,far,n_hit,n_fa,n_fa_saa,n_events_total,n_events_tp,n_events_fa,event_far,TP,FP,FN,precision,recall,f1,onset_diff_h_median,onset_diff_h_p25,onset_diff_h_p75,onset_diff_h_n
D_alert_only,na,,noaa,216,42,216,0.7380952380952381,0.28703703703703703,31,62,,28,26,2,0.06060606060606061,31,2,11,0.9393939393939394,0.7380952380952381,0.8266666666666667,1.6666666666666667,0.3333333333333333,2.75,31
D_alert_only,na,,manual,216,53,216,0.4339622641509434,0.5879629629629629,23,127,,28,23,5,0.17857142857142858,23,5,30,0.8214285714285714,0.4339622641509434,0.5679012345679013,9.5,6.5,13.625,23
A_tcn_only,na,0.85,noaa,155,42,155,0.7619047619047619,0.7161290322580646,32,111,,84,31,53,0.6235294117647059,32,53,10,0.3764705882352941,0.7619047619047619,0.5039370078740157,0.0,-6.729166666666667,1.0833333333333333,32
A_tcn_only,na,0.85,manual,155,53,155,0.8679245283018868,0.5935483870967742,46,92,,84,46,38,0.4523809523809524,46,38,7,0.5476190476190477,0.8679245283018868,0.6715328467153285,9.5,4.625,12.4375,46
B_gated_tcn,break,0.85,noaa,187,42,187,0.6904761904761905,0.28342245989304815,29,53,,26,24,2,0.06451612903225806,29,2,13,0.9354838709677419,0.6904761904761905,0.7945205479452055,1.9166666666666667,0.9166666666666666,5.5,29
B_gated_tcn,break,0.85,manual,187,53,187,0.4339622641509434,0.5989304812834224,23,112,,26,22,4,0.14814814814814814,23,4,30,0.8518518518518519,0.4339622641509434,0.5750000000000001,13.0,7.5,17.0,23
B_gated_tcn,skip,0.85,noaa,86,42,86,0.7857142857142857,0.5930232558139535,33,51,,77,32,45,0.5769230769230769,33,45,9,0.4230769230769231,0.7857142857142857,0.55,0.08333333333333333,-6.416666666666667,1.3333333333333333,33
B_gated_tcn,skip,0.85,manual,86,53,86,0.8490566037735849,0.4418604651162791,45,38,,77,44,33,0.4230769230769231,45,33,8,0.5769230769230769,0.8490566037735849,0.6870229007633587,10.0,5.5,16.25,45
C_alert_and_tcn,na,0.85,noaa,212,42,212,0.7380952380952381,0.29245283018867924,31,62,,28,26,2,0.06060606060606061,31,2,11,0.9393939393939394,0.7380952380952381,0.8266666666666667,1.8333333333333333,1.0,3.75,31
C_alert_and_tcn,na,0.85,manual,212,53,212,0.4339622641509434,0.5990566037735849,23,127,,28,23,5,0.17857142857142858,23,5,30,0.8214285714285714,0.4339622641509434,0.5679012345679013,9.5,7.125,15.625,23
A_tcn_only,na,0.9,noaa,164,42,164,0.9047619047619048,0.6707317073170732,38,110,,87,38,49,0.5632183908045977,38,49,4,0.4367816091954023,0.9047619047619048,0.5891472868217055,0.20833333333333331,-6.791666666666667,1.0833333333333333,38
A_tcn_only,na,0.9,manual,164,53,164,0.8679245283018868,0.5609756097560976,46,92,,87,46,41,0.47126436781609193,46,41,7,0.5287356321839081,0.8679245283018868,0.6571428571428571,9.75,4.75,13.125,46
B_gated_tcn,break,0.9,noaa,184,42,184,0.6666666666666666,0.28804347826086957,28,53,,25,23,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,1.9583333333333335,1.0,5.583333333333333,28
B_gated_tcn,break,0.9,manual,184,53,184,0.41509433962264153,0.6032608695652174,22,111,,25,21,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,13.875,7.875,17.25,22
B_gated_tcn,skip,0.9,noaa,86,42,86,0.8095238095238095,0.5465116279069767,34,47,,71,33,38,0.5277777777777778,34,38,8,0.4722222222222222,0.8095238095238095,0.5964912280701755,0.5,-6.354166666666667,1.3958333333333335,34
B_gated_tcn,skip,0.9,manual,86,53,86,0.8113207547169812,0.4186046511627907,43,36,,71,42,29,0.4027777777777778,43,29,10,0.5972222222222222,0.8113207547169812,0.688,10.0,5.375,16.25,43
C_alert_and_tcn,na,0.9,noaa,212,42,212,0.7380952380952381,0.29245283018867924,31,62,,28,26,2,0.06060606060606061,31,2,11,0.9393939393939394,0.7380952380952381,0.8266666666666667,1.8333333333333333,1.0,3.75,31
C_alert_and_tcn,na,0.9,manual,212,53,212,0.4339622641509434,0.5990566037735849,23,127,,28,23,5,0.17857142857142858,23,5,30,0.8214285714285714,0.4339622641509434,0.5679012345679013,9.5,7.125,15.625,23
A_tcn_only,na,0.91,noaa,174,42,174,0.9285714285714286,0.6666666666666666,39,116,,90,38,52,0.5714285714285714,39,52,3,0.42857142857142855,0.9285714285714286,0.5864661654135338,0.25,-6.666666666666667,1.125,39
A_tcn_only,na,0.91,manual,174,53,174,0.8679245283018868,0.5977011494252874,46,104,,90,46,44,0.4888888888888889,46,44,7,0.5111111111111111,0.8679245283018868,0.6433566433566433,10.125,5.375,13.1875,46
B_gated_tcn,break,0.91,noaa,183,42,183,0.6666666666666666,0.2896174863387978,28,53,,25,23,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,2.0,1.0,5.583333333333333,28
B_gated_tcn,break,0.91,manual,183,53,183,0.41509433962264153,0.6065573770491803,22,111,,25,21,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,13.875,7.875,17.25,22
B_gated_tcn,skip,0.91,noaa,83,42,83,0.8095238095238095,0.5421686746987951,34,45,,69,33,36,0.5142857142857142,34,36,8,0.4857142857142857,0.8095238095238095,0.6071428571428571,0.5,-6.354166666666667,1.4166666666666667,34
B_gated_tcn,skip,0.91,manual,83,53,83,0.8113207547169812,0.42168674698795183,43,35,,69,42,27,0.38571428571428573,43,27,10,0.6142857142857143,0.8113207547169812,0.6991869918699187,10.0,5.875,16.375,43
C_alert_and_tcn,na,0.91,noaa,212,42,212,0.7380952380952381,0.29245283018867924,31,62,,28,26,2,0.06060606060606061,31,2,11,0.9393939393939394,0.7380952380952381,0.8266666666666667,1.8333333333333333,1.0,3.75,31
C_alert_and_tcn,na,0.91,manual,212,53,212,0.4339622641509434,0.5990566037735849,23,127,,28,23,5,0.17857142857142858,23,5,30,0.8214285714285714,0.4339622641509434,0.5679012345679013,9.5,7.125,15.625,23
A_tcn_only,na,0.92,noaa,172,42,172,0.9047619047619048,0.6802325581395349,38,117,,89,38,51,0.5730337078651685,38,51,4,0.42696629213483145,0.9047619047619048,0.5801526717557252,0.29166666666666663,-6.791666666666667,1.0833333333333333,38
A_tcn_only,na,0.92,manual,172,53,172,0.8490566037735849,0.6046511627906976,45,104,,89,45,44,0.4943820224719101,45,44,8,0.5056179775280899,0.8490566037735849,0.6338028169014085,10.0,5.5,14.25,45
B_gated_tcn,break,0.92,noaa,182,42,182,0.6666666666666666,0.29120879120879123,28,53,,25,23,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,2.0,1.0,5.583333333333333,28
B_gated_tcn,break,0.92,manual,182,53,182,0.41509433962264153,0.6098901098901099,22,111,,25,21,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,13.875,7.875,17.25,22
