forecast_min,exp_name,n_windows,fold,macro_f1,n_transition_windows,transition_macro_f1,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event,transition_precision_quiet,transition_recall_quiet,transition_f1_quiet,transition_support_quiet,transition_precision_event,transition_recall_event,transition_f1_event,transition_support_event
0,omni_p6_binary,79099,mean,0.8474674966432275,0,,15819.8,4.4,26.0,41.0,0.9278277910551284,0.9068784431185948,0.917166200341052,11706.4,0.7555397262490462,0.802177752515204,0.7777687929454032,4113.4,,,,,,,,
15,omni_p6_binary_fc15,78981,mean,0.850186317672453,93,0.29621621621621624,15796.2,4.4,28.2,43.2,0.9232429020584536,0.9183313212240836,0.9205974851816984,11690.4,0.7798490490842718,0.7816521157663378,0.7797751501632073,4105.8,0.36923076923076925,0.5217391304347826,0.43243243243243246,46.0,0.21428571428571427,0.1276595744680851,0.16,47.0
30,omni_p6_binary_fc30,78865,mean,0.8510697082616309,183,0.29539504081318346,15773.0,4.4,30.6,45.6,0.9217521792283376,0.9233019383779532,0.922326738559501,11674.0,0.7874472514381461,0.7749199232762367,0.7798126779637606,4099.0,0.35714285714285715,0.5056179775280899,0.4186046511627907,89.0,0.22807017543859648,0.13829787234042554,0.17218543046357615,94.0
60,omni_p6_binary_fc60,78650,mean,0.8489254067125515,347,0.2891771935814271,15730.0,4.4,27.0,42.0,0.920374770916374,0.9214630957434788,0.920743267511858,11641.6,0.7832482092802092,0.7728684624374719,0.777107545913245,4088.4,0.3416666666666667,0.5,0.40594059405940597,164.0,0.2336448598130841,0.1366120218579235,0.1724137931034483,183.0
120,omni_p6_binary_fc120,78465,mean,0.8426143110419225,662,0.28405467447198945,15693.0,4.4,31.4,46.4,0.9168705103029005,0.9184977958462044,0.9174687795712206,11607.8,0.7746012845470649,0.7635876874058951,0.7677598425126246,4085.2,0.32,0.4752475247524752,0.38247011952191234,303.0,0.25,0.14763231197771587,0.18563922942206654,359.0
300,omni_p6_binary_fc300,78408,mean,0.8356712704216396,1775,0.26067120866055504,15681.6,4.4,22.0,37.0,0.914804169288882,0.9135339630535662,0.9138873279262136,11594.2,0.7636307490553919,0.7551184349390576,0.7574552129170652,4087.4,0.3253112033195021,0.4574095682613769,0.3802133850630456,857.0,0.18421052631578946,0.11437908496732026,0.14112903225806453,918.0
480,omni_p6_binary_fc480,78361,mean,0.8271496616013693,2893,0.26403369523413994,15672.2,4.4,22.6,37.6,0.9123533234312492,0.904830831805084,0.9084566966408756,11583.6,0.7390459730733981,0.7539436274810738,0.7458426265618628,4088.6,0.3269230769230769,0.4451521585279547,0.3769853161522325,1413.0,0.19091847265221878,0.125,0.15108207431604737,1480.0
720,omni_p6_binary_fc720,78320,mean,0.8149835652236017,4322,0.2707119640629603,15664.0,4.4,25.4,40.4,0.897251821496034,0.9164856332771704,0.9064374884348874,11573.4,0.7582046861393263,0.6967886535277122,0.7235296420123162,4090.6,0.3475083056478405,0.49269901083372586,0.4075589323982077,2123.0,0.17911585365853658,0.10686675761709868,0.1338649957277129,2199.0
1080,omni_p6_binary_fc1080,78280,mean,0.7955266017771995,6417,0.25221333970183807,15656.0,4.4,16.8,31.8,0.8793723923580566,0.922515013227521,0.9003804097621343,11567.4,0.7501166505372338,0.6413601144848936,0.6906727937922643,4088.6,0.3561499578770008,0.5334384858044164,0.4271280626420813,3170.0,0.11384062312762133,0.05851555281798583,0.07729861676159479,3247.0
1440,omni_p6_binary_fc1440,78263,mean,0.7785200918987287,8501,0.25419824636858723,15652.6,4.4,17.0,32.0,0.8636718857966624,0.934784831896504,0.8977958581579255,11567.0,0.7598798551414134,0.5825000289842995,0.6592443256395321,4085.6,0.3709677419354839,0.5718683400426238,0.450013975589304,4223.0,0.09191361125062783,0.042776998597475455,0.058382517147870475,4278.0
