"dt_min","layer","config","thr","lead_h","n","POD","eventFAR"
"30","FSM","single","","0.917","31","0.738","0.114"
"30","TCN","single","0.98","0.75","41","0.976","0.255"
"30","FSM","multi","","0.75","31","0.738","0.114"
"30","TCN","multi","0.999","2.083","34","0.81","0.209"
"45","FSM","single","","0.917","31","0.738","0.114"
"45","TCN","single","0.98","0.75","41","0.976","0.255"
"45","FSM","multi","","0.75","31","0.738","0.114"
"45","TCN","multi","0.999","1.75","33","0.786","0.25"
"60","FSM","single","","0.917","31","0.738","0.114"
"60","TCN","single","0.98","0.75","41","0.976","0.255"
"60","FSM","multi","","0.75","31","0.738","0.114"
"60","TCN","multi","0.999","1.458","34","0.81","0.261"
"90","FSM","single","","0.917","31","0.738","0.114"
"90","TCN","single","0.98","0.75","41","0.976","0.255"
"90","FSM","multi","","0.75","31","0.738","0.114"
"90","TCN","multi","0.999","1.583","34","0.81","0.19"
"120","FSM","single","","0.917","31","0.738","0.114"
"120","TCN","single","0.98","0.75","41","0.976","0.255"
"120","FSM","multi","","0.75","31","0.738","0.114"
"120","TCN","multi","0.999","1.5","34","0.81","0.227"
