timestamp,ros_delay_ms,yolo_infer_ms,node_latency_ms,roi_kb,detections,gpu_%,cpu_%,power_mW,ram_MB
1776591346.4176166,157.97,1682.58,1698.44,10.8,1,0,53.7,7040,6022
1776591346.4505162,159.35,21.06,29.53,10.7,2,0,53.7,7040,6022
1776591346.4808586,156.06,20.19,28.43,10.7,2,0,53.7,7040,6022
1776591346.5107088,152.6,19.82,28.1,10.6,2,0,53.7,7040,6022
1776591346.5411115,165.87,20.07,28.55,10.7,2,0,53.7,7040,6022
1776591346.5717473,165.07,20.36,28.97,10.7,2,0,53.7,7040,6022
1776591346.6032686,157.13,20.12,29.01,10.7,2,0,53.7,7040,6022
1776591346.6351538,159.31,20.75,30.05,10.7,2,0,53.7,7040,6022
1776591346.668993,159.27,21.16,32.02,10.8,2,0,53.7,7040,6022
1776591346.7003849,158.97,19.9,29.35,10.8,2,0,53.7,7040,6022
1776591346.7317886,158.82,20.41,29.35,10.8,2,0,53.7,7040,6022
1776591346.7627683,154.09,19.84,29.05,10.8,2,0,53.7,7040,6022
1776591346.793159,153.5,20.16,28.66,10.7,2,0,53.7,7040,6022
1776591346.8258963,165.27,22.29,30.93,10.8,2,45,48.3,7277,6101
1776591346.8574598,166.2,20.37,29.87,10.8,2,45,48.3,7277,6101
1776591346.8918052,162.62,22.63,32.33,10.8,2,45,48.3,7277,6101
1776591346.9244277,162.47,22.09,30.84,10.9,2,45,48.3,7277,6101
1776591346.9583747,167.25,20.35,30.17,10.9,2,45,48.3,7277,6101
1776591346.9912384,164.72,20.25,28.96,10.9,2,45,48.3,7277,6101
1776591347.0240457,162.51,21.26,31.11,10.9,2,45,48.3,7277,6101
1776591347.056786,164.84,21.83,30.9,10.9,2,45,48.3,7277,6101
1776591347.0882175,163.61,20.82,29.79,10.9,2,45,48.3,7277,6101
1776591347.1192615,162.81,20.03,29.22,10.9,2,45,48.3,7277,6101
1776591347.1496077,159.17,19.74,28.58,10.8,2,45,48.3,7277,6101
1776591347.1797593,155.71,19.79,28.43,10.9,2,45,48.3,7277,6101
1776591347.2105758,152.57,19.84,28.94,10.9,2,45,48.3,7277,6101
1776591347.2413795,148.04,20.13,28.81,10.9,2,45,48.3,7277,6101
1776591347.2725446,165.63,20.57,29.38,10.9,2,45,48.3,7277,6101
1776591347.3041608,161.84,20.47,29.93,10.8,2,45,48.3,7277,6101
1776591347.335303,160.82,20.29,29.39,10.8,2,45,48.3,7277,6101
1776591347.367837,160.1,20.48,30.39,10.8,2,45,48.3,7277,6101
1776591347.3999627,159.53,20.27,29.96,10.8,2,45,48.3,7277,6101
1776591347.431558,157.36,19.94,29.56,10.8,2,45,48.3,7277,6101
1776591347.464308,157.18,20.69,30.46,10.8,2,45,48.3,7277,6101
1776591347.4966156,155.29,20.58,29.91,10.8,2,45,48.3,7277,6101
1776591347.5288303,149.54,20.99,30.39,10.7,2,45,48.3,7277,6101
1776591347.5612812,148.54,20.48,29.96,10.7,2,45,48.3,7277,6101
1776591347.5917957,151.69,20.11,28.27,10.7,2,45,48.3,7277,6101
1776591347.622808,164.85,20.17,29.33,10.7,2,45,48.3,7277,6101
1776591347.653594,161.72,20.27,29.01,10.7,2,45,48.3,7277,6101
1776591347.6836169,160.73,19.83,28.22,10.7,2,45,48.3,7277,6101
1776591347.7142308,156.89,20.0,28.64,10.6,2,45,48.3,7277,6101
1776591347.744719,156.09,20.21,28.32,10.7,2,45,48.3,7277,6101
1776591347.7755778,167.02,20.51,28.92,10.6,2,45,48.3,7277,6101
1776591347.8060591,163.61,19.99,28.51,10.6,2,45,48.3,7277,6101
1776591347.836412,163.18,19.83,28.65,10.6,2,47,45.8,7435,6106
1776591347.86691,157.99,19.81,28.82,10.6,2,47,45.8,7435,6106
1776591347.8973975,156.6,19.77,28.75,10.6,2,47,45.8,7435,6106
1776591347.9280431,153.64,19.8,28.8,10.6,2,47,45.8,7435,6106
1776591347.9592505,168.22,20.27,29.19,10.6,2,47,45.8,7435,6106
1776591347.9910157,167.48,20.66,29.81,10.6,2,47,45.8,7435,6106
1776591348.0216918,163.92,20.21,28.79,10.6,2,47,45.8,7435,6106
1776591348.0525455,161.65,20.5,29.16,10.7,2,47,45.8,7435,6106
1776591348.0829933,156.97,19.86,28.72,10.7,2,47,45.8,7435,6106
1776591348.1138763,155.93,19.85,29.09,10.7,2,47,45.8,7435,6106
1776591348.144411,154.83,19.69,28.81,10.6,2,47,45.8,7435,6106
1776591348.1754754,165.07,20.24,29.3,10.6,2,47,45.8,7435,6106
1776591348.2067366,165.53,20.41,29.5,10.6,2,47,45.8,7435,6106
