[INFO] [1776591342.749841159] [yolo_node]: Loading TensorRT FP16 model...
WARNING ⚠️ Unable to automatically guess model task, assuming 'task=detect'. Explicitly define task for your model, i.e. 'task=detect', 'segment', 'classify','pose' or 'obb'.
[INFO] [1776591342.754890804] [yolo_node]: Model loaded.
[INFO] [1776591342.761648530] [yolo_node]: Logging to /home/moon/jeongin/Pixhawk_ReID/results/20260419_183528/log.csv
Loading /home/moon/jeongin/Pixhawk_ReID/ros2_nodes/../models/yolo26n.engine for TensorRT inference...
[04/19/2026-18:35:44] [TRT] [I] Loaded engine size: 8 MiB
[04/19/2026-18:35:44] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
[04/19/2026-18:35:45] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +4, now: CPU 0, GPU 4 (MiB)
[04/19/2026-18:35:45] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +9, now: CPU 0, GPU 13 (MiB)
ROS=158.0ms | YOLO=1682.6ms | total=1698.4ms | ROI=10.8KB | det=1 | GPU=0% | pwr=7040mW
ROS=159.4ms | YOLO=21.1ms | total=29.5ms | ROI=10.7KB | det=2 | GPU=0% | pwr=7040mW
ROS=156.1ms | YOLO=20.2ms | total=28.4ms | ROI=10.7KB | det=2 | GPU=0% | pwr=7040mW
ROS=152.6ms | YOLO=19.8ms | total=28.1ms | ROI=10.6KB | det=2 | GPU=0% | pwr=7040mW
ROS=165.9ms | YOLO=20.1ms | total=28.5ms | ROI=10.7KB | det=2 | GPU=0% | pwr=7040mW
ROS=165.1ms | YOLO=20.4ms | total=29.0ms | ROI=10.7KB | det=2 | GPU=0% | pwr=7040mW
ROS=157.1ms | YOLO=20.1ms | total=29.0ms | ROI=10.7KB | det=2 | GPU=0% | pwr=7040mW
ROS=159.3ms | YOLO=20.7ms | total=30.0ms | ROI=10.7KB | det=2 | GPU=0% | pwr=7040mW
ROS=159.3ms | YOLO=21.2ms | total=32.0ms | ROI=10.8KB | det=2 | GPU=0% | pwr=7040mW
ROS=159.0ms | YOLO=19.9ms | total=29.3ms | ROI=10.8KB | det=2 | GPU=0% | pwr=7040mW
ROS=158.8ms | YOLO=20.4ms | total=29.4ms | ROI=10.8KB | det=2 | GPU=0% | pwr=7040mW
ROS=154.1ms | YOLO=19.8ms | total=29.1ms | ROI=10.8KB | det=2 | GPU=0% | pwr=7040mW
ROS=153.5ms | YOLO=20.2ms | total=28.7ms | ROI=10.7KB | det=2 | GPU=0% | pwr=7040mW
ROS=165.3ms | YOLO=22.3ms | total=30.9ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=166.2ms | YOLO=20.4ms | total=29.9ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=162.6ms | YOLO=22.6ms | total=32.3ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=162.5ms | YOLO=22.1ms | total=30.8ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=167.2ms | YOLO=20.4ms | total=30.2ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=164.7ms | YOLO=20.3ms | total=29.0ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=162.5ms | YOLO=21.3ms | total=31.1ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=164.8ms | YOLO=21.8ms | total=30.9ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=163.6ms | YOLO=20.8ms | total=29.8ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=162.8ms | YOLO=20.0ms | total=29.2ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=159.2ms | YOLO=19.7ms | total=28.6ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=155.7ms | YOLO=19.8ms | total=28.4ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=152.6ms | YOLO=19.8ms | total=28.9ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=148.0ms | YOLO=20.1ms | total=28.8ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=165.6ms | YOLO=20.6ms | total=29.4ms | ROI=10.9KB | det=2 | GPU=45% | pwr=7277mW
ROS=161.8ms | YOLO=20.5ms | total=29.9ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=160.8ms | YOLO=20.3ms | total=29.4ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=160.1ms | YOLO=20.5ms | total=30.4ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=159.5ms | YOLO=20.3ms | total=30.0ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=157.4ms | YOLO=19.9ms | total=29.6ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=157.2ms | YOLO=20.7ms | total=30.5ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=155.3ms | YOLO=20.6ms | total=29.9ms | ROI=10.8KB | det=2 | GPU=45% | pwr=7277mW
ROS=149.5ms | YOLO=21.0ms | total=30.4ms | ROI=10.7KB | det=2 | GPU=45% | pwr=7277mW
ROS=148.5ms | YOLO=20.5ms | total=30.0ms | ROI=10.7KB | det=2 | GPU=45% | pwr=7277mW
ROS=151.7ms | YOLO=20.1ms | total=28.3ms | ROI=10.7KB | det=2 | GPU=45% | pwr=7277mW
