[INFO] [1776597218.319104442] [yolo_node]: Loading TensorRT FP16 model...
WARNING ⚠️ Unable to automatically guess model task, assuming 'task=detect'. Explicitly define task for your model, i.e. 'task=detect', 'segment', 'classify','pose' or 'obb'.
[INFO] [1776597218.321134270] [yolo_node]: Model loaded.
[INFO] [1776597218.331815648] [yolo_node]: Logging to /home/moon/jeongin/Pixhawk_ReID/results/20260419_201300/log.csv
[INFO] [1776597218.333087853] [yolo_node]: Detection events → /home/moon/jeongin/Pixhawk_ReID/results/20260419_201300/detection_log.csv
Loading /home/moon/jeongin/Pixhawk_ReID/ros2_nodes/../models/yolo26n.engine for TensorRT inference...
[04/19/2026-20:13:50] [TRT] [I] Loaded engine size: 8 MiB
[04/19/2026-20:13:50] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
[04/19/2026-20:13:50] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +4, now: CPU 0, GPU 4 (MiB)
[04/19/2026-20:13:50] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +9, now: CPU 0, GPU 13 (MiB)
[START] {'cls': 0, 'conf': 0.873, 'bbox': [12, 25, 431, 638]}
ROS=93.4ms | YOLO=16095.0ms | total=16194.5ms | ROI=12.6KB | det=1 | GPU=0% | pwr=6565mW
ROS=156.9ms | YOLO=14.5ms | total=22.7ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=164.3ms | YOLO=13.9ms | total=22.2ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=154.5ms | YOLO=13.4ms | total=21.7ms | ROI=14.4KB | det=1 | GPU=0% | pwr=6565mW
ROS=161.4ms | YOLO=13.6ms | total=21.8ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=168.6ms | YOLO=13.6ms | total=22.3ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=159.6ms | YOLO=14.5ms | total=22.4ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=166.3ms | YOLO=13.8ms | total=21.9ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=156.0ms | YOLO=13.4ms | total=21.5ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=161.4ms | YOLO=13.5ms | total=21.6ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=152.7ms | YOLO=13.2ms | total=21.4ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=158.7ms | YOLO=13.3ms | total=21.3ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=165.9ms | YOLO=13.2ms | total=21.2ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=154.4ms | YOLO=13.8ms | total=21.5ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=161.4ms | YOLO=13.1ms | total=21.5ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=167.6ms | YOLO=13.1ms | total=21.7ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=156.3ms | YOLO=13.4ms | total=22.2ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=165.2ms | YOLO=13.5ms | total=21.8ms | ROI=14.4KB | det=1 | GPU=0% | pwr=6565mW
ROS=153.5ms | YOLO=13.4ms | total=22.0ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=162.8ms | YOLO=13.7ms | total=22.1ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=153.4ms | YOLO=13.4ms | total=21.7ms | ROI=14.4KB | det=1 | GPU=0% | pwr=6565mW
ROS=158.7ms | YOLO=13.2ms | total=21.2ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=165.6ms | YOLO=13.4ms | total=22.2ms | ROI=14.5KB | det=1 | GPU=0% | pwr=6565mW
ROS=157.1ms | YOLO=13.1ms | total=21.2ms | ROI=14.4KB | det=1 | GPU=0% | pwr=6565mW
ROS=162.9ms | YOLO=13.4ms | total=21.6ms | ROI=14.5KB | det=1 | GPU=42% | pwr=7739mW
ROS=152.2ms | YOLO=13.3ms | total=21.6ms | ROI=14.6KB | det=1 | GPU=42% | pwr=7739mW
ROS=158.0ms | YOLO=13.1ms | total=21.2ms | ROI=14.5KB | det=1 | GPU=42% | pwr=7739mW
ROS=166.3ms | YOLO=13.1ms | total=21.4ms | ROI=14.5KB | det=1 | GPU=42% | pwr=7739mW
ROS=154.3ms | YOLO=13.2ms | total=21.5ms | ROI=14.5KB | det=1 | GPU=42% | pwr=7739mW
ROS=161.2ms | YOLO=13.1ms | total=21.2ms | ROI=14.5KB | det=1 | GPU=42% | pwr=7739mW
ROS=151.7ms | YOLO=13.2ms | total=21.6ms | ROI=14.5KB | det=1 | GPU=42% | pwr=7739mW
ROS=157.9ms | YOLO=13.1ms | total=21.1ms | ROI=14.5KB | det=1 | GPU=42% | pwr=7739mW
ROS=165.4ms | YOLO=13.3ms | total=21.4ms | ROI=14.5KB | det=1 | GPU=42% | pwr=7739mW
ROS=153.0ms | YOLO=13.2ms | total=21.6ms | ROI=14.5KB | det=1 | GPU=42% | pwr=7739mW
ROS=160.5ms | YOLO=13.0ms | total=20.9ms | ROI=14.4KB | det=1 | GPU=42% | pwr=7739mW
ROS=167.0ms | YOLO=13.0ms | total=21.3ms | ROI=14.4KB | det=1 | GPU=42% | pwr=7739mW
