timestamp,event,ap_state,rpn_result,fail_count,trigger_channels
1781430390.7768362,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781430390.900395,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430391.6543949,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT|PD2A-OU
1781430391.9039028,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430395.6520736,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781430395.7756462,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430484.778103,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781430485.7796326,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781430492.7826433,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430569.2791426,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781430570.2808967,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT|PD2A-OU
1781430629.782923,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430636.283013,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781430637.2830715,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430637.7781694,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781430638.2823477,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430639.2822068,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781430639.7808805,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430894.282271,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781430895.281756,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781430900.781822,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430907.2784176,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT
1781430907.7818556,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430908.781128,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD1A-OUT
1781430909.7805195,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OUT
1781430915.7798665,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430916.2812521,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD1A-OUT
1781430917.2809813,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OUT|PD1A-OUT
1781430919.7829762,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781430920.2792125,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD1A-OUT
1781430921.2810102,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OUT|PD1A-OUT
1781430962.7810488,ALERT→NOMINAL,NOMINAL,NORMAL,0,
