timestamp,window_d,k,wp_eval_ms,dds_transport_ms,fsm_infer_ms,node_latency_ms,ap_state,rpn_result,fail_count,trigger_channels,gpu_%,cpu_%,power_mW,ram_MB
1781431764.0371356,30,10,6.9295,44.291,0.2957,9.872,NOMINAL,STALE,0,,0,17.2,5268,4661
1781431764.0947216,30,10,1.7749,1.115,0.0376,0.841,NOMINAL,NORMAL,0,,0,17.2,5268,4661
1781431764.2196438,30,10,2.4816,1.62,0.0453,0.61,NOMINAL,NORMAL,0,,0,17.2,5268,4661
1781431764.3427694,30,10,1.8353,0.842,0.0237,0.261,NOMINAL,NORMAL,0,,0,17.2,5268,4661
1781431764.4690664,30,10,2.563,1.18,0.0361,0.459,NOMINAL,NORMAL,0,,99,13.7,4960,3069
1781431764.5944433,30,10,2.5956,1.006,0.0372,1.022,NOMINAL,NORMAL,0,,99,13.7,4960,3069
1781431764.7183237,30,10,1.6569,1.333,0.0345,0.375,NOMINAL,NORMAL,0,,99,13.7,4960,3069
1781431764.8437283,30,10,2.525,1.018,0.0373,0.363,NOMINAL,NORMAL,0,,99,13.7,4960,3069
1781431764.969617,30,10,2.7199,1.291,0.0312,0.39,NOMINAL,NORMAL,0,,99,13.7,4960,3069
1781431765.0927231,30,10,1.4725,1.136,0.0372,0.478,NOMINAL,NORMAL,0,,99,13.7,4960,3069
1781431765.219102,30,10,2.5241,1.175,0.0365,0.51,NOMINAL,NORMAL,0,,99,13.7,4960,3069
1781431765.3434422,30,10,1.6841,1.245,0.033,0.442,NOMINAL,NORMAL,0,,99,13.7,4960,3069
1781431765.4691355,30,10,2.8135,1.066,0.0371,0.443,NOMINAL,NORMAL,0,,99,11.7,4769,3069
1781431765.5937274,30,10,2.5923,0.968,0.0361,0.357,NOMINAL,NORMAL,0,,99,11.7,4769,3069
1781431765.717977,30,10,1.9234,0.877,0.0248,0.308,NOMINAL,NORMAL,0,,99,11.7,4769,3069
1781431765.8440132,30,10,2.5712,1.104,0.0365,0.47,NOMINAL,NORMAL,0,,99,11.7,4769,3069
1781431765.9679666,30,10,2.0954,0.839,0.0236,0.256,NOMINAL,NORMAL,0,,99,11.7,4769,3069
1781431766.0940561,30,10,2.811,1.04,0.0353,0.383,NOMINAL,NORMAL,0,,99,11.7,4769,3069
1781431766.2192192,30,10,2.5399,1.251,0.0369,0.482,NOMINAL,NORMAL,0,,99,11.7,4769,3069
1781431766.3423748,30,10,1.4299,1.08,0.0372,0.383,NOMINAL,NORMAL,0,,99,11.7,4769,3069
