timestamp,event,ap_state,rpn_result,fail_count,trigger_channels
1781415727.440328,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781415727.5653727,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781415728.315107,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT|PD2A-OU
1781415728.565006,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781415732.314806,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781415732.4403067,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781415821.4426749,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781415822.4438376,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781415829.9436169,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781415905.9436355,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT
1781415906.9432397,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT|PD2A-OU
1781415964.4437122,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781415964.9430442,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781415965.9429653,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416230.9435697,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT|PD1A-OUT
1781416231.9433014,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781416236.4431984,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416249.943525,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT
1781416250.4430907,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416256.9433718,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD1A-OUT
1781416257.4435682,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416259.4434733,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD1A-OUT
1781416259.9434483,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416260.44338,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD1A-OUT
1781416261.4432607,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OUT|PD1A-OUT
1781416293.9421816,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416294.443537,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT|PD1A-OUT
1781416295.4435155,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OUT
1781416297.4431603,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416297.9433398,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT
1781416298.9433932,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416422.942987,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT
1781416423.943374,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781416425.9423208,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416426.9401615,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT
1781416427.4432428,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416434.9437418,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781416435.443501,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416435.9435313,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781416436.9433875,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU
1781416473.4433725,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416473.9425657,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781416474.4431658,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416787.9433808,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT|PD1A-OUT
1781416788.9433968,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781416826.4434447,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416826.9431884,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781416827.4434922,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781416910.4433954,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT
1781416911.4416845,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OUT|PD1A-OUT
