timestamp,window_d,k,wp_eval_ms,dds_transport_ms,fsm_infer_ms,node_latency_ms,ap_state,rpn_result,fail_count,trigger_channels,gpu_%,cpu_%,power_mW,ram_MB
1781430113.366806,30,10,3.3351,88.125,0.2387,3.26,NOMINAL,STALE,0,,0,16.3,5585,3400
1781430113.4010007,30,10,2.8569,1.392,0.0438,0.56,NOMINAL,NORMAL,0,,0,5.7,4880,3210
1781430113.5238047,30,10,1.6595,1.312,0.0323,0.391,NOMINAL,NORMAL,0,,0,5.7,4880,3210
1781430113.6503227,30,10,2.7219,1.759,0.0455,0.594,NOMINAL,NORMAL,0,,0,5.7,4880,3210
1781430113.7743359,30,10,2.4738,1.121,0.0249,0.601,NOMINAL,NORMAL,0,,0,5.7,4880,3210
1781430113.8984735,30,10,1.4704,0.948,0.0233,0.996,NOMINAL,NORMAL,0,,0,5.7,4880,3210
1781430114.0242825,30,10,2.4462,1.221,0.0371,0.424,NOMINAL,NORMAL,0,,0,5.7,4880,3210
1781430114.1474764,30,10,1.3633,0.826,0.0245,0.272,NOMINAL,NORMAL,0,,0,5.7,4880,3210
1781430114.2735574,30,10,2.2311,1.104,0.0339,0.439,NOMINAL,NORMAL,0,,0,5.7,4880,3210
1781430114.3992856,30,10,2.0541,1.191,0.0375,0.526,NOMINAL,NORMAL,0,,0,5.7,4880,3210
1781430114.5234156,30,10,2.0758,0.871,0.0245,0.396,NOMINAL,NORMAL,0,,0,11.7,4809,3211
1781430114.6498983,30,10,2.5605,1.557,0.0467,0.61,NOMINAL,NORMAL,0,,0,11.7,4809,3211
1781430114.7735772,30,10,2.227,0.907,0.0247,0.317,NOMINAL,NORMAL,0,,0,11.7,4809,3211
1781430114.8975458,30,10,1.3718,0.908,0.0356,0.494,NOMINAL,NORMAL,0,,0,11.7,4809,3211
1781430115.0258665,30,10,2.8188,1.75,0.0477,0.613,NOMINAL,NORMAL,0,,0,11.7,4809,3211
1781430115.1491885,30,10,2.5417,1.3,0.0236,0.336,NOMINAL,NORMAL,0,,0,11.7,4809,3211
1781430115.273194,30,10,1.531,1.237,0.0317,0.377,NOMINAL,NORMAL,0,,0,11.7,4809,3211
1781430115.3992307,30,10,2.5435,1.291,0.0234,0.292,NOMINAL,NORMAL,0,,0,11.7,4809,3211
1781430115.524504,30,10,2.5389,1.369,0.0357,0.474,NOMINAL,NORMAL,0,,0,12.2,4809,3211
1781430115.6503456,30,10,2.6558,1.843,0.0444,0.493,NOMINAL,NORMAL,0,,0,12.2,4809,3211
1781430115.7729883,30,10,1.5978,1.006,0.0234,0.419,NOMINAL,NORMAL,0,,0,12.2,4809,3211
1781430115.8994424,30,10,2.4531,1.472,0.0357,0.384,NOMINAL,NORMAL,0,,0,12.2,4809,3211
1781430116.0242107,30,10,2.44,1.127,0.0341,0.483,NOMINAL,NORMAL,0,,0,12.2,4809,3211
1781430116.1484652,30,10,2.2837,0.839,0.0235,0.269,NOMINAL,NORMAL,0,,0,12.2,4809,3211
1781430116.2743204,30,10,2.5848,1.216,0.0389,0.468,NOMINAL,NORMAL,0,,0,12.2,4809,3211
1781430116.3984923,30,10,2.3667,0.741,0.0229,0.248,NOMINAL,NORMAL,0,,0,12.2,4809,3211
1781430116.5242782,30,10,2.5122,1.045,0.0345,0.473,NOMINAL,NORMAL,0,,0,11.3,4928,3212
1781430116.6493752,30,10,2.6594,1.092,0.0349,0.458,NOMINAL,NORMAL,0,,0,11.3,4928,3212
1781430116.7720466,30,10,1.3604,0.738,0.0223,0.257,NOMINAL,NORMAL,0,,0,11.3,4928,3212
1781430116.8992133,30,10,2.4615,1.139,0.0345,0.477,NOMINAL,NORMAL,0,,0,11.3,4928,3212
1781430117.0238466,30,10,2.4283,1.019,0.0343,0.388,NOMINAL,NORMAL,0,,0,11.3,4928,3212
1781430117.1483555,30,10,1.6301,0.9,0.0244,0.875,NOMINAL,NORMAL,0,,0,11.3,4928,3212
1781430117.2739809,30,10,2.516,1.04,0.0348,0.477,NOMINAL,NORMAL,0,,0,11.3,4928,3212
1781430117.398132,30,10,1.7528,0.897,0.0253,0.347,NOMINAL,NORMAL,0,,0,11.3,4928,3212
1781430117.5227392,30,10,1.5321,0.888,0.0358,0.506,NOMINAL,NORMAL,0,,20,11.0,4809,3212
1781430117.6492248,30,10,2.6064,1.142,0.0307,0.34,NOMINAL,NORMAL,0,,20,11.0,4809,3212
1781430117.7733767,30,10,1.9553,1.204,0.0353,0.468,NOMINAL,NORMAL,0,,20,11.0,4809,3212
1781430117.8990214,30,10,2.4269,1.095,0.03,0.42,NOMINAL,NORMAL,0,,20,11.0,4809,3212
1781430118.0239024,30,10,2.5636,0.834,0.0231,0.354,NOMINAL,NORMAL,0,,20,11.0,4809,3212
1781430118.1499064,30,10,3.3035,1.092,0.0348,0.479,NOMINAL,NORMAL,0,,20,11.0,4809,3212
1781430118.2741387,30,10,2.5538,1.075,0.0341,0.389,NOMINAL,NORMAL,0,,20,11.0,4809,3212
1781430118.397878,30,10,1.5476,0.95,0.0341,0.443,NOMINAL,NORMAL,0,,20,11.0,4809,3212
1781430118.5242379,30,10,2.6863,1.031,0.0361,0.38,NOMINAL,NORMAL,0,,0,12.7,4809,3212
1781430118.649372,30,10,2.8279,1.039,0.0358,0.381,NOMINAL,NORMAL,0,,0,12.7,4809,3212
1781430118.7729616,30,10,1.8635,0.788,0.0246,0.261,NOMINAL,NORMAL,0,,0,12.7,4809,3212
1781430118.8993983,30,10,2.7334,1.095,0.0351,0.441,NOMINAL,NORMAL,0,,0,12.7,4809,3212
1781430119.0231357,30,10,1.9662,0.795,0.023,0.342,NOMINAL,NORMAL,0,,0,12.7,4809,3212
1781430119.1490355,30,10,2.5597,1.089,0.035,0.381,NOMINAL,NORMAL,0,,0,12.7,4809,3212
1781430119.2742991,30,10,2.5555,1.17,0.0358,0.446,NOMINAL,NORMAL,0,,0,12.7,4809,3212
1781430119.398837,30,10,2.6101,0.729,0.0231,0.252,NOMINAL,NORMAL,0,,0,12.7,4809,3212
1781430119.5242848,30,10,2.7513,1.06,0.0332,0.374,NOMINAL,NORMAL,0,,0,12.3,4848,3212
1781430119.648839,30,10,2.5739,0.849,0.0222,0.291,NOMINAL,NORMAL,0,,0,12.3,4848,3212
1781430119.7727563,30,10,1.4795,0.919,0.0344,0.387,NOMINAL,NORMAL,0,,0,12.3,4848,3212
1781430119.899061,30,10,2.5317,1.033,0.035,0.377,NOMINAL,NORMAL,0,,0,12.3,4848,3212
1781430120.0227745,30,10,1.4602,0.9,0.0342,0.436,NOMINAL,NORMAL,0,,0,12.3,4848,3212
1781430120.1494157,30,10,2.8764,1.128,0.0331,0.381,NOMINAL,NORMAL,0,,0,12.3,4848,3212
1781430120.2752914,30,10,2.7764,1.337,0.0395,0.618,NOMINAL,NORMAL,0,,0,12.3,4848,3212
1781430120.397577,30,10,1.442,0.786,0.0244,0.283,NOMINAL,NORMAL,0,,0,12.3,4848,3212
1781430120.5245762,30,10,2.6791,1.157,0.0333,0.389,NOMINAL,NORMAL,0,,0,9.8,4809,3212
1781430120.6550205,30,10,8.8587,0.827,0.0228,0.264,NOMINAL,NORMAL,0,,0,9.8,4809,3212
1781430120.773309,30,10,1.8469,1.084,0.0269,0.297,NOMINAL,NORMAL,0,,0,9.8,4809,3212
1781430120.899023,30,10,2.4392,0.958,0.0319,0.361,NOMINAL,NORMAL,0,,0,9.8,4809,3212
1781430121.024102,30,10,2.5982,1.094,0.0218,0.268,NOMINAL,NORMAL,0,,0,9.8,4809,3212
1781430121.1495194,30,10,2.7042,1.092,0.0352,0.574,NOMINAL,NORMAL,0,,0,9.8,4809,3212
1781430121.2741904,30,10,2.5716,1.112,0.0245,0.341,NOMINAL,NORMAL,0,,0,9.8,4809,3212
1781430121.3990738,30,10,2.5452,1.039,0.0321,0.37,NOMINAL,NORMAL,0,,0,9.8,4809,3212
1781430121.5241392,30,10,2.5206,1.086,0.0339,0.367,NOMINAL,NORMAL,0,,0,14.0,4848,3213
1781430121.6494026,30,10,2.69,1.206,0.0312,0.363,NOMINAL,NORMAL,0,,0,14.0,4848,3213
1781430121.774103,30,10,2.5838,1.016,0.0331,0.365,NOMINAL,NORMAL,0,,0,14.0,4848,3213
1781430121.8992195,30,10,2.5926,1.098,0.0344,0.392,NOMINAL,NORMAL,0,,0,14.0,4848,3213
1781430122.0240815,30,10,2.3968,1.008,0.0336,0.455,NOMINAL,NORMAL,0,,0,14.0,4848,3213
1781430122.1495473,30,10,2.7114,1.048,0.0364,0.386,NOMINAL,NORMAL,0,,0,14.0,4848,3213
1781430122.2736077,30,10,2.3834,0.816,0.0236,0.276,NOMINAL,NORMAL,0,,0,14.0,4848,3213
1781430122.3974423,30,10,1.536,0.84,0.0333,0.372,NOMINAL,NORMAL,0,,0,14.0,4848,3213
1781430122.5245612,30,10,2.8666,1.074,0.0355,0.389,NOMINAL,NORMAL,0,,4,13.5,4880,3213
1781430122.6475284,30,10,1.425,0.929,0.0341,0.386,NOMINAL,NORMAL,0,,4,13.5,4880,3213
1781430122.7741914,30,10,2.6401,1.034,0.035,0.384,NOMINAL,NORMAL,0,,4,13.5,4880,3213
