phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1641772800.0,1786269728.210579,1,1.9826,0.0766,0.0433,2.132,0.0558,0.458,NOMINAL,NOMINAL,STALE,0,
1641773700.0,1786269728.3337684,1,1.8392,0.0798,,1.672,0.0493,0.363,NOMINAL,NOMINAL,STALE,0,
1641774600.0,1786269728.4584358,1,1.9072,0.0835,,1.439,0.0334,0.244,NOMINAL,NOMINAL,STALE,0,
1641775500.0,1786269728.5847096,1,2.3437,0.1092,,1.712,0.0543,0.406,NOMINAL,NOMINAL,STALE,0,
1641776400.0,1786269728.7093937,1,1.8408,0.1211,,2.212,0.0605,0.479,NOMINAL,NOMINAL,STALE,0,
1641777300.0,1786269728.8345425,1,2.429,0.1691,,1.717,0.0624,0.519,NOMINAL,NOMINAL,STALE,0,
1641778200.0,1786269728.9584954,1,1.8815,0.1032,,1.468,0.0453,0.345,NOMINAL,NOMINAL,STALE,0,
1641779100.0,1786269729.0842593,1,1.9609,0.081,,1.796,0.0491,0.387,NOMINAL,NOMINAL,STALE,0,
1641780000.0,1786269729.2102494,1,2.3967,0.1189,,1.748,0.0625,0.45,NOMINAL,NOMINAL,STALE,0,
1641780900.0,1786269729.3329096,1,1.8044,0.106,,1.049,0.0436,0.331,NOMINAL,NOMINAL,STALE,0,
1641781800.0,1786269729.460213,1,2.4553,0.1191,,1.978,0.0624,0.497,NOMINAL,NOMINAL,STALE,0,
1641782700.0,1786269729.5839484,1,2.7808,0.0789,,1.061,0.0398,0.296,NOMINAL,NOMINAL,STALE,0,
1641783600.0,1786269729.7092621,1,1.9171,0.0838,,1.385,0.0511,0.359,NOMINAL,NOMINAL,STALE,0,
1641784500.0,1786269729.833428,1,1.7716,0.0717,,1.354,0.0636,0.377,NOMINAL,NOMINAL,STALE,0,
1641785400.0,1786269729.9605155,1,2.4526,0.1143,,1.883,0.0548,0.412,NOMINAL,NOMINAL,STALE,0,
1641786300.0,1786269730.084136,1,1.8603,0.076,,1.763,0.048,0.375,NOMINAL,NOMINAL,STALE,0,
1641787200.0,1786269730.208227,1,1.3731,0.1003,,1.157,0.0438,0.375,NOMINAL,NOMINAL,STALE,0,
1641788100.0,1786269730.3344362,1,2.6221,0.1039,,1.237,0.0508,0.357,NOMINAL,NOMINAL,STALE,0,
1641789000.0,1786269730.46026,1,2.4119,0.1184,,1.66,0.0625,0.515,NOMINAL,NOMINAL,STALE,0,
1641789900.0,1786269730.5833127,1,1.8394,0.0756,,1.17,0.031,0.239,NOMINAL,NOMINAL,STALE,0,
1641790800.0,1786269730.7092934,1,2.0118,0.0796,,1.492,0.048,0.359,NOMINAL,NOMINAL,STALE,0,
1641791700.0,1786269730.8348894,1,2.4406,0.1203,,1.588,0.0586,0.501,NOMINAL,NOMINAL,STALE,0,
1641792600.0,1786269730.9582858,1,1.8434,0.1012,,1.114,0.0456,0.327,NOMINAL,NOMINAL,STALE,0,
1641793500.0,1786269731.0836823,1,2.1748,0.087,,1.399,0.048,0.345,NOMINAL,NOMINAL,STALE,0,
1641794400.0,1786269731.2101667,1,2.4626,0.1199,,1.741,0.0633,0.467,NOMINAL,NOMINAL,STALE,0,
1641795300.0,1786269731.334322,1,2.3734,0.0913,,1.305,0.0467,0.358,NOMINAL,NOMINAL,STALE,0,
1641796200.0,1786269731.4588792,1,1.9144,0.12,,1.68,0.062,0.46,NOMINAL,NOMINAL,STALE,0,
1641797100.0,1786269731.5829365,1,1.5019,0.1018,,1.162,0.0454,0.349,NOMINAL,NOMINAL,STALE,0,
1641798000.0,1786269731.7092044,1,2.1336,0.0832,,1.426,0.0468,0.365,NOMINAL,NOMINAL,STALE,0,
1641798900.0,1786269731.8341272,1,2.038,0.1213,,1.794,0.0645,0.465,NOMINAL,NOMINAL,STALE,0,
1641799800.0,1786269731.9599044,1,2.4758,0.1268,,1.661,0.0934,0.444,NOMINAL,NOMINAL,STALE,0,
