phys_ts,ai_pub_wall_ts,ap_state,status,alert_transport_ms,preproc_ms,infer_ms,activation_total_ms,per_model_ms,n_models,p_event,y_pred
1641863700.0,1786271186.674565,PRE_ALERT,INSUFFICIENT_DATA,0.978,0.0123,0.0,0.0986,[],1,,
1641869100.0,1786271187.424756,PRE_ALERT,INSUFFICIENT_DATA,1.222,0.0067,0.0,0.0845,[],1,,
1641891600.0,1786271190.5583587,PRE_ALERT,OK,1.233,1.2007,7.2897,8.6451,[6.6195],1,0.2693178057670593,0
1641903300.0,1786271192.1808372,PRE_ALERT,OK,1.256,0.8423,4.0467,4.9991,[3.5154],1,0.2363550066947937,0
1641909600.0,1786271193.054743,PRE_ALERT,OK,1.033,0.5574,4.2705,4.943,[3.8253],1,0.15687406063079834,0
1641948300.0,1786271198.4300053,PRE_ALERT,OK,1.354,0.5782,3.8908,4.5637,[3.5486],1,0.22534584999084473,0
1641954600.0,1786271199.3061163,PRE_ALERT,OK,1.092,0.4468,6.1596,6.7623,[5.5591],1,0.20434802770614624,0
1641982500.0,1786271203.1831741,PRE_ALERT,OK,1.516,0.7589,5.9981,6.893,[5.4313],1,0.17127591371536255,0
1641988800.0,1786271204.0560737,PRE_ALERT,OK,1.093,0.4427,6.027,6.6109,[5.4711],1,0.13405144214630127,0
1641995100.0,1786271204.931904,PRE_ALERT,OK,0.812,0.4788,7.1973,7.8226,[6.6502],1,0.1602122187614441,0
1642027500.0,1786271209.4313967,PRE_ALERT,OK,0.844,0.3549,5.7279,6.1905,[5.3042],1,0.19856983423233032,0
1642033800.0,1786271210.304592,PRE_ALERT,OK,0.528,0.3736,5.5969,6.089,[5.1193],1,0.1860831379890442,0
1642068000.0,1786271215.0560772,PRE_ALERT,OK,1.136,0.441,6.1542,6.7605,[5.5341],1,0.1710376739501953,0
1642079700.0,1786271216.6806931,PRE_ALERT,OK,1.076,0.6492,5.5747,6.343,[5.0978],1,0.2195565104484558,0
1642086000.0,1786271217.5574846,PRE_ALERT,OK,1.252,0.6722,6.4616,7.2768,[5.8623],1,0.12804800271987915,0
1642113000.0,1786271221.3059192,PRE_ALERT,OK,1.23,0.6437,5.0026,5.7608,[4.5545],1,0.2137739062309265,0
1642124700.0,1786271222.9307494,PRE_ALERT,OK,0.806,0.485,5.7642,6.3863,[5.2101],1,0.1778622269630432,0
1642131000.0,1786271223.8056624,PRE_ALERT,OK,0.827,0.3497,5.8585,6.3282,[5.1446],1,0.17411047220230103,0
1642158900.0,1786271227.680978,PRE_ALERT,OK,0.97,0.6321,4.4273,5.1738,[3.9643],1,0.19476819038391113,0
1642165200.0,1786271228.5559187,PRE_ALERT,OK,1.668,0.5797,4.6295,5.321,[4.1877],1,0.15923351049423218,0
1642203900.0,1786271233.9307182,PRE_ALERT,OK,1.057,0.5585,4.3917,5.0613,[3.9524],1,0.21356678009033203,0
1642210200.0,1786271234.8071005,PRE_ALERT,OK,1.851,0.6901,5.3617,6.1925,[4.7893],1,0.16652911901474,0
1642238100.0,1786271238.6819823,PRE_ALERT,OK,2.199,0.6051,5.034,5.7548,[4.6024],1,0.09740769863128662,0
1642244400.0,1786271239.5559304,PRE_ALERT,OK,1.104,0.4498,6.0045,6.6185,[5.4152],1,0.15650027990341187,0
1642256100.0,1786271241.1824567,PRE_ALERT,OK,1.703,0.7593,5.8858,6.7768,[5.294],1,0.23272430896759033,0
1642283100.0,1786271244.9302864,PRE_ALERT,OK,1.216,0.5172,5.5132,6.1476,[4.9959],1,0.23550289869308472,0
1642289400.0,1786271245.8055787,PRE_ALERT,OK,1.367,0.4711,6.1564,6.7789,[5.568],1,0.15974581241607666,0
1642294800.0,1786271246.5556133,PRE_ALERT,OK,1.038,0.4479,5.8627,6.4539,[5.2825],1,0.1484350562095642,0
1642301100.0,1786271247.4308197,PRE_ALERT,OK,0.991,0.5787,4.8631,5.5539,[4.4231],1,0.17968934774398804,0
1642335300.0,1786271252.180428,PRE_ALERT,OK,1.073,0.5852,4.6303,5.3633,[4.1136],1,0.14045828580856323,0
1642341600.0,1786271253.0572433,PRE_ALERT,OK,1.068,0.6849,4.954,5.7634,[4.4055],1,0.11083817481994629,0
