08-09-2026 20:13:38 RAM 2973/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@883,1%@883,7%@883,4%@883,2%@806,3%@806] GR3D_FREQ 0% cpu@45.281C soc2@44.687C soc0@43.156C gpu@44.75C tj@45.281C soc1@43.187C VDD_IN 3280mW/3280mW VDD_CPU_GPU_CV 599mW/599mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:39 RAM 2974/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [1%@1036,0%@1036,3%@1036,3%@1036,2%@729,1%@729] GR3D_FREQ 0% cpu@45.406C soc2@44.718C soc0@43.312C gpu@44.593C tj@45.406C soc1@43.312C VDD_IN 3200mW/3240mW VDD_CPU_GPU_CV 559mW/579mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:40 RAM 2973/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [0%@729,1%@729,1%@729,0%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@45.5C soc2@44.625C soc0@43.218C gpu@44.625C tj@45.5C soc1@43.125C VDD_IN 3160mW/3213mW VDD_CPU_GPU_CV 519mW/559mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:41 RAM 2973/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [0%@729,0%@729,1%@729,2%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@45.25C soc2@44.656C soc0@43.218C gpu@44.781C tj@45.25C soc1@43.125C VDD_IN 3160mW/3200mW VDD_CPU_GPU_CV 519mW/549mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:42 RAM 2973/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [1%@729,0%@729,1%@729,1%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@45.343C soc2@44.718C soc0@43.218C gpu@44.812C tj@45.343C soc1@43.343C VDD_IN 3200mW/3200mW VDD_CPU_GPU_CV 519mW/543mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:43 RAM 2974/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [2%@729,2%@729,5%@729,2%@729,0%@729,2%@729] GR3D_FREQ 0% cpu@45.468C soc2@44.593C soc0@43.312C gpu@44.625C tj@45.468C soc1@43.093C VDD_IN 3280mW/3213mW VDD_CPU_GPU_CV 599mW/552mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:44 RAM 2973/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [1%@729,2%@729,2%@729,3%@729,0%@729,2%@729] GR3D_FREQ 0% cpu@45.656C soc2@44.718C soc0@43.093C gpu@44.562C tj@45.656C soc1@43.125C VDD_IN 3200mW/3211mW VDD_CPU_GPU_CV 559mW/553mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:45 RAM 2973/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [0%@729,0%@729,2%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C soc2@44.75C soc0@43.218C gpu@44.812C tj@45.25C soc1@43.093C VDD_IN 3160mW/3205mW VDD_CPU_GPU_CV 519mW/549mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:46 RAM 2973/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [1%@729,1%@729,1%@729,2%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@45.343C soc2@44.75C soc0@43.187C gpu@44.875C tj@45.343C soc1@43.156C VDD_IN 3160mW/3200mW VDD_CPU_GPU_CV 519mW/545mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:47 RAM 2973/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [1%@729,2%@729,0%@729,1%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@45.562C soc2@44.625C soc0@43.343C gpu@44.812C tj@45.562C soc1@43.062C VDD_IN 3200mW/3200mW VDD_CPU_GPU_CV 519mW/543mW VDD_SOC 1080mW/1080mW
08-09-2026 20:13:48 RAM 2973/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [1%@729,0%@729,3%@729,2%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@45.281C soc2@44.687C soc0@43.093C gpu@44.656C tj@45.281C soc1@43.187C VDD_IN 3160mW/3196mW VDD_CPU_GPU_CV 519mW/540mW VDD_SOC 1080mW/1080mW
