phys_ts,ai_pub_wall_ts,ap_state,status,alert_transport_ms,preproc_ms,infer_ms,activation_total_ms,per_model_ms,n_models,p_event,y_pred
1641863700.0,1786276391.6549056,PRE_ALERT,INSUFFICIENT_DATA,1.556,0.028,0.0,0.2413,[],1,,
1641869100.0,1786276392.4045484,PRE_ALERT,INSUFFICIENT_DATA,1.169,0.0204,0.0,0.2572,[],1,,
1641891600.0,1786276395.5419486,PRE_ALERT,OK,1.35,2.1397,11.1183,13.5435,[9.7174],1,0.2693178057670593,0
1641903300.0,1786276397.1654575,PRE_ALERT,OK,0.946,1.4019,10.0002,11.6745,[8.7521],1,0.2363550066947937,0
1641909600.0,1786276398.0425801,PRE_ALERT,OK,1.62,1.4768,9.4021,11.1355,[8.2366],1,0.15687406063079834,0
1641948300.0,1786276403.4157124,PRE_ALERT,OK,1.387,1.4288,9.1641,10.879,[8.0697],1,0.22534584999084473,0
1641954600.0,1786276404.2860672,PRE_ALERT,OK,1.245,1.4925,8.1908,9.8184,[7.4369],1,0.20434802770614624,0
1641982500.0,1786276408.16597,PRE_ALERT,OK,1.027,1.412,9.6811,11.3707,[8.4709],1,0.17127591371536255,0
1641988800.0,1786276409.0392005,PRE_ALERT,OK,1.878,1.3099,6.5019,7.9188,[5.9572],1,0.13405144214630127,0
1641995100.0,1786276409.9136126,PRE_ALERT,OK,1.508,1.396,7.3762,9.02,[6.2417],1,0.1602122187614441,0
1642027500.0,1786276414.415846,PRE_ALERT,OK,1.411,1.4742,9.6411,11.3895,[8.4403],1,0.19856983423233032,0
1642033800.0,1786276415.2922368,PRE_ALERT,OK,1.493,1.4093,9.5819,11.2591,[8.3821],1,0.1860831379890442,0
1642068000.0,1786276420.0378544,PRE_ALERT,OK,0.962,2.4166,6.3147,8.8486,[5.7262],1,0.1710376739501953,0
1642079700.0,1786276421.6659675,PRE_ALERT,OK,1.159,1.4077,9.4982,11.1006,[8.355],1,0.2195565104484558,0
1642086000.0,1786276422.5416589,PRE_ALERT,OK,0.898,1.4189,9.379,11.0044,[8.2516],1,0.12804800271987915,0
1642113000.0,1786276426.2926254,PRE_ALERT,OK,1.376,1.4001,9.6902,11.3431,[8.5315],1,0.2137739062309265,0
