phys_ts,n_channels,zbuf_update_ms
1641772800.0,1,0.00602
1641773700.0,1,0.02218
1641774600.0,1,0.01558
1641775500.0,1,0.01805
1641776400.0,1,0.02487
1641777300.0,1,0.00758
1641778200.0,1,0.00592
1641779100.0,1,0.01952
1641780000.0,1,0.02394
1641780900.0,1,0.01866
1641781800.0,1,0.01712
1641782700.0,1,0.01718
1641783600.0,1,0.01824
1641784500.0,1,0.02064
1641785400.0,1,0.00493
1641786300.0,1,0.01869
1641787200.0,1,0.0231
1641788100.0,1,0.02151
1641789000.0,1,0.01635
1641789900.0,1,0.01498
1641790800.0,1,0.01728
1641791700.0,1,0.01482
1641792600.0,1,0.01683
1641793500.0,1,0.01991
1641794400.0,1,0.0159
1641795300.0,1,0.01335
1641796200.0,1,0.01466
1641797100.0,1,0.01344
1641798000.0,1,0.01968
1641798900.0,1,0.01293
1641799800.0,1,0.01594
1641800700.0,1,0.01939
1641801600.0,1,0.00422
1641802500.0,1,0.0184
1641803400.0,1,0.01645
1641804300.0,1,0.01309
1641805200.0,1,0.01203
1641806100.0,1,0.01062
1641807000.0,1,0.01194
1641807900.0,1,0.01558
1641808800.0,1,0.01622
1641809700.0,1,0.02394
1641810600.0,1,0.02154
1641811500.0,1,0.01677
1641812400.0,1,0.00947
1641813300.0,1,0.02112
1641814200.0,1,0.02096
1641815100.0,1,0.01987
1641816000.0,1,0.02259
1641816900.0,1,0.01994
1641817800.0,1,0.02099
1641818700.0,1,0.01479
1641819600.0,1,0.01066
1641820500.0,1,0.02285
1641821400.0,1,0.02125
1641822300.0,1,0.01843
1641823200.0,1,0.01584
1641824100.0,1,0.02176
1641825000.0,1,0.02093
1641825900.0,1,0.02006
1641826800.0,1,0.01184
1641827700.0,1,0.01277
1641828600.0,1,0.01779
1641829500.0,1,0.01958
1641830400.0,1,0.01763
1641831300.0,1,0.01872
1641832200.0,1,0.01622
1641833100.0,1,0.01347
1641834000.0,1,0.02179
1641834900.0,1,0.01635
1641835800.0,1,0.01987
1641836700.0,1,0.01821
1641837600.0,1,0.01914
1641838500.0,1,0.01975
1641839400.0,1,0.01715
1641840300.0,1,0.01715
1641841200.0,1,0.01392
1641842100.0,1,0.01632
1641843000.0,1,0.016
1641843900.0,1,0.01738
1641844800.0,1,0.01479
1641845700.0,1,0.0151
1641846600.0,1,0.01693
1641847500.0,1,0.0192
1641848400.0,1,0.00915
1641849300.0,1,0.02362
1641850200.0,1,0.01478
1641851100.0,1,0.02144
1641852000.0,1,0.01706
1641852900.0,1,0.02157
1641853800.0,1,0.02202
1641854700.0,1,0.01911
1641855600.0,1,0.01427
1641856500.0,1,0.02189
1641857400.0,1,0.02125
1641858300.0,1,0.02128
1641859200.0,1,0.03223
1641860100.0,1,0.0271
1641861000.0,1,0.02467
1641861900.0,1,0.02157
1641862800.0,1,0.01939
1641863700.0,1,0.01763
1641864600.0,1,0.01926
1641865500.0,1,0.02205
1641866400.0,1,0.02246
1641867300.0,1,0.02358
1641868200.0,1,0.02455
1641869100.0,1,0.02659
1641870000.0,1,0.02618
1641870900.0,1,0.01866
1641871800.0,1,0.02077
1641872700.0,1,0.02554
1641873600.0,1,0.02058
1641874500.0,1,0.00928
1641875400.0,1,0.02557
1641876300.0,1,0.01914
1641877200.0,1,0.01795
1641878100.0,1,0.01952
1641879000.0,1,0.00928
1641879900.0,1,0.0264
1641880800.0,1,0.02138
1641881700.0,1,0.01638
1641882600.0,1,0.02199
1641883500.0,1,0.03328
1641884400.0,1,0.01482
1641885300.0,1,0.03302
1641886200.0,1,0.00733
1641887100.0,1,0.03149
1641888000.0,1,0.02502
1641888900.0,1,0.0232
1641889800.0,1,0.02829
1641890700.0,1,0.03232
1641891600.0,1,0.01526
1641892500.0,1,0.03843
1641893400.0,1,0.03069
1641894300.0,1,0.01082
1641895200.0,1,0.02845
1641896100.0,1,0.02791
1641897000.0,1,0.0312
1641897900.0,1,0.02957
1641898800.0,1,0.01962
1641899700.0,1,0.02157
1641900600.0,1,0.02435
1641901500.0,1,0.00775
1641902400.0,1,0.02858
1641903300.0,1,0.02669
1641904200.0,1,0.02438
1641905100.0,1,0.02749
1641906000.0,1,0.02995
1641906900.0,1,0.02602
1641907800.0,1,0.02294
1641908700.0,1,0.02522
1641909600.0,1,0.02957
1641910500.0,1,0.02365
1641911400.0,1,0.02762
1641912300.0,1,0.02282
1641913200.0,1,0.02525
1641914100.0,1,0.02026
1641915000.0,1,0.01917
1641915900.0,1,0.02458
1641916800.0,1,0.02941
1641917700.0,1,0.02515
1641918600.0,1,0.02499
1641919500.0,1,0.02064
1641920400.0,1,0.01597
1641921300.0,1,0.04013
1641922200.0,1,0.0217
1641923100.0,1,0.02544
1641924000.0,1,0.02688
1641924900.0,1,0.02442
1641925800.0,1,0.02541
1641926700.0,1,0.02742
1641927600.0,1,0.02752
1641928500.0,1,0.03846
1641929400.0,1,0.03072
1641930300.0,1,0.03034
1641931200.0,1,0.03155
1641932100.0,1,0.0233
1641933000.0,1,0.02528
1641933900.0,1,0.02518
1641934800.0,1,0.02672
1641935700.0,1,0.02074
1641936600.0,1,0.01687
1641937500.0,1,0.0271
1641938400.0,1,0.02858
1641939300.0,1,0.01943
1641940200.0,1,0.02003
1641941100.0,1,0.01664
1641942000.0,1,0.02871
1641942900.0,1,0.02906
1641943800.0,1,0.01776
1641944700.0,1,0.02
1641945600.0,1,0.02135
1641946500.0,1,0.03091
1641947400.0,1,0.02154
1641948300.0,1,0.02166
1641949200.0,1,0.02653
1641950100.0,1,0.01962
1641951000.0,1,0.01334
1641951900.0,1,0.02211
1641952800.0,1,0.02285
1641953700.0,1,0.02253
1641954600.0,1,0.00973
1641955500.0,1,0.04234
1641956400.0,1,0.0201
1641957300.0,1,0.04019
1641958200.0,1,0.03386
1641959100.0,1,0.03414
1641960000.0,1,0.03677
1641960900.0,1,0.032
1641961800.0,1,0.02387
1641962700.0,1,0.02115
1641963600.0,1,0.0193
1641964500.0,1,0.03414
1641965400.0,1,0.02688
1641966300.0,1,0.02874
1641967200.0,1,0.02627
1641968100.0,1,0.0256
1641969000.0,1,0.02522
1641969900.0,1,0.0216
1641970800.0,1,0.02119
1641971700.0,1,0.02614
1641972600.0,1,0.02202
1641973500.0,1,0.00909
1641974400.0,1,0.02819
1641975300.0,1,0.02454
1641976200.0,1,0.02179
1641977100.0,1,0.02534
1641978000.0,1,0.02717
1641978900.0,1,0.03063
1641979800.0,1,0.02086
1641980700.0,1,0.00704
1641981600.0,1,0.00954
1641982500.0,1,0.02336
1641983400.0,1,0.01942
1641984300.0,1,0.02218
1641985200.0,1,0.01629
1641986100.0,1,0.02074
1641987000.0,1,0.02186
1641987900.0,1,0.0208
1641988800.0,1,0.02947
1641989700.0,1,0.028
1641990600.0,1,0.02192
1641991500.0,1,0.03014
1641992400.0,1,0.01779
1641993300.0,1,0.03511
1641994200.0,1,0.02266
1641995100.0,1,0.02298
1641996000.0,1,0.0288
1641996900.0,1,0.02669
1641997800.0,1,0.02586
1641998700.0,1,0.02416
1641999600.0,1,0.02947
1642000500.0,1,0.03779
1642001400.0,1,0.02842
1642002300.0,1,0.02282
1642003200.0,1,0.02595
1642004100.0,1,0.0255
1642005000.0,1,0.02374
1642005900.0,1,0.02698
1642006800.0,1,0.01879
1642007700.0,1,0.02758
1642008600.0,1,0.02435
1642009500.0,1,0.01754
1642010400.0,1,0.02102
1642011300.0,1,0.02448
1642012200.0,1,0.0264
1642013100.0,1,0.02624
1642014000.0,1,0.02176
1642014900.0,1,0.00947
1642015800.0,1,0.02272
1642016700.0,1,0.02118
1642017600.0,1,0.02163
1642018500.0,1,0.02487
1642019400.0,1,0.02304
1642020300.0,1,0.01818
1642021200.0,1,0.00826
1642022100.0,1,0.00653
1642023000.0,1,0.02304
1642023900.0,1,0.01523
1642024800.0,1,0.00998
1642025700.0,1,0.02954
1642026600.0,1,0.02346
1642027500.0,1,0.0201
1642028400.0,1,0.01466
1642029300.0,1,0.03539
1642030200.0,1,0.03047
1642031100.0,1,0.02883
1642032000.0,1,0.00886
1642032900.0,1,0.02752
1642033800.0,1,0.0256
1642034700.0,1,0.00944
1642035600.0,1,0.02742
1642036500.0,1,0.03895
1642037400.0,1,0.03005
1642038300.0,1,0.03392
1642039200.0,1,0.02531
1642040100.0,1,0.02151
1642041000.0,1,0.02026
1642041900.0,1,0.01757
1642042800.0,1,0.02365
1642043700.0,1,0.02064
1642044600.0,1,0.01962
1642045500.0,1,0.03024
1642046400.0,1,0.02726
1642047300.0,1,0.02416
1642048200.0,1,0.02272
1642049100.0,1,0.02445
1642050000.0,1,0.0208
1642050900.0,1,0.03162
1642051800.0,1,0.02518
1642052700.0,1,0.01862
1642053600.0,1,0.02413
1642054500.0,1,0.02003
1642055400.0,1,0.0207
1642056300.0,1,0.01987
1642057200.0,1,0.02554
1642058100.0,1,0.01712
1642059000.0,1,0.01789
1642059900.0,1,0.02112
1642060800.0,1,0.00829
1642061700.0,1,0.02496
1642062600.0,1,0.02698
1642063500.0,1,0.02442
1642064400.0,1,0.01616
1642065300.0,1,0.04256
1642066200.0,1,0.0239
1642067100.0,1,0.02966
1642068000.0,1,0.02157
1642068900.0,1,0.00605
1642069800.0,1,0.03034
1642070700.0,1,0.02506
1642071600.0,1,0.02278
1642072500.0,1,0.03936
1642073400.0,1,0.02679
1642074300.0,1,0.02653
1642075200.0,1,0.02826
1642076100.0,1,0.03126
1642077000.0,1,0.03088
1642077900.0,1,0.02829
1642078800.0,1,0.02317
1642079700.0,1,0.01862
1642080600.0,1,0.01613
1642081500.0,1,0.02413
1642082400.0,1,0.0287
1642083300.0,1,0.02563
1642084200.0,1,0.02429
1642085100.0,1,0.02266
1642086000.0,1,0.01094
1642086900.0,1,0.02432
1642087800.0,1,0.02003
1642088700.0,1,0.02198
1642089600.0,1,0.02467
1642090500.0,1,0.02435
1642091400.0,1,0.02758
1642092300.0,1,0.01923
1642093200.0,1,0.0256
1642094100.0,1,0.01949
1642095000.0,1,0.01398
1642095900.0,1,0.01965
1642096800.0,1,0.02573
1642097700.0,1,0.02282
1642098600.0,1,0.02448
1642099500.0,1,0.02349
1642100400.0,1,0.01469
1642101300.0,1,0.03645
1642102200.0,1,0.02538
1642103100.0,1,0.02195
1642104000.0,1,0.02246
1642104900.0,1,0.0264
1642105800.0,1,0.03066
1642106700.0,1,0.03533
1642107600.0,1,0.02871
1642108500.0,1,0.03648
1642109400.0,1,0.02637
1642110300.0,1,0.02397
1642111200.0,1,0.02086
1642112100.0,1,0.02816
1642113000.0,1,0.02781
1642113900.0,1,0.02048
1642114800.0,1,0.00784
1642115700.0,1,0.02119
1642116600.0,1,0.01904
1642117500.0,1,0.02224
1642118400.0,1,0.02432
1642119300.0,1,0.03056
1642120200.0,1,0.0265
1642121100.0,1,0.02791
1642122000.0,1,0.0256
1642122900.0,1,0.03255
1642123800.0,1,0.02371
1642124700.0,1,0.02051
1642125600.0,1,0.02528
1642126500.0,1,0.02871
1642127400.0,1,0.02851
