phys_ts,n_channels,zbuf_update_ms
1641772800.0,3,0.01315
1641773700.0,3,0.01091
1641774600.0,3,0.00534
1641775500.0,3,0.02141
1641776400.0,3,0.01661
1641777300.0,3,0.02109
1641778200.0,3,0.0207
1641779100.0,3,0.02086
1641780000.0,3,0.02282
1641780900.0,3,0.01677
1641781800.0,3,0.00925
1641782700.0,3,0.00685
1641783600.0,3,0.01693
1641784500.0,3,0.01635
1641785400.0,3,0.0153
1641786300.0,3,0.01414
1641787200.0,3,0.00477
1641788100.0,3,0.01174
1641789000.0,3,0.00989
1641789900.0,3,0.0113
1641790800.0,3,0.01223
1641791700.0,3,0.01142
1641792600.0,3,0.01827
1641793500.0,3,0.01782
1641794400.0,3,0.01226
1641795300.0,3,0.01693
1641796200.0,3,0.00851
1641797100.0,3,0.00557
1641798000.0,3,0.01824
1641798900.0,3,0.01514
1641799800.0,3,0.01798
1641800700.0,3,0.01594
1641801600.0,3,0.01478
1641802500.0,3,0.0167
1641803400.0,3,0.01597
1641804300.0,3,0.01459
1641805200.0,3,0.02067
1641806100.0,3,0.01565
1641807000.0,3,0.02736
1641807900.0,3,0.02384
1641808800.0,3,0.0215
1641809700.0,3,0.01821
1641810600.0,3,0.01757
1641811500.0,3,0.0161
1641812400.0,3,0.02122
1641813300.0,3,0.02301
1641814200.0,3,0.02218
1641815100.0,3,0.02528
1641816000.0,3,0.02406
1641816900.0,3,0.01869
1641817800.0,3,0.01744
1641818700.0,3,0.02672
1641819600.0,3,0.02125
1641820500.0,3,0.01578
1641821400.0,3,0.01347
1641822300.0,3,0.01872
1641823200.0,3,0.00534
1641824100.0,3,0.01872
1641825000.0,3,0.01872
1641825900.0,3,0.01738
1641826800.0,3,0.01971
1641827700.0,3,0.02007
1641828600.0,3,0.02282
1641829500.0,3,0.02602
1641830400.0,3,0.02141
1641831300.0,3,0.00832
1641832200.0,3,0.01987
1641833100.0,3,0.01856
1641834000.0,3,0.02058
1641834900.0,3,0.01709
1641835800.0,3,0.01562
1641836700.0,3,0.01991
1641837600.0,3,0.02112
1641838500.0,3,0.00528
1641839400.0,3,0.02125
1641840300.0,3,0.00874
1641841200.0,3,0.02083
1641842100.0,3,0.01805
1641843000.0,3,0.02816
1641843900.0,3,0.02938
1641844800.0,3,0.02352
1641845700.0,3,0.01821
1641846600.0,3,0.01894
1641847500.0,3,0.01283
1641848400.0,3,0.0184
1641849300.0,3,0.0145
1641850200.0,3,0.02582
1641851100.0,3,0.02701
1641852000.0,3,0.02487
1641852900.0,3,0.02093
1641853800.0,3,0.01856
1641854700.0,3,0.01539
1641855600.0,3,0.02749
1641856500.0,3,0.01712
1641857400.0,3,0.0264
1641858300.0,3,0.01936
1641859200.0,3,0.0424
1641860100.0,3,0.03533
1641861000.0,3,0.02938
1641861900.0,3,0.03062
1641862800.0,3,0.03319
1641863700.0,3,0.02189
1641864600.0,3,0.03386
1641865500.0,3,0.04109
1641866400.0,3,0.04618
1641867300.0,3,0.03162
1641868200.0,3,0.02602
1641869100.0,3,0.0192
1641870000.0,3,0.02611
1641870900.0,3,0.01923
1641871800.0,3,0.0448
1641872700.0,3,0.02656
