phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1641778200.0,1786276985.9086409,1,1.9333,0.1142,,1.371,0.0461,0.432,NOMINAL,NOMINAL,STALE,0,
1641779100.0,1786276986.037837,1,3.8336,0.1525,,2.406,0.1195,1.006,NOMINAL,NOMINAL,STALE,0,
1641780000.0,1786276986.1615386,1,3.1028,0.1339,,2.271,0.1153,0.95,NOMINAL,NOMINAL,STALE,0,
1641780900.0,1786276986.288542,1,3.5973,0.1484,,3.026,0.1172,1.007,NOMINAL,NOMINAL,STALE,0,
1641781800.0,1786276986.4116197,1,3.2001,0.1438,,2.348,0.1044,0.805,NOMINAL,NOMINAL,STALE,0,
1641782700.0,1786276986.5361664,1,2.5656,0.1237,,2.57,0.0838,1.098,NOMINAL,NOMINAL,STALE,0,
1641783600.0,1786276986.661849,1,3.0805,0.132,,2.62,0.0982,0.784,NOMINAL,NOMINAL,STALE,0,
1641784500.0,1786276986.785031,1,1.8576,0.1365,,2.52,0.1064,0.918,NOMINAL,NOMINAL,STALE,0,
1641785400.0,1786276986.9119213,1,3.4998,0.1419,,2.403,0.0996,0.551,NOMINAL,NOMINAL,STALE,0,
1641786300.0,1786276987.0378633,1,3.959,0.1654,,2.519,0.1027,0.776,NOMINAL,NOMINAL,STALE,0,
1641787200.0,1786276987.1626906,1,3.2568,0.1403,,3.032,0.1171,1.062,NOMINAL,NOMINAL,STALE,0,
1641788100.0,1786276987.288468,1,3.7313,0.1487,,2.735,0.1238,1.131,NOMINAL,NOMINAL,STALE,0,
1641789000.0,1786276987.411065,1,3.0223,0.1361,,2.17,0.1011,0.806,NOMINAL,NOMINAL,STALE,0,
1641789900.0,1786276987.5357783,1,2.7839,0.1381,,2.287,0.0969,0.795,NOMINAL,NOMINAL,STALE,0,
1641790800.0,1786276987.6614232,1,3.1332,0.1313,,2.402,0.0931,0.797,NOMINAL,NOMINAL,STALE,0,
1641791700.0,1786276987.782674,1,1.6553,0.0962,,0.992,0.0435,0.404,NOMINAL,NOMINAL,STALE,0,
1641792600.0,1786276987.9076533,1,1.5434,0.0635,,0.778,0.0299,0.301,NOMINAL,NOMINAL,STALE,0,
1641793500.0,1786276988.0376947,1,3.56,0.1635,,2.724,0.1131,0.96,NOMINAL,NOMINAL,STALE,0,
1641794400.0,1786276988.1618092,1,3.1798,0.1481,,2.553,0.114,0.945,NOMINAL,NOMINAL,STALE,0,
1641795300.0,1786276988.288065,1,3.6308,0.1431,,3.181,0.1217,0.942,NOMINAL,NOMINAL,STALE,0,
1641796200.0,1786276988.411892,1,3.4157,0.1504,,2.164,0.1127,0.828,NOMINAL,NOMINAL,STALE,0,
1641797100.0,1786276988.5364718,1,3.2774,0.1551,,2.079,0.1097,0.978,NOMINAL,NOMINAL,STALE,0,
1641798000.0,1786276988.65925,1,2.0,0.0837,,1.562,0.0544,0.539,NOMINAL,NOMINAL,STALE,0,
1641798900.0,1786276988.7920692,1,4.6011,0.186,,3.774,0.1193,1.024,NOMINAL,NOMINAL,STALE,0,
1641799800.0,1786276988.9124897,1,3.5765,0.1294,,1.912,0.0918,0.856,NOMINAL,NOMINAL,STALE,0,
1641800700.0,1786276989.0388408,1,4.1192,0.1527,,2.588,0.1116,0.915,NOMINAL,NOMINAL,STALE,0,
1641801600.0,1786276989.162714,1,3.8105,0.1616,,2.061,0.1053,0.885,NOMINAL,NOMINAL,STALE,0,
1641802500.0,1786276989.2880025,1,3.8465,0.1637,,2.249,0.1009,0.899,NOMINAL,NOMINAL,STALE,0,
1641803400.0,1786276989.4124484,1,3.6783,0.1521,,2.308,0.0904,0.815,NOMINAL,NOMINAL,STALE,0,
1641804300.0,1786276989.5375142,1,3.3643,0.1372,,2.671,0.091,0.879,NOMINAL,NOMINAL,STALE,0,
1641805200.0,1786276989.6620874,1,3.5621,0.1418,,1.974,0.097,0.807,NOMINAL,NOMINAL,STALE,0,
1641806100.0,1786276989.783625,1,1.9992,0.104,,1.2,0.0442,0.441,NOMINAL,NOMINAL,STALE,0,
1641807000.0,1786276989.914534,1,4.2354,0.1666,,2.97,0.1178,0.958,NOMINAL,NOMINAL,STALE,0,
1641807900.0,1786276990.038728,1,4.1641,0.154,,2.502,0.111,1.089,NOMINAL,NOMINAL,STALE,0,
1641808800.0,1786276990.1671224,1,4.5184,0.1867,,3.676,0.1253,1.72,NOMINAL,NOMINAL,STALE,0,
1641809700.0,1786276990.2923434,1,4.6679,0.1772,,3.882,0.128,1.201,NOMINAL,NOMINAL,STALE,0,
1641810600.0,1786276990.4136972,1,3.8188,0.152,,3.274,0.1159,0.889,NOMINAL,NOMINAL,STALE,0,
1641811500.0,1786276990.5367203,1,3.4185,0.1489,,2.032,0.1456,0.885,NOMINAL,NOMINAL,STALE,0,
1641812400.0,1786276990.661613,1,3.3944,0.1568,,2.055,0.1096,0.823,NOMINAL,NOMINAL,STALE,0,
1641813300.0,1786276990.7851956,1,2.5467,0.1008,,1.799,0.0978,0.765,NOMINAL,NOMINAL,STALE,0,
1641814200.0,1786276990.9131403,1,3.6762,0.155,,2.527,0.1153,0.905,NOMINAL,NOMINAL,STALE,0,
1641815100.0,1786276991.0382822,1,3.7605,0.1535,,2.553,0.1141,0.92,NOMINAL,NOMINAL,STALE,0,
1641816000.0,1786276991.1627216,1,3.6933,0.15,,2.187,0.1092,1.134,NOMINAL,NOMINAL,STALE,0,
1641816900.0,1786276991.2886207,1,3.8836,0.1537,,2.405,0.1158,1.447,NOMINAL,NOMINAL,STALE,0,
1641817800.0,1786276991.4134731,1,4.0429,0.1552,,2.782,0.1152,0.929,NOMINAL,NOMINAL,STALE,0,
1641818700.0,1786276991.5364404,1,3.293,0.1752,,2.056,0.1138,0.92,NOMINAL,NOMINAL,STALE,0,
1641819600.0,1786276991.660724,1,2.932,0.1321,,1.819,0.1014,0.918,NOMINAL,NOMINAL,STALE,0,
1641820500.0,1786276991.7851865,1,2.3704,0.1154,,2.186,0.0964,0.825,NOMINAL,NOMINAL,STALE,0,
1641821400.0,1786276991.912869,1,3.6044,0.1637,,2.316,0.1985,1.176,NOMINAL,NOMINAL,STALE,0,
1641822300.0,1786276992.038833,1,4.0483,0.1643,,2.748,0.1168,1.256,NOMINAL,NOMINAL,STALE,0,
1641823200.0,1786276992.162778,1,3.1956,0.1423,,3.398,0.1154,0.957,NOMINAL,NOMINAL,STALE,0,
1641824100.0,1786276992.285906,1,2.9141,0.1424,,2.11,0.1059,0.839,NOMINAL,NOMINAL,STALE,0,
1641825000.0,1786276992.4124134,1,3.1826,0.1416,,2.959,0.1165,1.018,NOMINAL,NOMINAL,STALE,0,
1641825900.0,1786276992.5350685,1,2.4699,0.1362,,1.878,0.1014,0.812,NOMINAL,NOMINAL,STALE,0,
1641826800.0,1786276992.6606524,1,2.7671,0.1242,,1.986,0.1036,0.873,NOMINAL,NOMINAL,STALE,0,
1641827700.0,1786276992.7858963,1,2.7379,0.133,,2.357,0.0969,0.833,NOMINAL,NOMINAL,STALE,0,
1641828600.0,1786276992.9130569,1,3.5014,0.1469,,2.844,0.1106,1.14,NOMINAL,NOMINAL,STALE,0,
1641829500.0,1786276993.0376844,1,3.5647,0.1488,,2.561,0.112,1.069,NOMINAL,NOMINAL,STALE,0,
1641830400.0,1786276993.16144,1,2.8252,0.1282,,2.416,0.11,1.057,NOMINAL,NOMINAL,STALE,0,
1641831300.0,1786276993.2859316,1,2.8428,0.1283,,2.285,0.1081,0.8,NOMINAL,NOMINAL,STALE,0,
1641832200.0,1786276993.4121044,1,3.0199,0.1276,,2.955,0.1155,0.935,NOMINAL,NOMINAL,STALE,0,
1641833100.0,1786276993.5353448,1,2.7245,0.1344,,1.733,0.1038,0.983,NOMINAL,NOMINAL,STALE,0,
1641834000.0,1786276993.6593993,1,2.1743,0.1117,,1.626,0.0539,0.497,NOMINAL,NOMINAL,STALE,0,
1641834900.0,1786276993.7905567,1,4.3941,0.1698,,3.642,0.1304,1.198,NOMINAL,NOMINAL,STALE,0,
1641835800.0,1786276993.913106,1,3.8644,0.1621,,2.405,0.1086,0.998,NOMINAL,NOMINAL,STALE,0,
1641836700.0,1786276994.038279,1,3.7801,0.1643,,3.024,0.1217,0.965,NOMINAL,NOMINAL,STALE,0,
1641837600.0,1786276994.1611435,1,3.0552,0.1431,,2.198,0.1001,0.813,NOMINAL,NOMINAL,STALE,0,
