phys_ts,n_channels,zbuf_update_ms
1641779100.0,1,0.02784
1641780000.0,1,0.01482
1641780900.0,1,0.01334
1641781800.0,1,0.01462
1641782700.0,1,0.01344
1641783600.0,1,0.00794
1641784500.0,1,0.00867
1641785400.0,1,0.01238
1641786300.0,1,0.01488
1641787200.0,1,0.01527
1641788100.0,1,0.01427
1641789000.0,1,0.01427
1641789900.0,1,0.01293
1641790800.0,1,0.01325
1641791700.0,1,0.00512
1641792600.0,1,0.00483
1641793500.0,1,0.01696
1641794400.0,1,0.01725
1641795300.0,1,0.02042
1641796200.0,1,0.02006
1641797100.0,1,0.0151
1641798000.0,1,0.00803
1641798900.0,1,0.02378
1641799800.0,1,0.01578
1641800700.0,1,0.016
1641801600.0,1,0.01405
1641802500.0,1,0.01523
1641803400.0,1,0.01338
1641804300.0,1,0.0121
1641805200.0,1,0.01261
1641806100.0,1,0.00579
1641807000.0,1,0.01776
1641807900.0,1,0.01798
1641808800.0,1,0.02054
1641809700.0,1,0.02269
1641810600.0,1,0.01686
1641811500.0,1,0.01437
1641812400.0,1,0.0145
1641813300.0,1,0.01546
1641814200.0,1,0.01462
1641815100.0,1,0.01514
1641816000.0,1,0.01635
1641816900.0,1,0.0193
1641817800.0,1,0.01597
1641818700.0,1,0.0144
1641819600.0,1,0.0145
1641820500.0,1,0.00602
1641821400.0,1,0.02115
1641822300.0,1,0.01926
1641823200.0,1,0.02061
1641824100.0,1,0.01866
1641825000.0,1,0.01875
1641825900.0,1,0.01619
1641826800.0,1,0.0113
1641827700.0,1,0.0129
1641828600.0,1,0.01898
1641829500.0,1,0.02026
1641830400.0,1,0.01952
1641831300.0,1,0.01789
1641832200.0,1,0.01888
1641833100.0,1,0.01914
1641834000.0,1,0.00768
1641834900.0,1,0.024
1641835800.0,1,0.02038
1641836700.0,1,0.02208
1641837600.0,1,0.01818
1641838500.0,1,0.0185
1641839400.0,1,0.0208
1641840300.0,1,0.01603
1641841200.0,1,0.01568
