phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1705017600.0,1786284250.722064,1,1.2479,0.0558,0.0315,0.814,0.0327,0.266,NOMINAL,NOMINAL,STALE,0,
1705018500.0,1786284250.846502,1,1.2149,0.058,,0.741,0.0319,0.244,NOMINAL,NOMINAL,STALE,0,
1705019400.0,1786284250.9710016,1,1.0029,0.0532,,0.642,0.0274,0.204,NOMINAL,NOMINAL,STALE,0,
1705020300.0,1786284251.0960052,1,1.0178,0.0546,,0.609,0.0268,0.202,NOMINAL,NOMINAL,STALE,0,
1705021200.0,1786284251.2210321,1,1.0083,0.0535,,0.595,0.0247,0.214,NOMINAL,NOMINAL,STALE,0,
1705022100.0,1786284251.345972,1,1.0147,0.0525,,0.608,0.0248,0.192,NOMINAL,NOMINAL,STALE,0,
1705023000.0,1786284251.4714777,1,1.1609,0.0562,,0.757,0.0265,0.243,NOMINAL,NOMINAL,STALE,0,
1705023900.0,1786284251.5959966,1,1.0345,0.053,,0.594,0.0261,0.194,NOMINAL,NOMINAL,STALE,0,
1705024800.0,1786284251.7208846,1,0.9868,0.0525,,0.557,0.0229,0.183,NOMINAL,NOMINAL,STALE,0,
1705025700.0,1786284251.8460045,1,1.0338,0.0552,,0.602,0.0255,0.188,NOMINAL,NOMINAL,STALE,0,
1705026600.0,1786284251.9708738,1,0.9848,0.0534,,0.557,0.0232,0.175,NOMINAL,NOMINAL,STALE,0,
1705027500.0,1786284252.095955,1,1.006,0.0533,,0.588,0.0246,0.184,NOMINAL,NOMINAL,STALE,0,
1705028400.0,1786284252.2208383,1,0.9441,0.0534,,0.56,0.0229,0.203,NOMINAL,NOMINAL,STALE,0,
1705029300.0,1786284252.3458824,1,0.9939,0.0531,,0.553,0.0238,0.178,NOMINAL,NOMINAL,STALE,0,
1705030200.0,1786284252.4712684,1,1.0928,0.0559,,0.7,0.0266,0.203,NOMINAL,NOMINAL,STALE,0,
1705031100.0,1786284252.5959692,1,1.0116,0.0522,,0.579,0.0245,0.184,NOMINAL,NOMINAL,STALE,0,
1705032000.0,1786284252.7208335,1,0.9469,0.0512,,0.567,0.0235,0.183,NOMINAL,NOMINAL,STALE,0,
1705032900.0,1786284252.8458526,1,0.9835,0.0505,,0.547,0.0242,0.181,NOMINAL,NOMINAL,STALE,0,
1705033800.0,1786284252.9707942,1,0.9478,0.0507,,0.544,0.0232,0.172,NOMINAL,NOMINAL,STALE,0,
1705034700.0,1786284253.095858,1,0.9469,0.0505,,0.572,0.0246,0.181,NOMINAL,NOMINAL,STALE,0,
1705035600.0,1786284253.2219374,1,1.2616,0.0605,,0.887,0.0316,0.236,NOMINAL,NOMINAL,STALE,0,
1705036500.0,1786284253.3469307,1,1.2245,0.0588,,0.845,0.0323,0.232,NOMINAL,NOMINAL,STALE,0,
1705037400.0,1786284253.4714,1,1.143,0.0555,,0.704,0.0307,0.239,NOMINAL,NOMINAL,STALE,0,
1705038300.0,1786284253.5962653,1,1.113,0.0561,,0.668,0.0293,0.223,NOMINAL,NOMINAL,STALE,0,
