phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1647561600.0,1786284755.358031,1,1.2697,0.0547,0.0315,0.858,0.0321,0.266,NOMINAL,NOMINAL,STALE,0,
1647562500.0,1786284755.482126,1,1.1622,0.0573,,0.679,0.0275,0.242,NOMINAL,NOMINAL,STALE,0,
1647563400.0,1786284755.6069648,1,1.1106,0.0531,,0.663,0.0272,0.207,NOMINAL,NOMINAL,STALE,0,
1647564300.0,1786284755.7318537,1,1.0659,0.0532,,0.634,0.027,0.205,NOMINAL,NOMINAL,STALE,0,
1647565200.0,1786284755.8569531,1,1.0799,0.0539,,0.672,0.0275,0.23,NOMINAL,NOMINAL,STALE,0,
1647566100.0,1786284755.9817514,1,1.0576,0.0532,,0.578,0.0249,0.188,NOMINAL,NOMINAL,STALE,0,
1647567000.0,1786284756.1067312,1,0.9909,0.0527,,0.605,0.0243,0.207,NOMINAL,NOMINAL,STALE,0,
1647567900.0,1786284756.2316759,1,0.9806,0.0531,,0.579,0.0281,0.188,NOMINAL,NOMINAL,STALE,0,
1647568800.0,1786284756.357065,1,1.1122,0.0844,,0.674,0.0262,0.2,NOMINAL,NOMINAL,STALE,0,
1647569700.0,1786284756.4817405,1,1.0511,0.0538,,0.57,0.0253,0.187,NOMINAL,NOMINAL,STALE,0,
1647570600.0,1786284756.606782,1,1.0516,0.0538,,0.592,0.026,0.189,NOMINAL,NOMINAL,STALE,0,
1647571500.0,1786284756.7315412,1,0.9499,0.0532,,0.526,0.0241,0.174,NOMINAL,NOMINAL,STALE,0,
1647572400.0,1786284756.8565474,1,0.9168,0.0509,,0.556,0.0225,0.2,NOMINAL,NOMINAL,STALE,0,
1647573300.0,1786284756.981561,1,0.9455,0.0501,,0.533,0.0227,0.172,NOMINAL,NOMINAL,STALE,0,
1647574200.0,1786284757.1066298,1,0.9485,0.0511,,0.579,0.0244,0.181,NOMINAL,NOMINAL,STALE,0,
1647575100.0,1786284757.2318273,1,1.0396,0.0536,,0.618,0.0255,0.187,NOMINAL,NOMINAL,STALE,0,
1647576000.0,1786284757.356979,1,1.1049,0.0566,,0.674,0.0265,0.208,NOMINAL,NOMINAL,STALE,0,
1647576900.0,1786284757.4816818,1,1.0278,0.0535,,0.561,0.024,0.185,NOMINAL,NOMINAL,STALE,0,
1647577800.0,1786284757.606786,1,1.0609,0.0543,,0.606,0.0237,0.188,NOMINAL,NOMINAL,STALE,0,
1647578700.0,1786284757.7315505,1,0.9512,0.0506,,0.537,0.0256,0.183,NOMINAL,NOMINAL,STALE,0,
1647579600.0,1786284757.8575165,1,1.2185,0.0585,,0.882,0.0307,0.238,NOMINAL,NOMINAL,STALE,0,
1647580500.0,1786284757.9826732,1,1.2608,0.0596,,0.87,0.0312,0.229,NOMINAL,NOMINAL,STALE,0,
1647581400.0,1786284758.1075504,1,1.2223,0.0568,,0.855,0.0305,0.249,NOMINAL,NOMINAL,STALE,0,
