phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1641772800.0,1786285764.6377604,1,1.168,0.0535,0.0305,0.762,0.0305,0.259,NOMINAL,NOMINAL,STALE,0,
1641773700.0,1786285764.7621753,1,1.1163,0.0542,,0.654,0.0297,0.231,NOMINAL,NOMINAL,STALE,0,
1641774600.0,1786285764.8867068,1,0.9736,0.0527,,0.539,0.0233,0.177,NOMINAL,NOMINAL,STALE,0,
1641775500.0,1786285765.0119815,1,1.0318,0.0525,,0.649,0.0275,0.2,NOMINAL,NOMINAL,STALE,0,
1641776400.0,1786285765.1366963,1,0.9043,0.0513,,0.606,0.0249,0.189,NOMINAL,NOMINAL,STALE,0,
1641777300.0,1786285765.2616496,1,0.942,0.0506,,0.546,0.024,0.172,NOMINAL,NOMINAL,STALE,0,
1641778200.0,1786285765.386483,1,0.8295,0.0489,,0.527,0.0232,0.194,NOMINAL,NOMINAL,STALE,0,
1641779100.0,1786285765.5115614,1,0.8556,0.0494,,0.537,0.025,0.175,NOMINAL,NOMINAL,STALE,0,
1641780000.0,1786285765.6363604,1,0.7776,0.0496,,0.512,0.0218,0.161,NOMINAL,NOMINAL,STALE,0,
1641780900.0,1786285765.7615726,1,0.8583,0.0478,,0.533,0.0236,0.173,NOMINAL,NOMINAL,STALE,0,
1641781800.0,1786285765.8864315,1,0.8492,0.0492,,0.472,0.0188,0.145,NOMINAL,NOMINAL,STALE,0,
1641782700.0,1786285766.0116718,1,0.9495,0.0525,,0.524,0.0198,0.152,NOMINAL,NOMINAL,STALE,0,
1641783600.0,1786285766.1365228,1,0.8518,0.0492,,0.552,0.0237,0.174,NOMINAL,NOMINAL,STALE,0,
1641784500.0,1786285766.2615817,1,0.939,0.0495,,0.479,0.0212,0.173,NOMINAL,NOMINAL,STALE,0,
1641785400.0,1786285766.3866808,1,0.9219,0.0501,,0.562,0.0235,0.18,NOMINAL,NOMINAL,STALE,0,
1641786300.0,1786285766.511424,1,0.8804,0.0506,,0.437,0.0199,0.141,NOMINAL,NOMINAL,STALE,0,
1641787200.0,1786285766.636441,1,0.8524,0.0498,,0.484,0.0216,0.153,NOMINAL,NOMINAL,STALE,0,
1641788100.0,1786285766.7617164,1,0.9474,0.0502,,0.553,0.0221,0.169,NOMINAL,NOMINAL,STALE,0,
1641789000.0,1786285766.886338,1,0.7924,0.048,,0.473,0.0218,0.157,NOMINAL,NOMINAL,STALE,0,
1641789900.0,1786285767.0117671,1,0.9786,0.0516,,0.565,0.0241,0.171,NOMINAL,NOMINAL,STALE,0,
1641790800.0,1786285767.137434,1,1.1984,0.0574,,0.769,0.0302,0.223,NOMINAL,NOMINAL,STALE,0,
1641791700.0,1786285767.262676,1,1.204,0.0577,,0.808,0.0313,0.224,NOMINAL,NOMINAL,STALE,0,
1641792600.0,1786285767.38717,1,1.1278,0.0573,,0.649,0.0309,0.207,NOMINAL,NOMINAL,STALE,0,
1641793500.0,1786285767.5117724,1,0.976,0.0508,,0.533,0.024,0.204,NOMINAL,NOMINAL,STALE,0,
1641794400.0,1786285767.6366334,1,0.9318,0.0512,,0.517,0.023,0.178,NOMINAL,NOMINAL,STALE,0,
1641795300.0,1786285767.7618196,1,0.9729,0.0511,,0.577,0.0253,0.193,NOMINAL,NOMINAL,STALE,0,
1641796200.0,1786285767.8866813,1,0.9286,0.0501,,0.512,0.023,0.197,NOMINAL,NOMINAL,STALE,0,
1641797100.0,1786285768.011844,1,0.9789,0.0519,,0.582,0.0262,0.183,NOMINAL,NOMINAL,STALE,0,
1641798000.0,1786285768.1371264,1,1.0563,0.0546,,0.669,0.0269,0.196,NOMINAL,NOMINAL,STALE,0,
1641798900.0,1786285768.2627153,1,1.1947,0.0595,,0.864,0.0313,0.228,NOMINAL,NOMINAL,STALE,0,
1641799800.0,1786285768.3870134,1,1.0726,0.0558,,0.628,0.0282,0.199,NOMINAL,NOMINAL,STALE,0,
1641800700.0,1786285768.511698,1,0.9581,0.0523,,0.527,0.0248,0.176,NOMINAL,NOMINAL,STALE,0,
1641801600.0,1786285768.6365716,1,0.9087,0.052,,0.515,0.0224,0.168,NOMINAL,NOMINAL,STALE,0,
1641802500.0,1786285768.7617714,1,0.9787,0.0534,,0.544,0.0234,0.176,NOMINAL,NOMINAL,STALE,0,
1641803400.0,1786285768.886713,1,0.9314,0.051,,0.54,0.0231,0.176,NOMINAL,NOMINAL,STALE,0,
1641804300.0,1786285769.0117815,1,0.9448,0.0511,,0.55,0.0251,0.208,NOMINAL,NOMINAL,STALE,0,
1641805200.0,1786285769.1368454,1,0.9667,0.0515,,0.623,0.0259,0.19,NOMINAL,NOMINAL,STALE,0,
1641806100.0,1786285769.2616873,1,0.9601,0.0526,,0.523,0.0234,0.203,NOMINAL,NOMINAL,STALE,0,
1641807000.0,1786285769.3865037,1,0.8337,0.048,,0.534,0.0242,0.174,NOMINAL,NOMINAL,STALE,0,
1641807900.0,1786285769.511442,1,0.8108,0.0485,,0.51,0.023,0.167,NOMINAL,NOMINAL,STALE,0,
1641808800.0,1786285769.6363633,1,0.7825,0.0492,,0.486,0.0225,0.171,NOMINAL,NOMINAL,STALE,0,
1641809700.0,1786285769.7615943,1,0.867,0.051,,0.544,0.0239,0.177,NOMINAL,NOMINAL,STALE,0,
1641810600.0,1786285769.8866172,1,0.8901,0.0496,,0.538,0.0234,0.169,NOMINAL,NOMINAL,STALE,0,
1641811500.0,1786285770.011426,1,0.8059,0.0473,,0.507,0.0211,0.164,NOMINAL,NOMINAL,STALE,0,
1641812400.0,1786285770.1369896,1,1.0118,0.0521,,0.689,0.0276,0.195,NOMINAL,NOMINAL,STALE,0,
1641813300.0,1786285770.2616155,1,0.9233,0.0491,,0.525,0.0251,0.176,NOMINAL,NOMINAL,STALE,0,
1641814200.0,1786285770.3865557,1,0.8617,0.0516,,0.548,0.0235,0.173,NOMINAL,NOMINAL,STALE,0,
1641815100.0,1786285770.511442,1,0.8079,0.0473,,0.512,0.0214,0.189,NOMINAL,NOMINAL,STALE,0,
1641816000.0,1786285770.6365614,1,0.8896,0.0491,,0.52,0.0232,0.174,NOMINAL,NOMINAL,STALE,0,
1641816900.0,1786285770.7617314,1,0.9533,0.05,,0.539,0.0225,0.199,NOMINAL,NOMINAL,STALE,0,
1641817800.0,1786285770.8865893,1,0.8871,0.0492,,0.513,0.0236,0.168,NOMINAL,NOMINAL,STALE,0,
1641818700.0,1786285771.0116932,1,0.9179,0.0496,,0.553,0.0235,0.174,NOMINAL,NOMINAL,STALE,0,
1641819600.0,1786285771.1369803,1,1.0008,0.0531,,0.699,0.0261,0.191,NOMINAL,NOMINAL,STALE,0,
1641820500.0,1786285771.2617922,1,1.0149,0.0528,,0.568,0.0245,0.18,NOMINAL,NOMINAL,STALE,0,
1641821400.0,1786285771.3866975,1,0.9277,0.0501,,0.557,0.0248,0.177,NOMINAL,NOMINAL,STALE,0,
1641822300.0,1786285771.511591,1,0.8899,0.0495,,0.534,0.0228,0.168,NOMINAL,NOMINAL,STALE,0,
1641823200.0,1786285771.6365623,1,0.8671,0.0514,,0.527,0.0251,0.203,NOMINAL,NOMINAL,STALE,0,
1641824100.0,1786285771.7617338,1,0.9545,0.0506,,0.556,0.0234,0.173,NOMINAL,NOMINAL,STALE,0,
1641825000.0,1786285771.8867188,1,0.9251,0.0494,,0.558,0.0259,0.178,NOMINAL,NOMINAL,STALE,0,
1641825900.0,1786285772.0116425,1,0.9018,0.0502,,0.548,0.023,0.173,NOMINAL,NOMINAL,STALE,0,
1641826800.0,1786285772.1377773,1,1.2701,0.0618,,0.887,0.0306,0.239,NOMINAL,NOMINAL,STALE,0,
1641827700.0,1786285772.262785,1,1.2139,0.0607,,0.872,0.0316,0.231,NOMINAL,NOMINAL,STALE,0,
1641828600.0,1786285772.3871984,1,1.1112,0.0555,,0.689,0.0301,0.207,NOMINAL,NOMINAL,STALE,0,
1641829500.0,1786285772.5119913,1,1.0452,0.0531,,0.628,0.0275,0.194,NOMINAL,NOMINAL,STALE,0,
1641830400.0,1786285772.6368499,1,1.0045,0.053,,0.603,0.0251,0.184,NOMINAL,NOMINAL,STALE,0,
1641831300.0,1786285772.761907,1,1.0308,0.0526,,0.587,0.028,0.186,NOMINAL,NOMINAL,STALE,0,
1641832200.0,1786285772.886785,1,0.9734,0.0515,,0.566,0.0256,0.176,NOMINAL,NOMINAL,STALE,0,
1641833100.0,1786285773.0118787,1,0.984,0.0525,,0.594,0.0258,0.212,NOMINAL,NOMINAL,STALE,0,
1641834000.0,1786285773.1372948,1,1.1087,0.058,,0.757,0.0303,0.221,NOMINAL,NOMINAL,STALE,0,
1641834900.0,1786285773.2626238,1,1.1946,0.0585,,0.814,0.0305,0.224,NOMINAL,NOMINAL,STALE,0,
1641835800.0,1786285773.3871331,1,1.0905,0.055,,0.664,0.0274,0.202,NOMINAL,NOMINAL,STALE,0,
1641836700.0,1786285773.5118616,1,1.0023,0.0527,,0.584,0.0269,0.185,NOMINAL,NOMINAL,STALE,0,
1641837600.0,1786285773.6367395,1,0.9615,0.0524,,0.547,0.0271,0.189,NOMINAL,NOMINAL,STALE,0,
1641838500.0,1786285773.762124,1,1.0045,0.0538,,0.831,0.0257,0.186,NOMINAL,NOMINAL,STALE,0,
1641839400.0,1786285773.8867261,1,0.952,0.0528,,0.538,0.0233,0.175,NOMINAL,NOMINAL,STALE,0,
1641840300.0,1786285774.0117548,1,0.9563,0.0524,,0.553,0.0239,0.173,NOMINAL,NOMINAL,STALE,0,
1641841200.0,1786285774.1369178,1,0.9894,0.0527,,0.644,0.0268,0.192,NOMINAL,NOMINAL,STALE,0,
1641842100.0,1786285774.2618573,1,1.0231,0.0526,,0.565,0.0244,0.203,NOMINAL,NOMINAL,STALE,0,
1641843000.0,1786285774.3867855,1,0.978,0.0525,,0.575,0.0246,0.176,NOMINAL,NOMINAL,STALE,0,
1641843900.0,1786285774.5117002,1,0.9448,0.0518,,0.525,0.0243,0.196,NOMINAL,NOMINAL,STALE,0,
1641844800.0,1786285774.6366453,1,0.9195,0.0509,,0.54,0.0238,0.17,NOMINAL,NOMINAL,STALE,0,
1641845700.0,1786285774.7617807,1,0.9614,0.0516,,0.558,0.0247,0.176,NOMINAL,NOMINAL,STALE,0,
1641846600.0,1786285774.8867111,1,0.9114,0.0517,,0.561,0.0251,0.177,NOMINAL,NOMINAL,STALE,0,
1641847500.0,1786285775.011693,1,0.9149,0.0536,,0.558,0.0238,0.17,NOMINAL,NOMINAL,STALE,0,
1641848400.0,1786285775.1367543,1,0.9201,0.0533,,0.594,0.024,0.181,NOMINAL,NOMINAL,STALE,0,
1641849300.0,1786285775.2618911,1,1.0248,0.053,,0.587,0.0264,0.186,NOMINAL,NOMINAL,STALE,0,
1641850200.0,1786285775.3868382,1,0.9863,0.0519,,0.591,0.0249,0.179,NOMINAL,NOMINAL,STALE,0,
1641851100.0,1786285775.5117238,1,0.943,0.0508,,0.555,0.0256,0.175,NOMINAL,NOMINAL,STALE,0,
1641852000.0,1786285775.6366296,1,0.9146,0.0524,,0.529,0.0238,0.17,NOMINAL,NOMINAL,STALE,0,
1641852900.0,1786285775.761802,1,0.9808,0.0514,,0.557,0.024,0.174,NOMINAL,NOMINAL,STALE,0,
1641853800.0,1786285775.8866775,1,0.9088,0.0513,,0.547,0.0243,0.172,NOMINAL,NOMINAL,STALE,0,
1641854700.0,1786285776.0116723,1,0.9035,0.0517,,0.543,0.0226,0.17,NOMINAL,NOMINAL,STALE,0,
1641855600.0,1786285776.1368499,1,0.9625,0.053,,0.621,0.026,0.191,NOMINAL,NOMINAL,STALE,0,
1641856500.0,1786285776.2619479,1,1.0584,0.0546,,0.585,0.0252,0.185,NOMINAL,NOMINAL,STALE,0,
1641857400.0,1786285776.3869712,1,1.0468,0.0576,,0.608,0.0276,0.189,NOMINAL,NOMINAL,STALE,0,
1641858300.0,1786285776.5117886,1,0.9724,0.0512,,0.57,0.024,0.178,NOMINAL,NOMINAL,STALE,0,
1641859200.0,1786285776.6383533,1,0.9519,0.1754,0.5648,0.531,0.0286,0.182,NOMINAL,NOMINAL,NORMAL,0,
