phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1641772800.0,1786286527.5587487,1,1.1801,0.054,0.0306,0.817,0.0336,0.322,NOMINAL,NOMINAL,STALE,0,
1641773700.0,1786286527.6834466,1,1.2366,0.057,,0.834,0.032,0.27,NOMINAL,NOMINAL,STALE,0,
1641774600.0,1786286527.8080935,1,1.1463,0.0561,,0.727,0.0307,0.287,NOMINAL,NOMINAL,STALE,0,
1641775500.0,1786286527.9329147,1,1.054,0.055,,0.693,0.0274,0.245,NOMINAL,NOMINAL,STALE,0,
1641776400.0,1786286528.0580592,1,1.1191,0.0579,,0.76,0.029,0.265,NOMINAL,NOMINAL,STALE,0,
1641777300.0,1786286528.1836078,1,1.2212,0.0604,,0.881,0.0316,0.293,NOMINAL,NOMINAL,STALE,0,
1641778200.0,1786286528.308074,1,1.1324,0.0547,,0.72,0.0306,0.254,NOMINAL,NOMINAL,STALE,0,
1641779100.0,1786286528.4327865,1,1.0351,0.0522,,0.642,0.0277,0.236,NOMINAL,NOMINAL,STALE,0,
1641780000.0,1786286528.5575736,1,0.9782,0.0519,,0.572,0.0246,0.226,NOMINAL,NOMINAL,STALE,0,
1641780900.0,1786286528.6825004,1,0.921,0.0507,,0.57,0.0228,0.211,NOMINAL,NOMINAL,STALE,0,
1641781800.0,1786286528.8079612,1,1.0795,0.052,,0.704,0.029,0.243,NOMINAL,NOMINAL,STALE,0,
1641782700.0,1786286528.9330964,1,1.0951,0.0553,,0.756,0.0291,0.28,NOMINAL,NOMINAL,STALE,0,
1641783600.0,1786286529.0577211,1,1.0372,0.0523,,0.614,0.0246,0.227,NOMINAL,NOMINAL,STALE,0,
1641784500.0,1786286529.1834888,1,1.2072,0.0582,,0.874,0.034,0.283,NOMINAL,NOMINAL,STALE,0,
1641785400.0,1786286529.3082135,1,1.1689,0.0555,,0.744,0.0311,0.297,NOMINAL,NOMINAL,STALE,0,
1641786300.0,1786286529.4327786,1,1.0202,0.0512,,0.636,0.0279,0.261,NOMINAL,NOMINAL,STALE,0,
1641787200.0,1786286529.557697,1,1.0087,0.0519,,0.603,0.0257,0.243,NOMINAL,NOMINAL,STALE,0,
1641788100.0,1786286529.6825671,1,0.9536,0.0492,,0.576,0.0247,0.221,NOMINAL,NOMINAL,STALE,0,
1641789000.0,1786286529.8075244,1,0.9475,0.0517,,0.566,0.0235,0.219,NOMINAL,NOMINAL,STALE,0,
1641789900.0,1786286529.9330606,1,1.0648,0.0539,,0.779,0.0294,0.262,NOMINAL,NOMINAL,STALE,0,
1641790800.0,1786286530.05769,1,1.0224,0.052,,0.607,0.0251,0.224,NOMINAL,NOMINAL,STALE,0,
1641791700.0,1786286530.1837032,1,1.3215,0.0614,,0.865,0.0327,0.282,NOMINAL,NOMINAL,STALE,0,
1641792600.0,1786286530.3080008,1,1.0897,0.056,,0.727,0.0286,0.249,NOMINAL,NOMINAL,STALE,0,
1641793500.0,1786286530.4326632,1,0.9743,0.0525,,0.614,0.0247,0.255,NOMINAL,NOMINAL,STALE,0,
1641794400.0,1786286530.5575972,1,0.9897,0.0532,,0.576,0.0253,0.234,NOMINAL,NOMINAL,STALE,0,
1641795300.0,1786286530.682489,1,0.9276,0.0502,,0.553,0.0237,0.212,NOMINAL,NOMINAL,STALE,0,
1641796200.0,1786286530.8075316,1,0.9279,0.0517,,0.59,0.0233,0.216,NOMINAL,NOMINAL,STALE,0,
1641797100.0,1786286530.932988,1,1.0784,0.0549,,0.724,0.0299,0.248,NOMINAL,NOMINAL,STALE,0,
1641798000.0,1786286531.0578291,1,1.0722,0.0525,,0.653,0.0272,0.239,NOMINAL,NOMINAL,STALE,0,
1641798900.0,1786286531.1828403,1,1.0638,0.0525,,0.649,0.0252,0.236,NOMINAL,NOMINAL,STALE,0,
1641799800.0,1786286531.307776,1,1.0237,0.0532,,0.658,0.0264,0.236,NOMINAL,NOMINAL,STALE,0,
1641800700.0,1786286531.432627,1,0.9674,0.0516,,0.618,0.026,0.227,NOMINAL,NOMINAL,STALE,0,
1641801600.0,1786286531.5576594,1,0.991,0.0532,,0.61,0.0259,0.226,NOMINAL,NOMINAL,STALE,0,
1641802500.0,1786286531.6825793,1,0.9488,0.0514,,0.584,0.0272,0.232,NOMINAL,NOMINAL,STALE,0,
1641803400.0,1786286531.8076527,1,0.9722,0.0514,,0.596,0.025,0.256,NOMINAL,NOMINAL,STALE,0,
1641804300.0,1786286531.9329054,1,1.0212,0.0531,,0.734,0.0302,0.244,NOMINAL,NOMINAL,STALE,0,
1641805200.0,1786286532.0577734,1,1.0362,0.0539,,0.633,0.0274,0.23,NOMINAL,NOMINAL,STALE,0,
1641806100.0,1786286532.1825736,1,0.9337,0.0528,,0.584,0.0233,0.219,NOMINAL,NOMINAL,STALE,0,
1641807000.0,1786286532.3076634,1,0.9515,0.0526,,0.635,0.0263,0.232,NOMINAL,NOMINAL,STALE,0,
1641807900.0,1786286532.4326084,1,0.9403,0.0516,,0.603,0.0247,0.225,NOMINAL,NOMINAL,STALE,0,
1641808800.0,1786286532.557651,1,0.98,0.0549,,0.598,0.0242,0.234,NOMINAL,NOMINAL,STALE,0,
1641809700.0,1786286532.6825354,1,0.9214,0.0517,,0.572,0.025,0.216,NOMINAL,NOMINAL,STALE,0,
1641810600.0,1786286532.8075306,1,0.9199,0.0494,,0.586,0.0234,0.224,NOMINAL,NOMINAL,STALE,0,
1641811500.0,1786286532.933001,1,1.0389,0.0548,,0.784,0.0292,0.26,NOMINAL,NOMINAL,STALE,0,
1641812400.0,1786286533.0579333,1,1.0522,0.0576,,0.737,0.029,0.262,NOMINAL,NOMINAL,STALE,0,
1641813300.0,1786286533.1835623,1,1.2153,0.0589,,0.855,0.034,0.274,NOMINAL,NOMINAL,STALE,0,
1641814200.0,1786286533.3082411,1,1.167,0.0562,,0.771,0.03,0.286,NOMINAL,NOMINAL,STALE,0,
1641815100.0,1786286533.4328249,1,1.0422,0.0533,,0.661,0.029,0.24,NOMINAL,NOMINAL,STALE,0,
