phys_ts,ai_pub_wall_ts,ap_state,status,alert_transport_ms,preproc_ms,infer_ms,activation_total_ms,per_model_ms,n_models,p_event,y_pred
1705111200.0,1786286794.883904,PRE_ALERT,INSUFFICIENT_DATA,0.589,0.0072,0.0,0.0718,[],1,,
1705117500.0,1786286795.7632773,PRE_ALERT,OK,0.569,0.5332,3.7327,4.3377,[3.4069],1,0.116915762424469,0
1705145400.0,1786286799.6378164,PRE_ALERT,OK,0.614,0.3388,3.5197,3.9329,[3.222],1,0.1335582733154297,0
1705151700.0,1786286800.512978,PRE_ALERT,OK,0.647,0.3351,3.4171,3.827,[3.1273],1,0.11948823928833008,0
1705190400.0,1786286805.8885863,PRE_ALERT,OK,0.744,0.3419,3.5496,3.9636,[3.245],1,0.16850483417510986,0
1705196700.0,1786286806.7630093,PRE_ALERT,OK,0.633,0.3383,3.4899,3.9002,[3.1872],1,0.1375194787979126,0
1705224600.0,1786286810.6378853,PRE_ALERT,OK,0.79,0.3423,3.2384,3.6543,[2.948],1,0.12907558679580688,0
1705230900.0,1786286811.5132365,PRE_ALERT,OK,0.646,0.3521,3.2934,3.7223,[2.9948],1,0.10894674062728882,0
1705237200.0,1786286812.388028,PRE_ALERT,OK,0.753,0.3749,3.3374,3.7961,[3.0228],1,0.12350296974182129,0
1705242600.0,1786286813.1379087,PRE_ALERT,OK,0.51,0.3416,3.495,3.909,[3.1927],1,0.1621224284172058,0
1705269600.0,1786286816.8875856,PRE_ALERT,OK,0.705,0.3758,3.2072,3.6529,[2.9175],1,0.2188001275062561,0
1705275900.0,1786286817.763009,PRE_ALERT,OK,0.751,0.3407,3.4747,3.887,[3.1834],1,0.13863605260849,0
1705281300.0,1786286818.513737,PRE_ALERT,OK,0.784,0.3427,3.3259,3.7413,[3.0288],1,0.17483919858932495,0
1705287600.0,1786286819.3875496,PRE_ALERT,OK,0.618,0.3565,3.1632,3.5917,[2.8791],1,0.16640007495880127,0
1705321800.0,1786286824.1377192,PRE_ALERT,OK,0.549,0.3432,3.311,3.7259,[3.017],1,0.20212364196777344,0
1705328100.0,1786286825.0126421,PRE_ALERT,OK,0.678,0.3464,3.3001,3.7208,[3.0108],1,0.12884396314620972,0
1705360500.0,1786286829.5129158,PRE_ALERT,OK,0.552,0.3441,3.4919,3.9021,[3.1832],1,0.4191179871559143,0
1705366800.0,1786286830.3881726,PRE_ALERT,OK,0.621,0.349,3.2952,3.7128,[2.9909],1,0.4946039319038391,0
1705373100.0,1786286831.2626584,PRE_ALERT,OK,0.51,0.3348,3.2653,3.674,[2.9711],1,0.20980077981948853,0
1705401000.0,1786286835.1376262,PRE_ALERT,OK,0.571,0.3397,3.1701,3.5841,[2.8792],1,0.3027994632720947,0
1705407300.0,1786286836.012795,PRE_ALERT,OK,0.701,0.3414,3.3671,3.7851,[3.0773],1,0.2476041316986084,0
1705419000.0,1786286837.638023,PRE_ALERT,OK,0.535,0.3343,3.2625,3.6707,[2.9733],1,0.19612234830856323,0
1705439700.0,1786286840.513207,PRE_ALERT,OK,0.819,0.3459,3.4224,3.8412,[3.1338],1,0.17470359802246094,0
