phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1705017600.0,1786286781.8843658,1,1.2001,0.0538,0.0302,0.773,0.0342,0.352,NOMINAL,NOMINAL,STALE,0,
1705018500.0,1786286782.0085385,1,1.0064,0.0555,,0.713,0.0284,0.27,NOMINAL,NOMINAL,STALE,0,
1705019400.0,1786286782.1340966,1,1.3082,0.0622,,0.622,0.0244,0.282,NOMINAL,NOMINAL,STALE,0,
1705020300.0,1786286782.2586517,1,1.093,0.0569,,0.655,0.0248,0.269,NOMINAL,NOMINAL,STALE,0,
1705021200.0,1786286782.3837292,1,1.1753,0.0606,,0.684,0.0252,0.251,NOMINAL,NOMINAL,STALE,0,
1705022100.0,1786286782.5099213,1,1.274,0.0867,,0.941,0.0439,0.774,NOMINAL,NOMINAL,STALE,0,
1705023000.0,1786286782.6336408,1,1.153,0.0566,,0.663,0.0291,0.262,NOMINAL,NOMINAL,STALE,0,
1705023900.0,1786286782.7588546,1,1.0179,0.0557,,0.653,0.0272,0.623,NOMINAL,NOMINAL,STALE,0,
1705024800.0,1786286782.883545,1,1.0623,0.0554,,0.658,0.0282,0.258,NOMINAL,NOMINAL,STALE,0,
1705025700.0,1786286783.0085645,1,1.0342,0.0542,,0.707,0.0268,0.251,NOMINAL,NOMINAL,STALE,0,
1705026600.0,1786286783.133393,1,0.9973,0.0543,,0.612,0.0238,0.255,NOMINAL,NOMINAL,STALE,0,
1705027500.0,1786286783.2585542,1,0.9264,0.0525,,0.772,0.0251,0.234,NOMINAL,NOMINAL,STALE,0,
1705028400.0,1786286783.3834202,1,0.9966,0.054,,0.64,0.0277,0.247,NOMINAL,NOMINAL,STALE,0,
1705029300.0,1786286783.5094354,1,1.2014,0.0594,,0.857,0.0286,0.555,NOMINAL,NOMINAL,STALE,0,
1705030200.0,1786286783.6335318,1,1.1056,0.0548,,0.638,0.0269,0.246,NOMINAL,NOMINAL,STALE,0,
1705031100.0,1786286783.7582808,1,0.9416,0.054,,0.595,0.0236,0.222,NOMINAL,NOMINAL,STALE,0,
1705032000.0,1786286783.883546,1,1.0701,0.0564,,0.624,0.0278,0.258,NOMINAL,NOMINAL,STALE,0,
1705032900.0,1786286784.0084438,1,0.9987,0.0528,,0.654,0.0257,0.248,NOMINAL,NOMINAL,STALE,0,
1705033800.0,1786286784.1333985,1,1.0249,0.0529,,0.606,0.0229,0.237,NOMINAL,NOMINAL,STALE,0,
1705034700.0,1786286784.2584515,1,0.9337,0.0545,,0.656,0.0228,0.344,NOMINAL,NOMINAL,STALE,0,
1705035600.0,1786286784.383443,1,1.0124,0.0531,,0.656,0.0262,0.243,NOMINAL,NOMINAL,STALE,0,
1705036500.0,1786286784.5083194,1,0.9512,0.0551,,0.577,0.0457,0.269,NOMINAL,NOMINAL,STALE,0,
1705037400.0,1786286784.6331778,1,0.9341,0.0524,,0.565,0.0222,0.223,NOMINAL,NOMINAL,STALE,0,
1705038300.0,1786286784.7581906,1,0.8956,0.0518,,0.574,0.0234,0.22,NOMINAL,NOMINAL,STALE,0,
