phys_ts,n_channels,zbuf_update_ms
1705017600.0,1,0.00711
1705018500.0,1,0.00541
1705019400.0,1,0.00522
1705020300.0,1,0.00531
1705021200.0,1,0.00598
1705022100.0,1,0.00496
1705023000.0,1,0.00496
1705023900.0,1,0.00458
1705024800.0,1,0.00458
1705025700.0,1,0.00477
1705026600.0,1,0.00387
1705027500.0,1,0.0039
1705028400.0,1,0.00518
1705029300.0,1,0.0049
1705030200.0,1,0.00451
1705031100.0,1,0.00451
1705032000.0,1,0.00566
1705032900.0,1,0.00531
1705033800.0,1,0.00474
1705034700.0,1,0.00442
1705035600.0,1,0.00493
1705036500.0,1,0.00502
1705037400.0,1,0.0039
1705038300.0,1,0.0039
1705039200.0,1,0.00522
1705040100.0,1,0.00474
1705041000.0,1,0.0041
1705041900.0,1,0.00458
1705042800.0,1,0.00445
1705043700.0,1,0.00461
1705044600.0,1,0.00429
1705045500.0,1,0.00563
1705046400.0,1,0.00589
1705047300.0,1,0.00486
1705048200.0,1,0.00413
1705049100.0,1,0.00362
1705050000.0,1,0.00448
1705050900.0,1,0.00403
1705051800.0,1,0.00413
1705052700.0,1,0.0033
1705053600.0,1,0.00461
1705054500.0,1,0.00493
1705055400.0,1,0.00426
1705056300.0,1,0.00374
1705057200.0,1,0.00573
1705058100.0,1,0.00525
1705059000.0,1,0.00435
1705059900.0,1,0.0048
1705060800.0,1,0.00429
1705061700.0,1,0.004
1705062600.0,1,0.00464
1705063500.0,1,0.00381
1705064400.0,1,0.00413
1705065300.0,1,0.0057
1705066200.0,1,0.00512
1705067100.0,1,0.00502
1705068000.0,1,0.00458
1705068900.0,1,0.0057
1705069800.0,1,0.00503
1705070700.0,1,0.00486
1705071600.0,1,0.00531
1705072500.0,1,0.00419
1705073400.0,1,0.00464
1705074300.0,1,0.00442
1705075200.0,1,0.00474
1705076100.0,1,0.00451
1705077000.0,1,0.00544
1705077900.0,1,0.0049
1705078800.0,1,0.00458
1705079700.0,1,0.00541
1705080600.0,1,0.00467
1705081500.0,1,0.0041
1705082400.0,1,0.00448
1705083300.0,1,0.00502
1705084200.0,1,0.0047
1705085100.0,1,0.00506
1705086000.0,1,0.00486
1705086900.0,1,0.00445
1705087800.0,1,0.00499
1705088700.0,1,0.0047
1705089600.0,1,0.00368
1705090500.0,1,0.00426
1705091400.0,1,0.00445
1705092300.0,1,0.00486
1705093200.0,1,0.00547
1705094100.0,1,0.00541
1705095000.0,1,0.00467
1705095900.0,1,0.00515
1705096800.0,1,0.00429
1705097700.0,1,0.00454
1705098600.0,1,0.0049
1705099500.0,1,0.00394
1705100400.0,1,0.00448
1705101300.0,1,0.00544
1705102200.0,1,0.00442
1705103100.0,1,0.00448
1705104000.0,1,0.00675
1705104900.0,1,0.00643
1705105800.0,1,0.00637
1705106700.0,1,0.00608
1705107600.0,1,0.00602
1705108500.0,1,0.0064
1705109400.0,1,0.0057
1705110300.0,1,0.00627
1705111200.0,1,0.00592
1705112100.0,1,0.00544
1705113000.0,1,0.00598
1705113900.0,1,0.00554
1705114800.0,1,0.00707
1705115700.0,1,0.00759
1705116600.0,1,0.00675
1705117500.0,1,0.00669
1705118400.0,1,0.00688
1705119300.0,1,0.00579
1705120200.0,1,0.00598
1705121100.0,1,0.0064
1705122000.0,1,0.00602
1705122900.0,1,0.00624
1705123800.0,1,0.00602
1705124700.0,1,0.00698
1705125600.0,1,0.00598
1705126500.0,1,0.00675
1705127400.0,1,0.00752
1705128300.0,1,0.00691
1705129200.0,1,0.00954
1705130100.0,1,0.00874
1705131000.0,1,0.00464
1705131900.0,1,0.0065
1705132800.0,1,0.00605
1705133700.0,1,0.00727
1705134600.0,1,0.00765
1705135500.0,1,0.0071
1705136400.0,1,0.00765
1705137300.0,1,0.00918
1705138200.0,1,0.00774
1705139100.0,1,0.00675
1705140000.0,1,0.00573
1705140900.0,1,0.00669
1705141800.0,1,0.00691
1705142700.0,1,0.00797
1705143600.0,1,0.0065
1705144500.0,1,0.00653
1705145400.0,1,0.00698
1705146300.0,1,0.00711
1705147200.0,1,0.00589
1705148100.0,1,0.00662
1705149000.0,1,0.00691
1705149900.0,1,0.00678
1705150800.0,1,0.00765
1705151700.0,1,0.00768
1705152600.0,1,0.00701
1705153500.0,1,0.00694
1705154400.0,1,0.00688
1705155300.0,1,0.00595
1705156200.0,1,0.00714
1705157100.0,1,0.00759
1705158000.0,1,0.00688
1705158900.0,1,0.00659
1705159800.0,1,0.00605
1705160700.0,1,0.00586
1705161600.0,1,0.00694
1705162500.0,1,0.00608
1705163400.0,1,0.00666
1705164300.0,1,0.00717
1705165200.0,1,0.00986
1705166100.0,1,0.00874
1705167000.0,1,0.00829
1705167900.0,1,0.00707
1705168800.0,1,0.00736
1705169700.0,1,0.00685
1705170600.0,1,0.00679
1705171500.0,1,0.00691
1705172400.0,1,0.00739
1705173300.0,1,0.00819
1705174200.0,1,0.00685
1705175100.0,1,0.0081
1705176000.0,1,0.00742
1705176900.0,1,0.0072
1705177800.0,1,0.00634
1705178700.0,1,0.00656
1705179600.0,1,0.00784
1705180500.0,1,0.00774
1705181400.0,1,0.00749
1705182300.0,1,0.00698
1705183200.0,1,0.00618
1705184100.0,1,0.00662
1705185000.0,1,0.00618
1705185900.0,1,0.00634
1705186800.0,1,0.00823
1705187700.0,1,0.0088
1705188600.0,1,0.00765
1705189500.0,1,0.00694
1705190400.0,1,0.0071
1705191300.0,1,0.00774
1705192200.0,1,0.0073
1705193100.0,1,0.00682
1705194000.0,1,0.00845
1705194900.0,1,0.00822
1705195800.0,1,0.00723
1705196700.0,1,0.00605
1705197600.0,1,0.00726
1705198500.0,1,0.00656
1705199400.0,1,0.00605
1705200300.0,1,0.00813
1705201200.0,1,0.00896
1705202100.0,1,0.01827
1705203000.0,1,0.00781
1705203900.0,1,0.0064
1705204800.0,1,0.00621
1705205700.0,1,0.00678
1705206600.0,1,0.00611
1705207500.0,1,0.00614
1705208400.0,1,0.00666
1705209300.0,1,0.0089
1705210200.0,1,0.00752
1705211100.0,1,0.00608
1705212000.0,1,0.00624
1705212900.0,1,0.00522
1705213800.0,1,0.00672
1705214700.0,1,0.00675
1705215600.0,1,0.00541
1705216500.0,1,0.00707
1705217400.0,1,0.00742
1705218300.0,1,0.00675
1705219200.0,1,0.00589
1705220100.0,1,0.00621
1705221000.0,1,0.00637
1705221900.0,1,0.00586
1705222800.0,1,0.00682
1705223700.0,1,0.00752
1705224600.0,1,0.0065
1705225500.0,1,0.00675
1705226400.0,1,0.00602
1705227300.0,1,0.00637
1705228200.0,1,0.00749
1705229100.0,1,0.00624
1705230000.0,1,0.00906
1705230900.0,1,0.00848
1705231800.0,1,0.00646
1705232700.0,1,0.0065
1705233600.0,1,0.00691
1705234500.0,1,0.00694
1705235400.0,1,0.0065
1705236300.0,1,0.00637
1705237200.0,1,0.00803
1705238100.0,1,0.00906
1705239000.0,1,0.00762
1705239900.0,1,0.0071
1705240800.0,1,0.00605
1705241700.0,1,0.00749
1705242600.0,1,0.00598
1705243500.0,1,0.00698
1705244400.0,1,0.0071
1705245300.0,1,0.00922
1705246200.0,1,0.00755
1705247100.0,1,0.00682
1705248000.0,1,0.00778
1705248900.0,1,0.00854
1705249800.0,1,0.0073
1705250700.0,1,0.0071
1705251600.0,1,0.00685
1705252500.0,1,0.00774
1705253400.0,1,0.00813
1705254300.0,1,0.00678
1705255200.0,1,0.00749
1705256100.0,1,0.00707
