phys_ts,ai_pub_wall_ts,ap_state,status,alert_transport_ms,preproc_ms,infer_ms,activation_total_ms,per_model_ms,n_models,p_event,y_pred
1647653400.0,1786287811.9592943,PRE_ALERT,INSUFFICIENT_DATA,0.537,0.0071,0.0,0.0673,[],1,,
1647658800.0,1786287812.7086444,PRE_ALERT,INSUFFICIENT_DATA,0.408,0.0044,0.0,0.0577,[],1,,
1647817200.0,1786287834.7129006,PRE_ALERT,OK,0.35,0.5179,3.5153,4.1212,[3.1495],1,0.1487255096435547,0
1647851400.0,1786287839.4624908,PRE_ALERT,OK,0.437,0.3317,3.2136,3.6173,[2.9236],1,0.37105822563171387,0
1647857700.0,1786287840.3375854,PRE_ALERT,OK,0.408,0.3328,3.1928,3.5961,[2.9078],1,0.992211873177439,1
1647869400.0,1786287841.962645,PRE_ALERT,OK,0.422,0.3351,3.5235,3.9331,[3.1968],1,0.9903509542346001,1
1647875700.0,1786287842.8377507,PRE_ALERT,OK,0.4,0.332,3.4294,3.8377,[3.1341],1,0.947789154946804,1
1647914400.0,1786287848.2125242,PRE_ALERT,OK,0.483,0.3346,3.1797,3.5855,[2.8562],1,0.5591721832752228,1
1647920700.0,1786287849.0873725,PRE_ALERT,OK,0.442,0.3299,3.1171,3.5148,[2.8156],1,0.2051905393600464,0
1647939600.0,1786287851.7123141,PRE_ALERT,OK,0.391,0.334,3.1874,3.5941,[2.9],1,0.20260089635849,0
1647948600.0,1786287852.9624486,PRE_ALERT,OK,0.325,0.3338,3.2234,3.6291,[2.9312],1,0.18229758739471436,0
1647954900.0,1786287853.8372204,PRE_ALERT,OK,0.34,0.3346,3.1461,3.5534,[2.8594],1,0.12733274698257446,0
1647993600.0,1786287859.2132254,PRE_ALERT,OK,0.44,0.3392,3.1954,3.6103,[2.9012],1,0.1825675368309021,0
1647999900.0,1786287860.0878367,PRE_ALERT,OK,0.485,0.339,3.1565,3.5659,[2.864],1,0.132804274559021,0
1648027800.0,1786287863.9621463,PRE_ALERT,OK,0.372,0.3341,3.1491,3.5555,[2.8651],1,0.1341652274131775,0
1648034100.0,1786287864.8383296,PRE_ALERT,OK,0.364,0.3357,3.2451,3.6534,[2.9536],1,0.1612589955329895,0
1648039500.0,1786287865.5872738,PRE_ALERT,OK,0.306,0.3314,3.1403,3.5452,[2.8512],1,0.15904676914215088,0
1648045800.0,1786287866.4624803,PRE_ALERT,OK,0.343,0.3367,3.1525,3.5616,[2.8601],1,0.15251821279525757,0
1648079100.0,1786287871.0872478,PRE_ALERT,OK,0.538,0.34,3.2836,3.6996,[2.9831],1,0.10563987493515015,0
1648084500.0,1786287871.8373487,PRE_ALERT,OK,0.507,0.3377,3.237,3.6479,[2.9441],1,0.1017601490020752,0
1648090800.0,1786287872.7125263,PRE_ALERT,OK,0.553,0.4707,3.4201,3.9692,[3.0903],1,0.1448838710784912,0
1648118700.0,1786287876.587313,PRE_ALERT,OK,0.543,0.3374,3.3154,3.7263,[3.0161],1,0.16318106651306152,0
1648125000.0,1786287877.4628718,PRE_ALERT,OK,0.528,0.3489,3.2716,3.695,[2.9782],1,0.13522064685821533,0
1648131300.0,1786287878.337534,PRE_ALERT,OK,0.53,0.3501,3.2727,3.6971,[2.9797],1,0.1268748641014099,0
1648163700.0,1786287882.8375037,PRE_ALERT,OK,0.56,0.342,3.3029,3.7173,[3.0097],1,0.1340632438659668,0
1648170000.0,1786287883.7123082,PRE_ALERT,OK,0.56,0.3384,3.2485,3.6634,[2.9525],1,0.16390985250473022,0
1648176300.0,1786287884.5874476,PRE_ALERT,OK,0.499,0.3344,3.2424,3.6524,[2.9477],1,0.11927473545074463,0
1648204200.0,1786287888.4626262,PRE_ALERT,OK,0.52,0.3383,3.2871,3.6996,[2.9945],1,0.19379961490631104,0
1648210500.0,1786287889.3376243,PRE_ALERT,OK,0.552,0.3398,3.253,3.667,[2.9692],1,0.1651219129562378,0
1648215900.0,1786287890.087318,PRE_ALERT,OK,0.507,0.3424,3.2717,3.6874,[2.976],1,0.18067771196365356,0
1648222200.0,1786287890.962498,PRE_ALERT,OK,0.556,0.3357,3.3151,3.7291,[3.0213],1,0.1266465187072754,0
1648242900.0,1786287893.8372922,PRE_ALERT,OK,0.57,0.3436,3.2185,3.6392,[2.9258],1,0.12647277116775513,0
1648249200.0,1786287894.7123506,PRE_ALERT,OK,0.534,0.3385,3.3487,3.7788,[3.0243],1,0.1618064045906067,0
1648260900.0,1786287896.337577,PRE_ALERT,OK,0.562,0.3375,3.2329,3.6442,[2.9385],1,0.13552558422088623,0
1648267200.0,1786287897.2123399,PRE_ALERT,OK,0.539,0.5847,3.239,3.9001,[2.9163],1,0.14486056566238403,0
1648295100.0,1786287901.0874727,PRE_ALERT,OK,0.554,0.346,3.2422,3.6606,[2.9453],1,0.17805683612823486,0
1648301400.0,1786287901.9628243,PRE_ALERT,OK,0.505,0.3382,3.1951,3.607,[2.9039],1,0.11697304248809814,0
1648340100.0,1786287907.3380651,PRE_ALERT,OK,0.563,0.3359,3.3661,3.781,[3.0623],1,0.17407190799713135,0
1648346400.0,1786287908.2125983,PRE_ALERT,OK,0.549,0.3415,3.2114,3.6273,[2.9184],1,0.16722029447555542,0
1648374300.0,1786287912.087335,PRE_ALERT,OK,0.489,0.3424,3.2446,3.6658,[2.9458],1,0.1361624002456665,0
1648380600.0,1786287912.9625669,PRE_ALERT,OK,0.478,0.3356,3.2673,3.6821,[2.9652],1,0.14990830421447754,0
1648386900.0,1786287913.8374588,PRE_ALERT,OK,0.513,0.3344,3.2776,3.6861,[2.9804],1,0.17073363065719604,0
1648419300.0,1786287918.3374262,PRE_ALERT,OK,0.494,0.3408,3.2983,3.7121,[3.0041],1,0.16055697202682495,0
1648425600.0,1786287919.2134461,PRE_ALERT,OK,0.872,0.3373,3.2948,3.707,[2.9954],1,0.16661006212234497,0
1648437300.0,1786287920.8385625,PRE_ALERT,OK,0.656,0.3422,3.2476,3.6666,[2.9448],1,0.16775530576705933,0
1648471500.0,1786287925.5883956,PRE_ALERT,OK,0.59,0.3428,3.2702,3.6893,[2.9434],1,0.3321688175201416,0
1648472400.0,1786287925.7129192,PRE_ALERT,OK,0.527,0.275,3.0466,3.3949,[2.7797],1,0.7571761310100555,1
1648476000.0,1786287926.2130222,PRE_ALERT,OK,0.559,0.3361,3.3205,3.7359,[3.0143],1,0.9933564872480929,1
1648476900.0,1786287926.3379867,PRE_ALERT,OK,0.515,0.2644,3.0659,3.4006,[2.8048],1,0.9993429430178367,1
1648477800.0,1786287926.462949,ALERT,OK,0.423,0.2645,3.0931,3.4283,[2.8317],1,0.9989039984066039,1
1648478700.0,1786287926.5880935,ALERT,OK,0.589,0.2698,2.9842,3.3242,[2.7175],1,0.9999718926192145,1
1648497600.0,1786287929.2127228,PRE_ALERT,OK,0.526,0.3416,3.3066,3.7246,[3.0064],1,0.9525024630129337,1
1648503900.0,1786287930.0877175,PRE_ALERT,OK,0.585,0.3689,3.1981,3.6389,[2.8978],1,0.9974364126101136,1
1648516500.0,1786287931.8385396,PRE_ALERT,OK,0.833,0.3433,3.2281,3.6447,[2.9338],1,0.984392985701561,1
1648522800.0,1786287932.7128994,PRE_ALERT,OK,0.527,0.3354,3.1605,3.569,[2.8727],1,0.9973199677187949,1
1648541700.0,1786287935.3378253,PRE_ALERT,OK,0.52,0.3393,3.3007,3.7155,[3.0019],1,0.9956960962153971,1
1648550700.0,1786287936.5879848,PRE_ALERT,OK,0.551,0.3432,3.1892,3.6072,[2.8926],1,0.9010607153177261,1
1648557000.0,1786287937.4627612,PRE_ALERT,OK,0.501,0.3383,3.191,3.6037,[2.894],1,0.9041488319635391,1
1648595700.0,1786287942.8381903,PRE_ALERT,OK,0.576,0.3383,3.3349,3.7483,[3.0404],1,0.8505744636058807,1
1648602000.0,1786287943.713086,PRE_ALERT,OK,0.531,0.3345,3.2376,3.6469,[2.9392],1,0.3201020359992981,0
1648629900.0,1786287947.5879002,PRE_ALERT,OK,0.55,0.3371,3.1506,3.5626,[2.868],1,0.12633484601974487,0
1648641600.0,1786287949.2131603,PRE_ALERT,OK,0.668,0.3491,3.2715,3.6951,[2.9756],1,0.18061208724975586,0
1648647900.0,1786287950.0879304,PRE_ALERT,OK,0.553,0.3398,3.2122,3.6295,[2.9145],1,0.14090275764465332,0
1648654200.0,1786287950.9632971,PRE_ALERT,OK,0.583,0.3397,3.2703,3.6838,[2.9745],1,0.09180653095245361,0
1648686600.0,1786287955.463066,PRE_ALERT,OK,0.452,0.3344,3.3061,3.7161,[3.0054],1,0.9557180590927601,1
1648692900.0,1786287956.3379083,PRE_ALERT,OK,0.574,0.342,3.291,3.7059,[2.995],1,0.9613587111234665,1
1648699200.0,1786287957.2126067,PRE_ALERT,OK,0.526,0.3345,3.2775,3.689,[2.9772],1,0.9613712392747402,1
1648727100.0,1786287961.088081,PRE_ALERT,OK,0.551,0.343,3.1492,3.5677,[2.8547],1,0.9859290989115834,1
1648733400.0,1786287961.9626923,PRE_ALERT,OK,0.505,0.3347,3.2558,3.6655,[2.9583],1,0.9870433481410146,1
1648765800.0,1786287966.4629102,PRE_ALERT,OK,0.5,0.3396,3.328,3.7481,[3.0297],1,0.9065401256084442,1
1648772100.0,1786287967.3380349,PRE_ALERT,OK,0.618,0.3387,3.2609,3.6759,[2.9674],1,0.8496671915054321,1
1648778400.0,1786287968.2129543,PRE_ALERT,OK,0.509,0.3356,3.3311,3.7428,[3.0407],1,0.561533510684967,1
1648806300.0,1786287972.0881689,PRE_ALERT,OK,0.548,0.3441,3.199,3.6192,[2.9053],1,0.18231558799743652,0
1648818000.0,1786287973.7132244,PRE_ALERT,OK,0.606,0.338,3.3092,3.7229,[3.0126],1,0.20207595825195312,0
1648824300.0,1786287974.5876873,PRE_ALERT,OK,0.522,0.3686,3.2133,3.6583,[2.9144],1,0.13676637411117554,0
1648863000.0,1786287979.9633496,PRE_ALERT,OK,0.559,0.3423,3.2679,3.6889,[2.9669],1,0.1517539620399475,0
1648869300.0,1786287980.8389766,PRE_ALERT,OK,0.617,0.3392,3.2511,3.6696,[2.9504],1,0.17020094394683838,0
1648897200.0,1786287984.7128003,PRE_ALERT,OK,0.496,0.3382,3.3831,3.8084,[3.0552],1,0.20071834325790405,0
1648903500.0,1786287985.5879626,PRE_ALERT,OK,0.53,0.3405,3.2302,3.6489,[2.9318],1,0.2469090223312378,0
1648909800.0,1786287986.4627879,PRE_ALERT,OK,0.427,0.3306,3.178,3.5835,[2.8959],1,0.23385506868362427,0
1648910700.0,1786287986.5877216,PRE_ALERT,OK,0.527,0.2631,2.9302,3.2574,[2.6915],1,0.4573667049407959,0
1648916100.0,1786287987.3379083,PRE_ALERT,OK,0.501,0.3292,3.1664,3.5707,[2.8893],1,0.8895586878061295,1
1648917000.0,1786287987.4626057,PRE_ALERT,OK,0.434,0.2684,3.03,3.364,[2.7779],1,0.992010879330337,1
1648942200.0,1786287990.9629788,PRE_ALERT,OK,0.438,0.3321,3.1795,3.5882,[2.8948],1,0.9897436276078224,1
1648948500.0,1786287991.8391461,PRE_ALERT,OK,1.051,0.3287,3.3821,3.7888,[3.1025],1,0.9910724228248,1
1648982700.0,1786287996.5880342,PRE_ALERT,OK,0.516,0.6061,3.2639,3.9466,[2.9708],1,0.6641953885555267,1
1648989000.0,1786287997.4627407,PRE_ALERT,OK,0.535,0.3504,3.2827,3.7094,[2.9947],1,0.882299080491066,1
1648994400.0,1786287998.2129781,PRE_ALERT,OK,0.575,0.3411,3.2671,3.6825,[2.9762],1,0.436708927154541,0
1649000700.0,1786287999.0877635,PRE_ALERT,OK,0.526,0.3702,3.2284,3.6755,[2.9341],1,0.2846153974533081,0
1649027700.0,1786288002.8379362,PRE_ALERT,OK,0.559,0.3436,3.2786,3.6984,[2.9832],1,0.20809721946716309,0
