phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1647565200.0,1786287799.7092755,1,1.1788,0.0604,,0.983,0.0343,0.361,NOMINAL,NOMINAL,STALE,0,
1647566100.0,1786287799.834417,1,1.2662,0.0601,,0.879,0.0326,0.383,NOMINAL,NOMINAL,STALE,0,
1647567000.0,1786287799.958926,1,1.1679,0.0581,,0.767,0.0327,0.312,NOMINAL,NOMINAL,STALE,0,
1647567900.0,1786287800.0835261,1,0.9659,0.0519,,0.712,0.0292,0.269,NOMINAL,NOMINAL,STALE,0,
1647568800.0,1786287800.2086132,1,1.1031,0.0559,,0.631,0.0287,0.297,NOMINAL,NOMINAL,STALE,0,
1647569700.0,1786287800.3333478,1,0.9891,0.0537,,0.588,0.0251,0.273,NOMINAL,NOMINAL,STALE,0,
1647570600.0,1786287800.4581218,1,0.8348,0.05,,0.62,0.0235,0.24,NOMINAL,NOMINAL,STALE,0,
1647571500.0,1786287800.583076,1,0.8151,0.0516,,0.585,0.0247,0.235,NOMINAL,NOMINAL,STALE,0,
1647572400.0,1786287800.7086751,1,1.0215,0.0541,,0.768,0.03,0.266,NOMINAL,NOMINAL,STALE,0,
1647573300.0,1786287800.8348758,1,1.2321,0.0583,,0.887,0.0336,0.949,NOMINAL,NOMINAL,STALE,0,
1647574200.0,1786287800.9587877,1,1.141,0.0556,,0.746,0.0306,0.251,NOMINAL,NOMINAL,STALE,0,
1647575100.0,1786287801.083534,1,1.0935,0.0565,,0.557,0.0249,0.323,NOMINAL,NOMINAL,STALE,0,
1647576000.0,1786287801.208342,1,1.0309,0.0549,,0.547,0.0296,0.286,NOMINAL,NOMINAL,STALE,0,
1647576900.0,1786287801.3332179,1,0.9901,0.051,,0.515,0.0284,0.253,NOMINAL,NOMINAL,STALE,0,
1647577800.0,1786287801.4580295,1,0.8584,0.0498,,0.548,0.0246,0.215,NOMINAL,NOMINAL,STALE,0,
1647578700.0,1786287801.5828986,1,0.8038,0.0485,,0.516,0.0222,0.212,NOMINAL,NOMINAL,STALE,0,
1647579600.0,1786287801.7087657,1,1.1152,0.0546,,0.731,0.0291,0.3,NOMINAL,NOMINAL,STALE,0,
1647580500.0,1786287801.8332312,1,0.9565,0.0502,,0.562,0.0267,0.245,NOMINAL,NOMINAL,STALE,0,
1647581400.0,1786287801.9583254,1,1.0134,0.0512,,0.552,0.0252,0.256,NOMINAL,NOMINAL,STALE,0,
1647582300.0,1786287802.083214,1,0.9234,0.0509,,0.559,0.0278,0.287,NOMINAL,NOMINAL,STALE,0,
1647583200.0,1786287802.208292,1,1.0165,0.0511,,0.505,0.0251,0.297,NOMINAL,NOMINAL,STALE,0,
1647584100.0,1786287802.333183,1,0.9664,0.0525,,0.51,0.0237,0.259,NOMINAL,NOMINAL,STALE,0,
1647585000.0,1786287802.4581769,1,0.8973,0.0508,,0.558,0.027,0.273,NOMINAL,NOMINAL,STALE,0,
1647585900.0,1786287802.5830805,1,0.88,0.0498,,0.504,0.0253,0.258,NOMINAL,NOMINAL,STALE,0,
1647586800.0,1786287802.708783,1,1.0938,0.0564,,0.797,0.0349,0.283,NOMINAL,NOMINAL,STALE,0,
1647587700.0,1786287802.8336668,1,1.1575,0.0552,,0.644,0.0303,0.244,NOMINAL,NOMINAL,STALE,0,
1647588600.0,1786287802.9584315,1,1.0595,0.0538,,0.573,0.0289,0.237,NOMINAL,NOMINAL,STALE,0,
1647589500.0,1786287803.0833793,1,1.0513,0.0531,,0.572,0.0271,0.229,NOMINAL,NOMINAL,STALE,0,
1647590400.0,1786287803.2081268,1,0.9488,0.0513,,0.504,0.026,0.223,NOMINAL,NOMINAL,STALE,0,
1647591300.0,1786287803.3331914,1,0.9933,0.0511,,0.518,0.0255,0.209,NOMINAL,NOMINAL,STALE,0,
1647592200.0,1786287803.458044,1,0.8711,0.0494,,0.535,0.0247,0.214,NOMINAL,NOMINAL,STALE,0,
1647593100.0,1786287803.582797,1,0.8044,0.0474,,0.437,0.0188,0.205,NOMINAL,NOMINAL,STALE,0,
1647594000.0,1786287803.7085328,1,1.0297,0.0529,,0.691,0.0296,0.246,NOMINAL,NOMINAL,STALE,0,
1647594900.0,1786287803.8332973,1,1.0191,0.0525,,0.568,0.0268,0.226,NOMINAL,NOMINAL,STALE,0,
1647595800.0,1786287803.958352,1,1.0037,0.0524,,0.599,0.0254,0.221,NOMINAL,NOMINAL,STALE,0,
1647596700.0,1786287804.0834541,1,1.0439,0.0548,,0.609,0.0281,0.234,NOMINAL,NOMINAL,STALE,0,
1647597600.0,1786287804.208298,1,1.0292,0.054,,0.507,0.0533,0.258,NOMINAL,NOMINAL,STALE,0,
1647598500.0,1786287804.3335047,1,1.1163,0.0566,,0.573,0.0265,0.243,NOMINAL,NOMINAL,STALE,0,
1647599400.0,1786287804.458208,1,0.9515,0.0522,,0.532,0.0258,0.249,NOMINAL,NOMINAL,STALE,0,
1647600300.0,1786287804.5831294,1,0.9229,0.052,,0.528,0.0232,0.233,NOMINAL,NOMINAL,STALE,0,
1647601200.0,1786287804.7084785,1,0.99,0.051,,0.687,0.0286,0.299,NOMINAL,NOMINAL,STALE,0,
1647602100.0,1786287804.834455,1,1.2669,0.0601,,0.941,0.0315,0.301,NOMINAL,NOMINAL,STALE,0,
1647603000.0,1786287804.9588048,1,1.143,0.0548,,0.721,0.029,0.257,NOMINAL,NOMINAL,STALE,0,
1647603900.0,1786287805.083512,1,1.0472,0.0541,,0.623,0.0267,0.235,NOMINAL,NOMINAL,STALE,0,
1647604800.0,1786287805.2083201,1,1.0113,0.0544,,0.555,0.0251,0.258,NOMINAL,NOMINAL,STALE,0,
1647605700.0,1786287805.3332973,1,0.9851,0.0542,,0.56,0.0247,0.212,NOMINAL,NOMINAL,STALE,0,
1647606600.0,1786287805.4581888,1,0.9284,0.0508,,0.549,0.0239,0.206,NOMINAL,NOMINAL,STALE,0,
1647607500.0,1786287805.5831282,1,0.8998,0.052,,0.528,0.0225,0.203,NOMINAL,NOMINAL,STALE,0,
1647608400.0,1786287805.7083256,1,0.9393,0.0526,,0.564,0.0241,0.282,NOMINAL,NOMINAL,STALE,0,
1647609300.0,1786287805.8344638,1,1.2924,0.061,,0.926,0.0327,0.319,NOMINAL,NOMINAL,STALE,0,
1647610200.0,1786287805.9587836,1,1.1448,0.0555,,0.692,0.0295,0.259,NOMINAL,NOMINAL,STALE,0,
1647611100.0,1786287806.0835445,1,1.0663,0.0545,,0.619,0.0267,0.245,NOMINAL,NOMINAL,STALE,0,
1647612000.0,1786287806.208325,1,1.0021,0.0545,,0.553,0.0566,0.277,NOMINAL,NOMINAL,STALE,0,
1647612900.0,1786287806.3333735,1,1.0075,0.0541,,0.576,0.0241,0.225,NOMINAL,NOMINAL,STALE,0,
1647613800.0,1786287806.4583132,1,0.9728,0.0535,,0.563,0.0238,0.239,NOMINAL,NOMINAL,STALE,0,
1647614700.0,1786287806.583157,1,0.917,0.0529,,0.507,0.0212,0.246,NOMINAL,NOMINAL,STALE,0,
1647615600.0,1786287806.7082958,1,0.9141,0.0514,,0.531,0.0235,0.335,NOMINAL,NOMINAL,STALE,0,
1647616500.0,1786287806.8337424,1,1.1119,0.056,,0.709,0.0283,0.261,NOMINAL,NOMINAL,STALE,0,
1647617400.0,1786287806.9583302,1,0.9241,0.0504,,0.625,0.0267,0.244,NOMINAL,NOMINAL,STALE,0,
