phys_ts,n_channels,zbuf_update_ms
1647566100.0,1,0.0071
1647567000.0,1,0.00534
1647567900.0,1,0.0055
1647568800.0,1,0.0049
1647569700.0,1,0.00374
1647570600.0,1,0.00435
1647571500.0,1,0.00371
1647572400.0,1,0.00467
1647573300.0,1,0.00531
1647574200.0,1,0.00499
1647575100.0,1,0.00541
1647576000.0,1,0.00474
1647576900.0,1,0.00454
1647577800.0,1,0.00419
1647578700.0,1,0.0039
1647579600.0,1,0.00582
1647580500.0,1,0.00429
1647581400.0,1,0.00323
1647582300.0,1,0.00464
1647583200.0,1,0.00445
1647584100.0,1,0.00374
1647585000.0,1,0.00342
1647585900.0,1,0.00269
1647586800.0,1,0.00506
1647587700.0,1,0.00474
1647588600.0,1,0.00483
1647589500.0,1,0.00474
1647590400.0,1,0.00496
1647591300.0,1,0.00378
1647592200.0,1,0.00368
1647593100.0,1,0.00352
1647594000.0,1,0.00432
1647594900.0,1,0.00317
1647595800.0,1,0.00448
1647596700.0,1,0.00486
1647597600.0,1,0.00435
1647598500.0,1,0.00346
1647599400.0,1,0.00384
1647600300.0,1,0.0033
1647601200.0,1,0.00426
1647602100.0,1,0.00525
1647603000.0,1,0.0048
1647603900.0,1,0.00378
1647604800.0,1,0.00378
1647605700.0,1,0.00346
1647606600.0,1,0.00336
1647607500.0,1,0.00282
1647608400.0,1,0.00317
1647609300.0,1,0.00461
1647610200.0,1,0.00515
1647611100.0,1,0.00451
1647612000.0,1,0.00358
1647612900.0,1,0.00272
1647613800.0,1,0.0033
1647614700.0,1,0.00275
1647615600.0,1,0.00278
1647616500.0,1,0.00461
1647617400.0,1,0.00419
1647618300.0,1,0.00378
1647619200.0,1,0.00544
1647620100.0,1,0.00298
1647621000.0,1,0.00333
1647621900.0,1,0.0024
1647622800.0,1,0.0025
1647623700.0,1,0.00467
1647624600.0,1,0.00342
1647625500.0,1,0.00333
1647626400.0,1,0.00422
1647627300.0,1,0.00307
1647628200.0,1,0.00342
1647629100.0,1,0.00259
1647630000.0,1,0.00346
1647630900.0,1,0.00387
1647631800.0,1,0.00339
1647632700.0,1,0.00365
1647633600.0,1,0.00342
1647634500.0,1,0.00317
1647635400.0,1,0.00381
1647636300.0,1,0.00227
1647637200.0,1,0.00509
1647638100.0,1,0.00496
1647639000.0,1,0.00432
1647639900.0,1,0.00336
1647640800.0,1,0.00362
1647641700.0,1,0.00336
1647642600.0,1,0.00339
1647643500.0,1,0.00272
1647644400.0,1,0.00182
1647645300.0,1,0.00496
1647646200.0,1,0.00499
1647647100.0,1,0.00422
1647648000.0,1,0.00669
1647648900.0,1,0.00618
1647649800.0,1,0.00627
1647650700.0,1,0.0048
1647651600.0,1,0.00509
1647652500.0,1,0.00512
1647653400.0,1,0.00637
1647654300.0,1,0.00611
1647655200.0,1,0.0056
1647656100.0,1,0.00557
1647657000.0,1,0.00586
1647657900.0,1,0.00326
1647658800.0,1,0.00278
1647659700.0,1,0.0049
1647660600.0,1,0.0056
1647661500.0,1,0.00538
1647662400.0,1,0.00486
1647663300.0,1,0.00454
1647664200.0,1,0.00378
1647665100.0,1,0.00387
1647666000.0,1,0.00282
1647666900.0,1,0.00557
1647667800.0,1,0.00566
1647668700.0,1,0.0057
1647669600.0,1,0.00554
1647670500.0,1,0.00381
1647671400.0,1,0.00419
1647672300.0,1,0.00371
1647673200.0,1,0.00387
1647674100.0,1,0.00701
1647675000.0,1,0.00659
1647675900.0,1,0.0063
1647676800.0,1,0.00512
1647677700.0,1,0.00563
1647678600.0,1,0.00432
1647679500.0,1,0.0025
1647680400.0,1,0.0023
1647681300.0,1,0.00394
1647682200.0,1,0.00275
1647683100.0,1,0.00387
1647684000.0,1,0.00342
1647684900.0,1,0.00323
1647685800.0,1,0.00362
1647686700.0,1,0.00272
1647687600.0,1,0.0024
1647688500.0,1,0.00291
1647689400.0,1,0.00307
1647690300.0,1,0.00384
1647691200.0,1,0.00378
1647692100.0,1,0.00323
1647693000.0,1,0.0031
1647693900.0,1,0.00256
1647694800.0,1,0.00253
1647695700.0,1,0.0033
1647696600.0,1,0.00336
1647697500.0,1,0.00422
1647698400.0,1,0.00326
1647699300.0,1,0.00301
1647700200.0,1,0.0024
1647701100.0,1,0.00259
1647702000.0,1,0.00189
1647702900.0,1,0.00307
1647703800.0,1,0.00279
1647704700.0,1,0.00368
1647705600.0,1,0.00301
1647706500.0,1,0.00304
1647707400.0,1,0.0031
1647708300.0,1,0.00221
1647709200.0,1,0.00176
1647710100.0,1,0.00432
1647711000.0,1,0.00291
1647711900.0,1,0.0031
1647712800.0,1,0.00358
1647713700.0,1,0.00317
1647714600.0,1,0.00234
1647715500.0,1,0.00214
1647716400.0,1,0.00224
1647717300.0,1,0.00522
1647718200.0,1,0.00442
1647719100.0,1,0.0032
1647720000.0,1,0.00358
1647720900.0,1,0.0023
1647721800.0,1,0.00195
1647722700.0,1,0.00147
1647723600.0,1,0.00147
1647724500.0,1,0.00202
1647725400.0,1,0.00304
1647726300.0,1,0.00282
1647727200.0,1,0.00291
1647728100.0,1,0.0025
1647729000.0,1,0.00266
1647729900.0,1,0.00208
1647730800.0,1,0.00154
1647731700.0,1,0.00138
1647732600.0,1,0.00278
1647733500.0,1,0.00243
1647734400.0,1,0.00413
1647735300.0,1,0.00234
1647736200.0,1,0.00195
1647737100.0,1,0.00192
1647738000.0,1,0.00166
1647738900.0,1,0.00134
1647739800.0,1,0.00349
1647740700.0,1,0.00374
1647741600.0,1,0.00384
1647742500.0,1,0.00278
1647743400.0,1,0.00221
1647744300.0,1,0.0016
1647745200.0,1,0.00166
1647746100.0,1,0.00298
1647747000.0,1,0.0031
1647747900.0,1,0.00365
1647748800.0,1,0.00371
1647749700.0,1,0.00291
1647750600.0,1,0.00285
1647751500.0,1,0.00154
1647752400.0,1,0.00237
1647753300.0,1,0.00311
1647754200.0,1,0.00352
1647755100.0,1,0.00326
1647756000.0,1,0.0031
1647756900.0,1,0.00355
1647757800.0,1,0.00336
1647758700.0,1,0.00298
1647759600.0,1,0.00253
1647760500.0,1,0.00246
1647761400.0,1,0.00262
1647762300.0,1,0.00288
1647763200.0,1,0.00323
1647764100.0,1,0.00368
1647765000.0,1,0.00301
1647765900.0,1,0.00176
