phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1641772800.0,1786288083.1273758,3,2.4628,0.1141,0.0626,1.107,0.046,0.368,NOMINAL,NOMINAL,STALE,0,
1641773700.0,1786288083.251535,3,2.4063,0.1158,,0.959,0.0422,0.312,NOMINAL,NOMINAL,STALE,0,
1641774600.0,1786288083.375914,3,2.1763,0.1097,,0.745,0.0384,0.276,NOMINAL,NOMINAL,STALE,0,
1641775500.0,1786288083.5006924,3,2.082,0.1102,,0.649,0.0363,0.305,NOMINAL,NOMINAL,STALE,0,
1641776400.0,1786288083.625576,3,2.097,0.1078,,0.632,0.0341,0.258,NOMINAL,NOMINAL,STALE,0,
1641777300.0,1786288083.750633,3,2.1055,0.1069,,0.643,0.0323,0.254,NOMINAL,NOMINAL,STALE,0,
1641778200.0,1786288083.875984,3,2.2303,0.1122,,0.774,0.0374,0.279,NOMINAL,NOMINAL,STALE,0,
1641779100.0,1786288084.0007222,3,2.116,0.11,,0.723,0.0365,0.262,NOMINAL,NOMINAL,STALE,0,
1641780000.0,1786288084.126411,3,2.3798,0.1142,,0.925,0.043,0.312,NOMINAL,NOMINAL,STALE,0,
1641780900.0,1786288084.2508502,3,2.2082,0.1138,,0.69,0.0386,0.293,NOMINAL,NOMINAL,STALE,0,
1641781800.0,1786288084.3759048,3,2.1786,0.1106,,0.727,0.0391,0.267,NOMINAL,NOMINAL,STALE,0,
1641782700.0,1786288084.5008988,3,2.1958,0.1091,,0.705,0.0388,0.276,NOMINAL,NOMINAL,STALE,0,
1641783600.0,1786288084.6256363,3,2.1354,0.1077,,0.643,0.0351,0.261,NOMINAL,NOMINAL,STALE,0,
1641784500.0,1786288084.7507403,3,2.135,0.1091,,0.676,0.0362,0.26,NOMINAL,NOMINAL,STALE,0,
1641785400.0,1786288084.8755658,3,2.0541,0.1085,,0.67,0.0319,0.248,NOMINAL,NOMINAL,STALE,0,
1641786300.0,1786288085.000404,3,1.9701,0.1083,,0.674,0.0336,0.252,NOMINAL,NOMINAL,STALE,0,
1641787200.0,1786288085.125414,3,2.0323,0.105,,0.608,0.0308,0.242,NOMINAL,NOMINAL,STALE,0,
1641788100.0,1786288085.2504265,3,2.0089,0.1063,,0.653,0.0338,0.247,NOMINAL,NOMINAL,STALE,0,
1641789000.0,1786288085.375704,3,2.0532,0.1051,,0.711,0.038,0.29,NOMINAL,NOMINAL,STALE,0,
1641789900.0,1786288085.5007548,3,2.1748,0.1103,,0.646,0.0363,0.266,NOMINAL,NOMINAL,STALE,0,
1641790800.0,1786288085.625535,3,2.1087,0.1079,,0.605,0.0356,0.249,NOMINAL,NOMINAL,STALE,0,
1641791700.0,1786288085.750582,3,2.0712,0.1081,,0.671,0.0359,0.252,NOMINAL,NOMINAL,STALE,0,
1641792600.0,1786288085.875317,3,1.9397,0.1074,,0.617,0.0343,0.247,NOMINAL,NOMINAL,STALE,0,
1641793500.0,1786288086.0004852,3,1.9636,0.1072,,0.741,0.0379,0.268,NOMINAL,NOMINAL,STALE,0,
1641794400.0,1786288086.1252635,3,1.8895,0.1052,,0.613,0.0344,0.276,NOMINAL,NOMINAL,STALE,0,
1641795300.0,1786288086.2502854,3,1.9451,0.104,,0.636,0.0346,0.243,NOMINAL,NOMINAL,STALE,0,
1641796200.0,1786288086.3755853,3,1.9951,0.1055,,0.73,0.0408,0.275,NOMINAL,NOMINAL,STALE,0,
1641797100.0,1786288086.500588,3,2.0568,0.1064,,0.664,0.0371,0.27,NOMINAL,NOMINAL,STALE,0,
1641798000.0,1786288086.62553,3,2.0618,0.108,,0.647,0.0384,0.276,NOMINAL,NOMINAL,STALE,0,
1641798900.0,1786288086.7505813,3,2.0483,0.1067,,0.656,0.0379,0.288,NOMINAL,NOMINAL,STALE,0,
1641799800.0,1786288086.875211,3,1.9022,0.1047,,0.611,0.033,0.246,NOMINAL,NOMINAL,STALE,0,
1641800700.0,1786288087.0002646,3,1.8896,0.1054,,0.629,0.0341,0.279,NOMINAL,NOMINAL,STALE,0,
1641801600.0,1786288087.1252158,3,1.878,0.1044,,0.584,0.0334,0.25,NOMINAL,NOMINAL,STALE,0,
1641802500.0,1786288087.250348,3,1.9876,0.1059,,0.63,0.0322,0.239,NOMINAL,NOMINAL,STALE,0,
1641803400.0,1786288087.3757443,3,2.0861,0.1072,,0.767,0.0386,0.28,NOMINAL,NOMINAL,STALE,0,
1641804300.0,1786288087.500583,3,2.0804,0.1091,,0.627,0.038,0.258,NOMINAL,NOMINAL,STALE,0,
1641805200.0,1786288087.6259465,3,2.2307,0.1083,,0.785,0.0401,0.282,NOMINAL,NOMINAL,STALE,0,
1641806100.0,1786288087.750773,3,2.1595,0.1093,,0.709,0.0397,0.27,NOMINAL,NOMINAL,STALE,0,
1641807000.0,1786288087.8753653,3,1.951,0.1047,,0.635,0.0359,0.252,NOMINAL,NOMINAL,STALE,0,
