phys_ts,ai_pub_wall_ts,ap_state,status,alert_transport_ms,preproc_ms,infer_ms,activation_total_ms,per_model_ms,n_models,p_event,y_pred
1705111200.0,1786288350.668983,PRE_ALERT,INSUFFICIENT_DATA,0.498,0.0079,0.0,0.0691,[],1,,
1705117500.0,1786288351.5485764,PRE_ALERT,OK,0.627,0.6175,3.6214,4.3067,[3.235],1,0.2254319190979004,0
1705133700.0,1786288353.7976882,PRE_ALERT,OK,0.533,0.4216,3.3291,3.8145,[3.0351],1,0.17543095350265503,0
1705145400.0,1786288355.422704,PRE_ALERT,OK,0.528,0.4024,3.2875,3.7532,[3.0004],1,0.2509273886680603,0
1705151700.0,1786288356.2977815,PRE_ALERT,OK,0.632,0.4857,3.3355,3.8907,[3.035],1,0.1993609070777893,0
1705184100.0,1786288360.79776,PRE_ALERT,OK,0.681,0.3994,3.2486,3.7202,[2.9535],1,0.16853392124176025,0
1705190400.0,1786288361.67406,PRE_ALERT,OK,0.674,0.3977,3.2298,3.6971,[2.9364],1,0.19571352005004883,0
1705196700.0,1786288362.5482314,PRE_ALERT,OK,0.651,0.4026,3.3911,3.8844,[3.1006],1,0.18951624631881714,0
1705224600.0,1786288366.4223907,PRE_ALERT,OK,0.542,0.3964,3.2553,3.7201,[2.9707],1,0.1856701374053955,0
1705230900.0,1786288367.2975311,PRE_ALERT,OK,0.57,0.3956,3.2192,3.6851,[2.9325],1,0.17879122495651245,0
1705237200.0,1786288368.1724458,PRE_ALERT,OK,0.416,0.4032,3.398,3.8682,[3.0579],1,0.17984318733215332,0
1705242600.0,1786288368.9228125,PRE_ALERT,OK,0.514,0.6768,3.2821,4.0273,[2.977],1,0.18230396509170532,0
1705269600.0,1786288372.672589,PRE_ALERT,OK,0.492,0.4075,3.3353,3.8092,[3.036],1,0.2597096562385559,0
1705275900.0,1786288373.54783,PRE_ALERT,OK,0.664,0.4488,3.2863,3.8001,[2.9808],1,0.1860949993133545,0
1705281300.0,1786288374.297801,PRE_ALERT,OK,0.721,0.4021,3.1889,3.663,[2.891],1,0.18700236082077026,0
1705287600.0,1786288375.1724749,PRE_ALERT,OK,0.546,0.3984,3.1518,3.6205,[2.8327],1,0.2803477644920349,0
1705310100.0,1786288378.2974348,PRE_ALERT,OK,0.427,0.3992,3.2588,3.7286,[2.9672],1,0.380082368850708,0
1705321800.0,1786288379.9224894,PRE_ALERT,OK,0.475,0.3953,3.1924,3.6537,[2.9079],1,0.4192127585411072,0
1705328100.0,1786288380.7973456,PRE_ALERT,OK,0.448,0.397,3.2546,3.7196,[2.9683],1,0.19264262914657593,0
1705360500.0,1786288385.297336,PRE_ALERT,OK,0.469,0.4028,3.1978,3.6707,[2.9078],1,0.2137918472290039,0
1705366800.0,1786288386.1721976,PRE_ALERT,OK,0.491,0.4032,3.1147,3.5867,[2.8301],1,0.36266040802001953,0
1705373100.0,1786288387.0472364,PRE_ALERT,OK,0.391,0.4044,3.2584,3.7311,[2.9696],1,0.2109944224357605,0
1705401000.0,1786288390.9225085,PRE_ALERT,OK,0.485,0.4024,3.238,3.7093,[2.9461],1,0.2675773501396179,0
1705407300.0,1786288391.7973468,PRE_ALERT,OK,0.483,0.4114,3.2481,3.729,[2.9558],1,0.18372869491577148,0
1705419000.0,1786288393.4230957,PRE_ALERT,OK,0.408,0.4023,3.2282,3.7005,[2.9341],1,0.18175017833709717,0
1705439700.0,1786288396.2974272,PRE_ALERT,OK,0.524,0.4087,3.3517,3.8253,[3.0582],1,0.16342765092849731,0
1705446000.0,1786288397.1727145,PRE_ALERT,OK,0.713,0.405,3.2594,3.7282,[2.9721],1,0.2400524616241455,0
1705452300.0,1786288398.047959,PRE_ALERT,OK,0.725,0.4062,3.2319,3.7008,[2.9472],1,0.1806122064590454,0
1705457700.0,1786288398.7977178,PRE_ALERT,OK,0.578,0.4061,3.3357,3.807,[3.0461],1,0.18567752838134766,0
1705464000.0,1786288399.6728394,PRE_ALERT,OK,0.651,0.4074,3.2886,3.7628,[2.997],1,0.219465434551239,0
1705480200.0,1786288401.9226902,PRE_ALERT,OK,0.531,0.4025,3.3329,3.8,[3.0424],1,0.19379115104675293,0
1705486500.0,1786288402.7978544,PRE_ALERT,OK,0.64,0.4063,3.2309,3.7022,[2.9414],1,0.19114559888839722,0
1705491900.0,1786288403.547842,PRE_ALERT,OK,0.535,0.4308,3.2304,3.727,[2.9419],1,0.292417049407959,0
1705498200.0,1786288404.4225345,PRE_ALERT,OK,0.493,0.4023,3.286,3.7537,[3.0023],1,0.22711706161499023,0
1705504500.0,1786288405.297411,PRE_ALERT,OK,0.497,0.4101,3.2726,3.7487,[2.986],1,0.19987356662750244,0
1705536900.0,1786288409.7981555,PRE_ALERT,OK,0.932,0.516,3.1607,3.7432,[2.872],1,0.17506223917007446,0
1705543200.0,1786288410.6724238,PRE_ALERT,OK,0.523,0.4064,3.237,3.7073,[2.9262],1,0.1873813271522522,0
1705549500.0,1786288411.5475,PRE_ALERT,OK,0.517,0.4059,3.2902,3.7598,[3.0031],1,0.22826290130615234,0
1705577400.0,1786288415.4227705,PRE_ALERT,OK,0.523,0.3986,3.2252,3.6913,[2.9379],1,0.2496732473373413,0
1705583700.0,1786288416.2974102,PRE_ALERT,OK,0.466,0.4041,3.1739,3.6453,[2.8927],1,0.1834731101989746,0
1705616100.0,1786288420.797388,PRE_ALERT,OK,0.422,0.4003,3.1873,3.6567,[2.9031],1,0.17286241054534912,0
1705622400.0,1786288421.6739788,PRE_ALERT,OK,0.335,0.3985,3.207,3.6773,[2.9194],1,0.1845758557319641,0
1705628700.0,1786288422.5477319,PRE_ALERT,OK,0.416,0.4225,3.1717,3.6622,[2.8906],1,0.18801867961883545,0
1705634100.0,1786288423.2976837,PRE_ALERT,OK,0.432,0.4006,3.2087,3.6775,[2.9268],1,0.20093685388565063,0
1705656600.0,1786288426.4221013,PRE_ALERT,OK,0.361,0.3987,3.1653,3.6387,[2.8801],1,0.22279328107833862,0
1705662900.0,1786288427.2971473,PRE_ALERT,OK,0.363,0.3989,3.1825,3.6529,[2.8979],1,0.19459909200668335,0
