phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1705017600.0,1786288337.6694226,3,2.3392,0.11,0.0617,1.09,0.044,0.378,NOMINAL,NOMINAL,STALE,0,
1705018500.0,1786288337.7929854,3,2.0938,0.113,,0.605,0.0371,0.294,NOMINAL,NOMINAL,STALE,0,
1705019400.0,1786288337.9178061,3,2.0063,0.1076,,0.613,0.0306,0.268,NOMINAL,NOMINAL,STALE,0,
1705020300.0,1786288338.0430207,3,2.0894,0.1082,,0.685,0.0331,0.299,NOMINAL,NOMINAL,STALE,0,
1705021200.0,1786288338.1679442,3,1.9921,0.1078,,0.661,0.034,0.302,NOMINAL,NOMINAL,STALE,0,
1705022100.0,1786288338.2934694,3,2.1996,0.1101,,0.746,0.0366,0.325,NOMINAL,NOMINAL,STALE,0,
1705023000.0,1786288338.4190712,3,2.412,0.1183,,0.952,0.0412,0.357,NOMINAL,NOMINAL,STALE,0,
1705023900.0,1786288338.543488,3,2.3004,0.1138,,0.743,0.0368,0.28,NOMINAL,NOMINAL,STALE,0,
1705024800.0,1786288338.6683407,3,2.1951,0.1108,,0.731,0.0606,0.322,NOMINAL,NOMINAL,STALE,0,
1705025700.0,1786288338.792973,3,2.1149,0.1098,,0.556,0.0321,0.281,NOMINAL,NOMINAL,STALE,0,
1705026600.0,1786288338.9189062,3,2.4021,0.1152,,0.809,0.0405,0.314,NOMINAL,NOMINAL,STALE,0,
1705027500.0,1786288339.0430028,3,2.1111,0.1084,,0.678,0.0351,0.268,NOMINAL,NOMINAL,STALE,0,
1705028400.0,1786288339.1679049,3,2.0507,0.1082,,0.641,0.0309,0.256,NOMINAL,NOMINAL,STALE,0,
1705029300.0,1786288339.293188,3,2.1219,0.146,,0.682,0.0339,0.269,NOMINAL,NOMINAL,STALE,0,
1705030200.0,1786288339.4181833,3,2.1462,0.1092,,0.686,0.0331,0.263,NOMINAL,NOMINAL,STALE,0,
1705031100.0,1786288339.5430994,3,2.0951,0.109,,0.669,0.0333,0.259,NOMINAL,NOMINAL,STALE,0,
1705032000.0,1786288339.6680195,3,2.0811,0.1103,,0.682,0.0322,0.259,NOMINAL,NOMINAL,STALE,0,
1705032900.0,1786288339.7927532,3,1.9892,0.1074,,0.569,0.0306,0.254,NOMINAL,NOMINAL,STALE,0,
1705033800.0,1786288339.9177885,3,1.962,0.107,,0.625,0.0289,0.249,NOMINAL,NOMINAL,STALE,0,
1705034700.0,1786288340.0427752,3,1.9618,0.108,,0.666,0.0298,0.251,NOMINAL,NOMINAL,STALE,0,
