phys_ts,n_channels,zbuf_update_ms
1705017600.0,3,0.00784
1705018500.0,3,0.00608
1705019400.0,3,0.00451
1705020300.0,3,0.00429
1705021200.0,3,0.00506
1705022100.0,3,0.00656
1705023000.0,3,0.0079
1705023900.0,3,0.00694
1705024800.0,3,0.00685
1705025700.0,3,0.00339
1705026600.0,3,0.00733
1705027500.0,3,0.00573
1705028400.0,3,0.00518
1705029300.0,3,0.00547
1705030200.0,3,0.0057
1705031100.0,3,0.00502
1705032000.0,3,0.00512
1705032900.0,3,0.00435
1705033800.0,3,0.00432
1705034700.0,3,0.00506
1705035600.0,3,0.00477
1705036500.0,3,0.00544
1705037400.0,3,0.0065
1705038300.0,3,0.00614
1705039200.0,3,0.00621
1705040100.0,3,0.00566
1705041000.0,3,0.00467
1705041900.0,3,0.00454
1705042800.0,3,0.00435
1705043700.0,3,0.00477
1705044600.0,3,0.00662
1705045500.0,3,0.00573
1705046400.0,3,0.00531
1705047300.0,3,0.0032
1705048200.0,3,0.00346
1705049100.0,3,0.00333
1705050000.0,3,0.00534
1705050900.0,3,0.00483
1705051800.0,3,0.00682
1705052700.0,3,0.00727
1705053600.0,3,0.00602
1705054500.0,3,0.0065
1705055400.0,3,0.00518
1705056300.0,3,0.00579
1705057200.0,3,0.00531
1705058100.0,3,0.00474
1705059000.0,3,0.00694
1705059900.0,3,0.00666
1705060800.0,3,0.00531
1705061700.0,3,0.00467
1705062600.0,3,0.00461
1705063500.0,3,0.00448
1705064400.0,3,0.00458
1705065300.0,3,0.00467
1705066200.0,3,0.00573
1705067100.0,3,0.00557
1705068000.0,3,0.00547
1705068900.0,3,0.00566
1705069800.0,3,0.00515
1705070700.0,3,0.00538
1705071600.0,3,0.00438
1705072500.0,3,0.00381
1705073400.0,3,0.00624
1705074300.0,3,0.00595
1705075200.0,3,0.00637
1705076100.0,3,0.00531
1705077000.0,3,0.00438
1705077900.0,3,0.00487
1705078800.0,3,0.00534
1705079700.0,3,0.00528
1705080600.0,3,0.00576
1705081500.0,3,0.00547
1705082400.0,3,0.0057
1705083300.0,3,0.00541
1705084200.0,3,0.00419
1705085100.0,3,0.00486
1705086000.0,3,0.00522
1705086900.0,3,0.00579
1705087800.0,3,0.00678
1705088700.0,3,0.00656
1705089600.0,3,0.00691
1705090500.0,3,0.00538
1705091400.0,3,0.00515
1705092300.0,3,0.00582
1705093200.0,3,0.00538
1705094100.0,3,0.00557
1705095000.0,3,0.00691
1705095900.0,3,0.00726
1705096800.0,3,0.00554
1705097700.0,3,0.00531
1705098600.0,3,0.00486
1705099500.0,3,0.00461
1705100400.0,3,0.00582
1705101300.0,3,0.00493
1705102200.0,3,0.00531
1705103100.0,3,0.00611
1705104000.0,3,0.0089
1705104900.0,3,0.00938
1705105800.0,3,0.0087
1705106700.0,3,0.00835
1705107600.0,3,0.00832
1705108500.0,3,0.00851
1705109400.0,3,0.00976
1705110300.0,3,0.01027
1705111200.0,3,0.01037
1705112100.0,3,0.00826
1705113000.0,3,0.00816
1705113900.0,3,0.00842
1705114800.0,3,0.00768
1705115700.0,3,0.00819
1705116600.0,3,0.01018
1705117500.0,3,0.01107
1705118400.0,3,0.01059
1705119300.0,3,0.01011
1705120200.0,3,0.00883
1705121100.0,3,0.0087
1705122000.0,3,0.01158
1705122900.0,3,0.01075
1705123800.0,3,0.01178
1705124700.0,3,0.01149
1705125600.0,3,0.01056
1705126500.0,3,0.00954
1705127400.0,3,0.00992
1705128300.0,3,0.00886
1705129200.0,3,0.0089
1705130100.0,3,0.00922
1705131000.0,3,0.01267
1705131900.0,3,0.01011
1705132800.0,3,0.01296
1705133700.0,3,0.00963
1705134600.0,3,0.00845
1705135500.0,3,0.00755
1705136400.0,3,0.00867
1705137300.0,3,0.00922
1705138200.0,3,0.00704
1705139100.0,3,0.00963
1705140000.0,3,0.01149
1705140900.0,3,0.01082
1705141800.0,3,0.00973
1705142700.0,3,0.0088
1705143600.0,3,0.01005
1705144500.0,3,0.00912
1705145400.0,3,0.00934
1705146300.0,3,0.0097
1705147200.0,3,0.01261
1705148100.0,3,0.00947
1705149000.0,3,0.00832
1705149900.0,3,0.00867
1705150800.0,3,0.00726
1705151700.0,3,0.01011
1705152600.0,3,0.01002
1705153500.0,3,0.01043
1705154400.0,3,0.01043
1705155300.0,3,0.00986
1705156200.0,3,0.00755
1705157100.0,3,0.008
1705158000.0,3,0.00864
1705158900.0,3,0.00774
1705159800.0,3,0.01158
1705160700.0,3,0.0119
1705161600.0,3,0.01194
1705162500.0,3,0.01111
1705163400.0,3,0.00931
1705164300.0,3,0.00867
1705165200.0,3,0.01059
1705166100.0,3,0.0095
1705167000.0,3,0.01299
1705167900.0,3,0.01027
1705168800.0,3,0.02918
1705169700.0,3,0.01091
1705170600.0,3,0.00867
1705171500.0,3,0.00829
1705172400.0,3,0.00938
1705173300.0,3,0.00726
1705174200.0,3,0.00803
1705175100.0,3,0.00912
1705176000.0,3,0.00826
1705176900.0,3,0.00947
1705177800.0,3,0.00838
1705178700.0,3,0.00963
1705179600.0,3,0.00902
1705180500.0,3,0.00749
1705181400.0,3,0.0087
1705182300.0,3,0.00778
1705183200.0,3,0.00861
1705184100.0,3,0.01005
1705185000.0,3,0.00931
1705185900.0,3,0.00838
1705186800.0,3,0.00877
1705187700.0,3,0.00912
1705188600.0,3,0.00794
1705189500.0,3,0.00848
1705190400.0,3,0.0089
1705191300.0,3,0.01168
1705192200.0,3,0.00979
1705193100.0,3,0.00832
1705194000.0,3,0.00941
1705194900.0,3,0.00877
1705195800.0,3,0.01155
1705196700.0,3,0.01088
1705197600.0,3,0.01014
1705198500.0,3,0.00957
1705199400.0,3,0.00941
1705200300.0,3,0.00848
1705201200.0,3,0.00915
1705202100.0,3,0.00829
1705203000.0,3,0.01283
1705203900.0,3,0.01078
1705204800.0,3,0.00829
1705205700.0,3,0.01091
1705206600.0,3,0.01069
1705207500.0,3,0.00934
1705208400.0,3,0.00925
1705209300.0,3,0.00835
1705210200.0,3,0.00851
1705211100.0,3,0.00918
1705212000.0,3,0.00899
1705212900.0,3,0.00954
1705213800.0,3,0.01021
1705214700.0,3,0.00797
1705215600.0,3,0.00986
1705216500.0,3,0.00845
1705217400.0,3,0.00896
1705218300.0,3,0.0088
1705219200.0,3,0.00854
1705220100.0,3,0.00829
1705221000.0,3,0.00874
1705221900.0,3,0.00765
1705222800.0,3,0.00874
1705223700.0,3,0.00822
1705224600.0,3,0.00768
1705225500.0,3,0.00989
1705226400.0,3,0.00822
1705227300.0,3,0.0081
1705228200.0,3,0.00934
1705229100.0,3,0.00755
1705230000.0,3,0.00832
1705230900.0,3,0.00835
1705231800.0,3,0.01338
1705232700.0,3,0.01018
1705233600.0,3,0.00992
1705234500.0,3,0.01082
1705235400.0,3,0.00992
1705236300.0,3,0.00947
1705237200.0,3,0.00867
1705238100.0,3,0.01181
1705239000.0,3,0.01261
1705239900.0,3,0.01139
1705240800.0,3,0.01114
1705241700.0,3,0.01069
1705242600.0,3,0.01031
1705243500.0,3,0.01123
1705244400.0,3,0.01043
1705245300.0,3,0.00966
1705246200.0,3,0.01072
1705247100.0,3,0.00982
1705248000.0,3,0.02842
1705248900.0,3,0.00944
1705249800.0,3,0.00979
1705250700.0,3,0.01037
1705251600.0,3,0.02656
1705252500.0,3,0.00989
1705253400.0,3,0.01066
1705254300.0,3,0.00893
1705255200.0,3,0.00845
1705256100.0,3,0.00918
1705257000.0,3,0.0088
1705257900.0,3,0.01078
1705258800.0,3,0.00979
1705259700.0,3,0.01002
1705260600.0,3,0.01027
1705261500.0,3,0.00976
1705262400.0,3,0.01005
1705263300.0,3,0.00816
1705264200.0,3,0.0095
1705265100.0,3,0.01021
1705266000.0,3,0.0087
1705266900.0,3,0.00966
1705267800.0,3,0.01155
1705268700.0,3,0.01053
1705269600.0,3,0.00989
1705270500.0,3,0.01053
1705271400.0,3,0.00861
1705272300.0,3,0.00893
1705273200.0,3,0.0095
1705274100.0,3,0.00909
1705275000.0,3,0.01258
1705275900.0,3,0.01037
1705276800.0,3,0.01053
1705277700.0,3,0.00947
1705278600.0,3,0.00928
1705279500.0,3,0.0088
1705280400.0,3,0.01235
1705281300.0,3,0.0113
1705282200.0,3,0.00963
1705283100.0,3,0.008
1705284000.0,3,0.00906
1705284900.0,3,0.00928
1705285800.0,3,0.00746
1705286700.0,3,0.00589
1705287600.0,3,0.00861
1705288500.0,3,0.00896
1705289400.0,3,0.00759
1705290300.0,3,0.0063
1705291200.0,3,0.00746
1705292100.0,3,0.00733
1705293000.0,3,0.00698
1705293900.0,3,0.00576
1705294800.0,3,0.00963
1705295700.0,3,0.00848
1705296600.0,3,0.00765
1705297500.0,3,0.00662
1705298400.0,3,0.00794
1705299300.0,3,0.00848
1705300200.0,3,0.00742
1705301100.0,3,0.00502
1705302000.0,3,0.02941
1705302900.0,3,0.008
1705303800.0,3,0.0104
1705304700.0,3,0.00774
1705305600.0,3,0.00982
1705306500.0,3,0.0089
1705307400.0,3,0.00787
1705308300.0,3,0.00595
1705309200.0,3,0.00877
1705310100.0,3,0.00742
1705311000.0,3,0.01008
1705311900.0,3,0.00605
1705312800.0,3,0.00938
1705313700.0,3,0.00854
1705314600.0,3,0.0073
1705315500.0,3,0.00589
1705316400.0,3,0.00621
1705317300.0,3,0.00973
1705318200.0,3,0.00694
1705319100.0,3,0.00493
1705320000.0,3,0.00784
1705320900.0,3,0.00935
1705321800.0,3,0.00669
1705322700.0,3,0.01178
1705323600.0,3,0.00662
1705324500.0,3,0.00989
1705325400.0,3,0.00615
1705326300.0,3,0.00397
1705327200.0,3,0.00688
1705328100.0,3,0.00765
1705329000.0,3,0.0073
1705329900.0,3,0.00573
1705330800.0,3,0.0049
1705331700.0,3,0.00797
1705332600.0,3,0.00579
1705333500.0,3,0.00627
1705334400.0,3,0.00736
1705335300.0,3,0.00771
1705336200.0,3,0.00678
1705337100.0,3,0.00522
1705338000.0,3,0.00618
1705338900.0,3,0.00698
1705339800.0,3,0.00867
1705340700.0,3,0.0055
1705341600.0,3,0.00752
1705342500.0,3,0.00698
1705343400.0,3,0.00694
1705344300.0,3,0.00576
1705345200.0,3,0.00554
1705346100.0,3,0.00794
1705347000.0,3,0.0112
1705347900.0,3,0.0057
1705348800.0,3,0.00701
1705349700.0,3,0.00742
1705350600.0,3,0.00742
1705351500.0,3,0.00621
1705352400.0,3,0.00573
1705353300.0,3,0.0079
1705354200.0,3,0.00768
1705355100.0,3,0.00483
1705356000.0,3,0.00637
1705356900.0,3,0.00787
1705357800.0,3,0.00688
1705358700.0,3,0.00563
1705359600.0,3,0.00598
1705360500.0,3,0.00711
1705361400.0,3,0.00886
1705362300.0,3,0.00602
1705363200.0,3,0.00672
1705364100.0,3,0.00774
1705365000.0,3,0.00867
1705365900.0,3,0.00557
1705366800.0,3,0.00544
1705367700.0,3,0.00707
1705368600.0,3,0.00691
1705369500.0,3,0.0047
1705370400.0,3,0.00582
1705371300.0,3,0.0064
1705372200.0,3,0.00733
1705373100.0,3,0.00538
1705374000.0,3,0.00621
1705374900.0,3,0.00752
1705375800.0,3,0.01082
1705376700.0,3,0.00768
1705377600.0,3,0.00797
1705378500.0,3,0.00826
1705379400.0,3,0.00707
1705380300.0,3,0.00576
1705381200.0,3,0.00531
1705382100.0,3,0.00682
1705383000.0,3,0.00822
1705383900.0,3,0.00627
1705384800.0,3,0.00733
1705385700.0,3,0.00691
1705386600.0,3,0.00787
1705387500.0,3,0.00589
1705388400.0,3,0.00442
1705389300.0,3,0.00682
1705390200.0,3,0.00557
1705391100.0,3,0.00778
1705392000.0,3,0.00829
1705392900.0,3,0.0065
1705393800.0,3,0.0072
1705394700.0,3,0.00515
1705395600.0,3,0.00995
1705396500.0,3,0.00838
1705397400.0,3,0.00634
1705398300.0,3,0.00813
1705399200.0,3,0.00666
1705400100.0,3,0.00698
1705401000.0,3,0.00691
1705401900.0,3,0.00682
1705402800.0,3,0.00602
1705403700.0,3,0.00688
1705404600.0,3,0.00589
1705405500.0,3,0.00675
1705406400.0,3,0.00678
1705407300.0,3,0.00778
1705408200.0,3,0.00778
1705409100.0,3,0.00624
1705410000.0,3,0.00637
1705410900.0,3,0.00736
1705411800.0,3,0.00819
1705412700.0,3,0.00861
1705413600.0,3,0.00771
1705414500.0,3,0.00694
1705415400.0,3,0.00774
1705416300.0,3,0.00672
1705417200.0,3,0.00576
1705418100.0,3,0.0073
1705419000.0,3,0.00733
1705419900.0,3,0.00778
1705420800.0,3,0.00746
1705421700.0,3,0.00714
1705422600.0,3,0.00678
1705423500.0,3,0.00746
1705424400.0,3,0.00656
1705425300.0,3,0.00765
1705426200.0,3,0.00752
1705427100.0,3,0.00842
1705428000.0,3,0.00736
1705428900.0,3,0.00787
1705429800.0,3,0.0088
1705430700.0,3,0.00819
1705431600.0,3,0.00893
1705432500.0,3,0.00931
1705433400.0,3,0.00931
1705434300.0,3,0.00851
1705435200.0,3,0.00918
1705436100.0,3,0.00915
1705437000.0,3,0.0081
1705437900.0,3,0.00822
1705438800.0,3,0.00765
1705439700.0,3,0.00803
1705440600.0,3,0.0079
1705441500.0,3,0.00867
1705442400.0,3,0.00871
1705443300.0,3,0.0096
1705444200.0,3,0.0087
1705445100.0,3,0.00938
1705446000.0,3,0.0081
1705446900.0,3,0.0088
1705447800.0,3,0.01155
1705448700.0,3,0.01053
1705449600.0,3,0.00989
1705450500.0,3,0.01027
1705451400.0,3,0.00982
1705452300.0,3,0.01059
1705453200.0,3,0.00813
1705454100.0,3,0.00784
1705455000.0,3,0.01059
1705455900.0,3,0.00931
1705456800.0,3,0.00947
1705457700.0,3,0.00995
1705458600.0,3,0.00851
1705459500.0,3,0.00858
1705460400.0,3,0.00752
1705461300.0,3,0.00749
1705462200.0,3,0.00819
1705463100.0,3,0.00797
1705464000.0,3,0.00838
1705464900.0,3,0.00838
1705465800.0,3,0.00963
1705466700.0,3,0.00934
1705467600.0,3,0.00832
1705468500.0,3,0.00861
1705469400.0,3,0.01053
1705470300.0,3,0.00928
1705471200.0,3,0.00902
1705472100.0,3,0.01011
1705473000.0,3,0.01072
1705473900.0,3,0.00877
1705474800.0,3,0.00806
1705475700.0,3,0.00726
1705476600.0,3,0.00758
1705477500.0,3,0.00867
1705478400.0,3,0.00822
1705479300.0,3,0.00966
1705480200.0,3,0.00864
1705481100.0,3,0.00794
1705482000.0,3,0.00966
1705482900.0,3,0.00787
1705483800.0,3,0.01136
1705484700.0,3,0.00989
1705485600.0,3,0.00762
1705486500.0,3,0.0097
1705487400.0,3,0.00829
1705488300.0,3,0.00784
1705489200.0,3,0.00752
1705490100.0,3,0.00806
1705491000.0,3,0.01037
1705491900.0,3,0.00874
1705492800.0,3,0.0081
1705493700.0,3,0.01018
1705494600.0,3,0.00896
1705495500.0,3,0.00861
1705496400.0,3,0.00797
1705497300.0,3,0.0073
1705498200.0,3,0.00707
1705499100.0,3,0.00752
1705500000.0,3,0.00829
1705500900.0,3,0.00794
1705501800.0,3,0.00838
1705502700.0,3,0.00813
1705503600.0,3,0.00742
1705504500.0,3,0.00829
1705505400.0,3,0.00992
1705506300.0,3,0.00755
1705507200.0,3,0.00749
1705508100.0,3,0.00768
1705509000.0,3,0.00906
1705509900.0,3,0.0081
1705510800.0,3,0.00771
1705511700.0,3,0.00765
1705512600.0,3,0.00768
1705513500.0,3,0.0072
1705514400.0,3,0.0073
1705515300.0,3,0.008
1705516200.0,3,0.00899
1705517100.0,3,0.00807
1705518000.0,3,0.008
1705518900.0,3,0.00851
1705519800.0,3,0.01101
1705520700.0,3,0.00874
1705521600.0,3,0.00826
1705522500.0,3,0.00787
1705523400.0,3,0.00787
1705524300.0,3,0.00733
1705525200.0,3,0.00759
1705526100.0,3,0.00739
1705527000.0,3,0.01136
1705527900.0,3,0.00794
1705528800.0,3,0.00854
1705529700.0,3,0.00787
1705530600.0,3,0.0089
1705531500.0,3,0.00874
1705532400.0,3,0.00867
1705533300.0,3,0.00797
1705534200.0,3,0.00877
1705535100.0,3,0.00854
1705536000.0,3,0.00829
1705536900.0,3,0.00893
1705537800.0,3,0.00822
1705538700.0,3,0.00861
1705539600.0,3,0.00919
1705540500.0,3,0.00842
1705541400.0,3,0.00877
1705542300.0,3,0.00784
1705543200.0,3,0.00819
1705544100.0,3,0.00931
1705545000.0,3,0.00797
1705545900.0,3,0.00963
1705546800.0,3,0.00973
1705547700.0,3,0.00851
1705548600.0,3,0.00832
1705549500.0,3,0.00902
1705550400.0,3,0.00819
1705551300.0,3,0.00925
1705552200.0,3,0.00826
1705553100.0,3,0.00986
1705554000.0,3,0.00851
1705554900.0,3,0.00861
1705555800.0,3,0.01136
1705556700.0,3,0.00685
1705557600.0,3,0.00749
1705558500.0,3,0.00806
1705559400.0,3,0.00691
1705560300.0,3,0.00893
1705561200.0,3,0.00752
1705562100.0,3,0.00694
1705563000.0,3,0.01011
1705563900.0,3,0.00694
1705564800.0,3,0.00749
1705565700.0,3,0.00848
1705566600.0,3,0.00765
1705567500.0,3,0.00922
1705568400.0,3,0.008
1705569300.0,3,0.00662
1705570200.0,3,0.00685
