phys_ts,ai_pub_wall_ts,ap_state,status,alert_transport_ms,preproc_ms,infer_ms,activation_total_ms,per_model_ms,n_models,p_event,y_pred
1647653400.0,1786288604.4702928,PRE_ALERT,INSUFFICIENT_DATA,0.795,0.0082,0.0,0.0661,[],1,,
1647658800.0,1786288605.219636,PRE_ALERT,INSUFFICIENT_DATA,0.671,0.0058,0.0,0.0593,[],1,,
1647817200.0,1786288627.2245352,PRE_ALERT,OK,0.77,0.883,3.8127,4.7791,[3.4228],1,0.2060496211051941,0
1647851400.0,1786288631.9727592,PRE_ALERT,OK,0.387,0.3976,3.114,3.5837,[2.8168],1,0.8106918483972549,1
1647857700.0,1786288632.8486178,PRE_ALERT,OK,0.547,0.4567,3.482,4.0117,[3.189],1,0.9763653203845024,1
1647869400.0,1786288634.4728062,PRE_ALERT,OK,0.571,0.3987,3.2368,3.7103,[2.9416],1,0.9767437819391489,1
1647875700.0,1786288635.3479197,PRE_ALERT,OK,0.501,0.4008,3.1379,3.6124,[2.8458],1,0.9544203020632267,1
1647914400.0,1786288640.7225935,PRE_ALERT,OK,0.473,0.4075,3.1714,3.652,[2.8817],1,0.37918150424957275,0
1647920700.0,1786288641.597692,PRE_ALERT,OK,0.624,0.4097,3.1417,3.6222,[2.8548],1,0.2120201587677002,0
1647936900.0,1786288643.8478165,PRE_ALERT,OK,0.657,0.4327,3.1569,3.6632,[2.8658],1,0.3588566780090332,0
1647939600.0,1786288644.2230694,PRE_ALERT,OK,0.594,0.3943,3.1153,3.5761,[2.8388],1,0.335984468460083,0
1647948600.0,1786288645.4730604,PRE_ALERT,OK,0.612,0.4057,3.1331,3.6114,[2.8401],1,0.24931687116622925,0
1647954900.0,1786288646.347955,PRE_ALERT,OK,0.588,0.4056,3.1062,3.5843,[2.8154],1,0.21126842498779297,0
1647987300.0,1786288650.8478909,PRE_ALERT,OK,0.608,0.408,3.1426,3.6173,[2.8404],1,0.18193846940994263,0
1647993600.0,1786288651.7257822,PRE_ALERT,OK,0.683,0.4065,3.2791,3.7584,[2.9709],1,0.20436209440231323,0
1647999900.0,1786288652.5986092,PRE_ALERT,OK,0.996,0.4168,3.15,3.6299,[2.8615],1,0.19556105136871338,0
1648027800.0,1786288656.4727983,PRE_ALERT,OK,0.463,0.406,3.1816,3.6521,[2.8858],1,0.2844621539115906,0
1648034100.0,1786288657.3478806,PRE_ALERT,OK,0.472,0.4085,3.14,3.6133,[2.8462],1,0.24436479806900024,0
1648039500.0,1786288658.0978532,PRE_ALERT,OK,0.552,0.4111,3.1958,3.6701,[2.9043],1,0.23197519779205322,0
1648045800.0,1786288658.9727793,PRE_ALERT,OK,0.463,0.4044,3.1699,3.6381,[2.8801],1,0.1877579689025879,0
1648079100.0,1786288663.5980968,PRE_ALERT,OK,0.555,0.404,3.2024,3.6715,[2.907],1,0.2229902148246765,0
1648084500.0,1786288664.347907,PRE_ALERT,OK,0.54,0.4048,3.1179,3.5855,[2.8283],1,0.1684856414794922,0
1648090800.0,1786288665.2229104,PRE_ALERT,OK,0.546,0.4067,3.3222,3.7915,[3.0313],1,0.19114172458648682,0
1648113300.0,1786288668.3478649,PRE_ALERT,OK,0.488,0.4146,3.1188,3.5967,[2.8194],1,0.26007258892059326,0
1648118700.0,1786288669.0982316,PRE_ALERT,OK,0.69,0.4139,3.1795,3.6602,[2.8846],1,0.27703940868377686,0
1648125000.0,1786288669.9726162,PRE_ALERT,OK,0.465,0.3989,3.1379,3.6085,[2.8466],1,0.2028728723526001,0
1648131300.0,1786288670.8476532,PRE_ALERT,OK,0.514,0.4281,3.0601,3.5556,[2.7785],1,0.20030099153518677,0
1648157400.0,1786288674.4733198,PRE_ALERT,OK,0.51,0.4228,3.3386,3.8349,[3.0372],1,0.18290728330612183,0
1648163700.0,1786288675.3478754,PRE_ALERT,OK,0.557,0.3986,3.0794,3.5465,[2.7934],1,0.18645119667053223,0
1648170000.0,1786288676.223343,PRE_ALERT,OK,0.503,0.397,3.1186,3.5862,[2.7988],1,0.22931718826293945,0
1648176300.0,1786288677.0979147,PRE_ALERT,OK,0.517,0.4175,3.2806,3.7709,[2.984],1,0.20772266387939453,0
1648204200.0,1786288680.972852,PRE_ALERT,OK,0.613,0.6628,3.2088,3.9445,[2.9156],1,0.21699851751327515,0
1648210500.0,1786288681.8480449,PRE_ALERT,OK,0.591,0.4065,3.168,3.649,[2.8677],1,0.21531301736831665,0
1648215900.0,1786288682.5980978,PRE_ALERT,OK,0.563,0.3993,3.2978,3.7705,[2.9999],1,0.21987289190292358,0
1648222200.0,1786288683.4727652,PRE_ALERT,OK,0.539,0.3986,3.128,3.6006,[2.8349],1,0.20341551303863525,0
1648242900.0,1786288686.347724,PRE_ALERT,OK,0.396,0.4274,3.168,3.6689,[2.8639],1,0.2734224796295166,0
1648249200.0,1786288687.2228189,PRE_ALERT,OK,0.453,0.4062,3.1584,3.6336,[2.8599],1,0.2220134139060974,0
1648260900.0,1786288688.8480039,PRE_ALERT,OK,0.471,0.6846,3.1062,3.8627,[2.8072],1,0.1700688600540161,0
1648267200.0,1786288689.7232747,PRE_ALERT,OK,0.471,0.6748,3.1051,3.8533,[2.809],1,0.1947590708732605,0
1648283400.0,1786288691.9730394,PRE_ALERT,OK,0.49,0.4008,3.376,3.8501,[3.0829],1,0.4617857336997986,0
1648289700.0,1786288692.8480654,PRE_ALERT,OK,0.415,0.4056,3.1362,3.6139,[2.8386],1,0.2500143051147461,0
1648295100.0,1786288693.5983298,PRE_ALERT,OK,0.555,0.4046,3.1128,3.5893,[2.8184],1,0.24800986051559448,0
1648301400.0,1786288694.4735537,PRE_ALERT,OK,1.143,0.4171,3.1117,3.5979,[2.8312],1,0.19289767742156982,0
1648333800.0,1786288698.9729495,PRE_ALERT,OK,0.441,0.6665,3.1404,3.8831,[2.8425],1,0.17792588472366333,0
1648340100.0,1786288699.847963,PRE_ALERT,OK,0.384,0.4,3.1257,3.5962,[2.8351],1,0.19078278541564941,0
1648346400.0,1786288700.7231398,PRE_ALERT,OK,0.422,0.41,3.1696,3.6509,[2.873],1,0.22593629360198975,0
1648374300.0,1786288704.5978181,PRE_ALERT,OK,0.469,0.4058,3.2016,3.6792,[2.9137],1,0.2722111940383911,0
1648380600.0,1786288705.4727032,PRE_ALERT,OK,0.437,0.3989,3.099,3.5681,[2.8154],1,0.22407454252243042,0
