phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1647561600.0,1786288591.7204697,3,2.5781,0.1118,0.0645,0.952,0.0459,0.375,NOMINAL,NOMINAL,STALE,0,
1647562500.0,1786288591.8440714,3,2.2747,0.1139,,0.713,0.0355,0.284,NOMINAL,NOMINAL,STALE,0,
1647563400.0,1786288591.968646,3,2.1383,0.1098,,0.635,0.0307,0.247,NOMINAL,NOMINAL,STALE,0,
1647564300.0,1786288592.0935566,3,2.1599,0.1083,,0.528,0.0309,0.281,NOMINAL,NOMINAL,STALE,0,
1647565200.0,1786288592.218745,3,2.1803,0.1109,,0.652,0.0341,0.256,NOMINAL,NOMINAL,STALE,0,
1647566100.0,1786288592.3433979,3,2.0968,0.109,,0.513,0.0277,0.219,NOMINAL,NOMINAL,STALE,0,
1647567000.0,1786288592.4682794,3,2.0194,0.1087,,0.485,0.0416,0.229,NOMINAL,NOMINAL,STALE,0,
1647567900.0,1786288592.5936499,3,2.1768,0.1095,,0.59,0.0292,0.23,NOMINAL,NOMINAL,STALE,0,
1647568800.0,1786288592.7193074,3,2.4005,0.1164,,0.717,0.0357,0.305,NOMINAL,NOMINAL,STALE,0,
1647569700.0,1786288592.8440259,3,2.3083,0.1118,,0.666,0.0336,0.289,NOMINAL,NOMINAL,STALE,0,
1647570600.0,1786288592.9687364,3,2.1823,0.11,,0.623,0.0309,0.244,NOMINAL,NOMINAL,STALE,0,
1647571500.0,1786288593.0935495,3,2.184,0.108,,0.534,0.0271,0.227,NOMINAL,NOMINAL,STALE,0,
1647572400.0,1786288593.218908,3,2.2703,0.1098,,0.661,0.0328,0.256,NOMINAL,NOMINAL,STALE,0,
1647573300.0,1786288593.3434954,3,2.1415,0.111,,0.527,0.0263,0.219,NOMINAL,NOMINAL,STALE,0,
1647574200.0,1786288593.4683657,3,2.0623,0.1057,,0.539,0.0242,0.207,NOMINAL,NOMINAL,STALE,0,
1647575100.0,1786288593.5934849,3,2.1275,0.1071,,0.542,0.0284,0.223,NOMINAL,NOMINAL,STALE,0,
1647576000.0,1786288593.7185068,3,2.1255,0.107,,0.561,0.0279,0.228,NOMINAL,NOMINAL,STALE,0,
1647576900.0,1786288593.8435822,3,2.096,0.1081,,0.599,0.0293,0.241,NOMINAL,NOMINAL,STALE,0,
1647577800.0,1786288593.9686239,3,2.0995,0.1085,,0.638,0.0324,0.263,NOMINAL,NOMINAL,STALE,0,
1647578700.0,1786288594.093617,3,2.2317,0.1084,,0.509,0.03,0.24,NOMINAL,NOMINAL,STALE,0,
1647579600.0,1786288594.2184737,3,2.173,0.1091,,0.492,0.0244,0.206,NOMINAL,NOMINAL,STALE,0,
1647580500.0,1786288594.3436747,3,2.1495,0.1079,,0.673,0.0331,0.247,NOMINAL,NOMINAL,STALE,0,
1647581400.0,1786288594.4683251,3,2.0685,0.1067,,0.472,0.0238,0.221,NOMINAL,NOMINAL,STALE,0,
1647582300.0,1786288594.5936735,3,2.2121,0.1101,,0.589,0.0308,0.234,NOMINAL,NOMINAL,STALE,0,
1647583200.0,1786288594.718754,3,2.2237,0.1111,,0.611,0.0318,0.249,NOMINAL,NOMINAL,STALE,0,
1647584100.0,1786288594.843878,3,2.1624,0.1088,,0.728,0.0714,0.294,NOMINAL,NOMINAL,STALE,0,
1647585000.0,1786288594.96884,3,2.1824,0.1107,,0.704,0.0348,0.259,NOMINAL,NOMINAL,STALE,0,
1647585900.0,1786288595.093569,3,2.1639,0.1111,,0.55,0.0302,0.26,NOMINAL,NOMINAL,STALE,0,
1647586800.0,1786288595.21848,3,2.113,0.1098,,0.551,0.0271,0.224,NOMINAL,NOMINAL,STALE,0,
1647587700.0,1786288595.3437102,3,2.1471,0.109,,0.672,0.0322,0.282,NOMINAL,NOMINAL,STALE,0,
1647588600.0,1786288595.4683442,3,2.0785,0.1059,,0.497,0.0245,0.207,NOMINAL,NOMINAL,STALE,0,
