timestamp,event,state,ap_state,nav_state,action_ms,e2e_ms,passive,ai_gate_mode
1786288892.4427102,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.916,,1,shadow
1786288893.191905,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.488,,1,shadow
1786288896.3176162,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.946,,1,shadow
1786288897.9432514,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.71,,1,shadow
1786288898.817172,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.613,,1,shadow
1786288904.1919806,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.525,,1,shadow
1786288905.0669355,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.514,,1,shadow
1786288908.9425688,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.769,,1,shadow
1786288909.8172863,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.636,,1,shadow
1786288910.6924949,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.679,,1,shadow
1786288915.1919382,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.54,,1,shadow
1786288916.0669289,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.48,,1,shadow
1786288920.8170145,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.576,,1,shadow
1786288922.4418108,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.459,,1,shadow
1786288923.3172297,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.478,,1,shadow
1786288927.0670419,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.495,,1,shadow
1786288928.6923811,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.658,,1,shadow
1786288929.5671725,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.631,,1,shadow
1786288933.4427776,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.61,,1,shadow
1786288934.3170612,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.551,,1,shadow
1786288939.6924186,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.764,,1,shadow
1786288940.5668995,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.432,,1,shadow
1786288944.4427874,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.554,,1,shadow
1786288945.3172066,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.581,,1,shadow
1786288946.9421554,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.508,,1,shadow
1786288950.6923735,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.734,,1,shadow
1786288951.5670183,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.539,,1,shadow
1786288952.3173048,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.605,,1,shadow
1786288953.1920176,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.591,,1,shadow
1786288957.9428027,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.1,,1,shadow
1786288958.8173654,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.644,,1,shadow
1786288963.3179038,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.765,,1,shadow
1786288964.192141,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.576,,1,shadow
1786288965.0671148,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.503,,1,shadow
1786288968.942015,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.48,,1,shadow
1786288969.8178036,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.182,,1,shadow
1786288971.441994,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.491,,1,shadow
1786288974.3172808,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.495,,1,shadow
1786288975.1922982,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.525,,1,shadow
1786288976.067078,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.532,,1,shadow
1786288976.816867,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.458,,1,shadow
1786288977.6919606,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.457,,1,shadow
1786288981.5672104,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.582,,1,shadow
1786288982.4423444,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.644,,1,shadow
1786288983.317972,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.818,,1,shadow
1786288987.8178542,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.614,,1,shadow
1786288988.692237,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.604,,1,shadow
1786288989.5675175,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.599,,1,shadow
1786288993.4429114,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.701,,1,shadow
