phys_ts,ai_pub_wall_ts,ap_state,status,alert_transport_ms,preproc_ms,infer_ms,activation_total_ms,per_model_ms,n_models,p_event,y_pred
1705111200.0,1786289149.1312795,PRE_ALERT,INSUFFICIENT_DATA,0.626,0.0072,0.0,0.0726,[],1,,
1705117500.0,1786289150.0104003,PRE_ALERT,OK,0.566,0.5292,3.4935,4.0962,[3.1714],1,0.116915762424469,0
1705145400.0,1786289153.8847597,PRE_ALERT,OK,0.687,0.3463,3.1946,3.6132,[2.8894],1,0.1335582733154297,0
1705151700.0,1786289154.7607,PRE_ALERT,OK,0.771,0.3572,3.2417,3.674,[2.9352],1,0.11948823928833008,0
1705190400.0,1786289160.1360679,PRE_ALERT,OK,0.609,0.3682,3.5029,3.9503,[3.1973],1,0.16850483417510986,0
1705196700.0,1786289161.010102,PRE_ALERT,OK,0.595,0.3409,3.3842,3.7986,[3.08],1,0.1375194787979126,0
1705224600.0,1786289164.8851821,PRE_ALERT,OK,0.591,0.3422,3.2937,3.7133,[2.9921],1,0.12907558679580688,0
1705230900.0,1786289165.760561,PRE_ALERT,OK,0.887,0.3399,3.2403,3.6565,[2.9065],1,0.10894674062728882,0
1705237200.0,1786289166.6352906,PRE_ALERT,OK,0.471,0.3386,3.4091,3.8216,[3.1049],1,0.12350296974182129,0
1705242600.0,1786289167.3849523,PRE_ALERT,OK,0.509,0.3529,3.286,3.7131,[2.997],1,0.1621224284172058,0
1705269600.0,1786289171.1348736,PRE_ALERT,OK,0.547,0.3378,3.2517,3.6617,[2.9558],1,0.2188001275062561,0
1705275900.0,1786289172.0097606,PRE_ALERT,OK,0.514,0.3404,3.2038,3.619,[2.9131],1,0.13863605260849,0
1705281300.0,1786289172.759852,PRE_ALERT,OK,0.534,0.3664,3.165,3.6003,[2.8793],1,0.17483919858932495,0
1705287600.0,1786289173.6349149,PRE_ALERT,OK,0.535,0.3409,3.258,3.6738,[2.9667],1,0.16640007495880127,0
1705321800.0,1786289178.384793,PRE_ALERT,OK,0.519,0.3421,3.2061,3.6278,[2.9031],1,0.20212364196777344,0
1705328100.0,1786289179.2597268,PRE_ALERT,OK,0.47,0.3649,3.1973,3.6336,[2.9036],1,0.12884396314620972,0
