phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1705021200.0,1786289136.630995,1,1.1,0.0557,,0.878,0.0344,0.338,NOMINAL,NOMINAL,STALE,0,
1705022100.0,1786289136.7555292,1,1.0662,0.0567,,0.613,0.0283,0.273,NOMINAL,NOMINAL,STALE,0,
1705023000.0,1786289136.8805854,1,1.0401,0.0554,,0.691,0.0292,0.294,NOMINAL,NOMINAL,STALE,0,
1705023900.0,1786289137.0057085,1,1.1298,0.0551,,0.715,0.0306,0.275,NOMINAL,NOMINAL,STALE,0,
1705024800.0,1786289137.130497,1,1.0512,0.0571,,0.558,0.0259,0.292,NOMINAL,NOMINAL,STALE,0,
1705025700.0,1786289137.2552922,1,0.9044,0.0504,,0.636,0.0272,0.288,NOMINAL,NOMINAL,STALE,0,
1705026600.0,1786289137.380452,1,1.0008,0.0516,,0.671,0.027,0.266,NOMINAL,NOMINAL,STALE,0,
1705027500.0,1786289137.505573,1,1.0579,0.0548,,0.683,0.0281,0.259,NOMINAL,NOMINAL,STALE,0,
1705028400.0,1786289137.630454,1,0.985,0.0529,,0.657,0.0272,0.254,NOMINAL,NOMINAL,STALE,0,
1705029300.0,1786289137.7553186,1,0.9878,0.0532,,0.572,0.0257,0.252,NOMINAL,NOMINAL,STALE,0,
1705030200.0,1786289137.8803883,1,0.9707,0.0541,,0.639,0.0267,0.264,NOMINAL,NOMINAL,STALE,0,
1705031100.0,1786289138.0058274,1,1.108,0.0555,,0.748,0.0293,0.325,NOMINAL,NOMINAL,STALE,0,
1705032000.0,1786289138.1303713,1,0.9769,0.0517,,0.552,0.0271,0.269,NOMINAL,NOMINAL,STALE,0,
1705032900.0,1786289138.2555568,1,1.0457,0.0552,,0.662,0.0284,0.271,NOMINAL,NOMINAL,STALE,0,
1705033800.0,1786289138.3804812,1,1.0045,0.0525,,0.67,0.0262,0.267,NOMINAL,NOMINAL,STALE,0,
