phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1647565200.0,1786289392.9653177,1,1.2765,0.0599,,1.088,0.0408,0.365,NOMINAL,NOMINAL,STALE,0,
1647566100.0,1786289393.0892296,1,1.0813,0.0585,,0.665,0.0273,0.288,NOMINAL,NOMINAL,STALE,0,
1647567000.0,1786289393.2141979,1,1.0862,0.0562,,0.655,0.0287,0.3,NOMINAL,NOMINAL,STALE,0,
1647567900.0,1786289393.3390436,1,1.0314,0.0555,,0.612,0.0268,0.302,NOMINAL,NOMINAL,STALE,0,
1647568800.0,1786289393.4640932,1,1.0073,0.0543,,0.644,0.0254,0.317,NOMINAL,NOMINAL,STALE,0,
1647569700.0,1786289393.5890388,1,0.9989,0.0532,,0.611,0.0266,0.279,NOMINAL,NOMINAL,STALE,0,
1647570600.0,1786289393.71411,1,1.0826,0.0575,,0.621,0.0266,0.25,NOMINAL,NOMINAL,STALE,0,
1647571500.0,1786289393.8391392,1,1.0371,0.0543,,0.618,0.0266,0.388,NOMINAL,NOMINAL,STALE,0,
1647572400.0,1786289393.9639614,1,1.0067,0.0532,,0.597,0.0268,0.256,NOMINAL,NOMINAL,STALE,0,
1647573300.0,1786289394.0892434,1,1.0903,0.0564,,0.638,0.0297,0.306,NOMINAL,NOMINAL,STALE,0,
1647574200.0,1786289394.2143183,1,1.1392,0.0565,,0.652,0.0279,0.345,NOMINAL,NOMINAL,STALE,0,
1647575100.0,1786289394.3389707,1,1.0038,0.0542,,0.572,0.0253,0.315,NOMINAL,NOMINAL,STALE,0,
1647576000.0,1786289394.4639745,1,1.0064,0.056,,0.567,0.0249,0.3,NOMINAL,NOMINAL,STALE,0,
1647576900.0,1786289394.589038,1,1.0094,0.0543,,0.598,0.0276,0.29,NOMINAL,NOMINAL,STALE,0,
1647577800.0,1786289394.7142296,1,1.1208,0.058,,0.632,0.0259,0.301,NOMINAL,NOMINAL,STALE,0,
1647578700.0,1786289394.8389213,1,1.0091,0.0533,,0.583,0.0274,0.248,NOMINAL,NOMINAL,STALE,0,
1647579600.0,1786289394.964358,1,1.1692,0.0541,,0.659,0.0259,0.419,NOMINAL,NOMINAL,STALE,0,
