timestamp,event,state,ap_state,nav_state,action_ms,e2e_ms,passive,ai_gate_mode,arming_state,no_px4
1787420397.2248223,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.852,,0,gate,0,1
1787420397.9730558,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.66,,0,gate,0,1
1787420401.0967789,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.643,,0,gate,0,1
1787420402.7226686,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.735,,0,gate,0,1
1787420403.5965707,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.498,,0,gate,0,1
1787420408.9708529,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.555,,0,gate,0,1
1787420409.8464649,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.503,,0,gate,0,1
1787420413.7244923,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,2.04,,0,gate,0,1
1787420414.5922468,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.835,,0,gate,0,1
1787420415.4728374,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.735,,0,gate,0,1
1787420419.9704435,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.535,,0,gate,0,1
1787420420.8487983,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.715,,0,gate,0,1
1787420425.6005938,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,2.303,,0,gate,0,1
1787420427.2237396,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,1.756,,0,gate,0,1
1787420428.0990322,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,2.211,,0,gate,0,1
