phys_ts,ai_pub_wall_ts,ap_state,status,alert_transport_ms,preproc_ms,infer_ms,activation_total_ms,per_model_ms,n_models,p_event,y_pred
1641863700.0,1787421546.4732718,PRE_ALERT,INSUFFICIENT_DATA,2.439,0.0255,0.0,0.242,[],1,,
1641869100.0,1787421547.2222958,PRE_ALERT,INSUFFICIENT_DATA,3.506,0.0206,0.0,0.1961,[],1,,
1641891600.0,1787421550.3618047,PRE_ALERT,OK,4.089,2.1487,10.8609,13.3031,[9.3804],1,0.2693178057670593,0
1641903300.0,1787421551.9859986,PRE_ALERT,OK,2.37,1.4697,9.4556,11.2081,[8.2486],1,0.2363550066947937,0
1641909600.0,1787421552.8555548,PRE_ALERT,OK,1.65,1.4174,9.8681,11.633,[8.4769],1,0.15687406063079834,0
1641948300.0,1787421558.2302878,PRE_ALERT,OK,1.534,1.4875,9.4663,11.2551,[8.26],1,0.22534584999084473,0
1641954600.0,1787421559.106567,PRE_ALERT,OK,1.894,1.447,9.3559,11.085,[8.2035],1,0.20434802770614624,0
1641982500.0,1787421562.9814067,PRE_ALERT,OK,2.362,1.491,9.2616,11.0506,[8.1381],1,0.17127591371536255,0
1641988800.0,1787421563.8568895,PRE_ALERT,OK,2.479,1.6152,9.6934,11.583,[8.3255],1,0.13405144214630127,0
1641995100.0,1787421564.7322197,PRE_ALERT,OK,1.863,1.4371,9.8969,11.604,[8.5423],1,0.1602122187614441,0
1642027500.0,1787421569.2303553,PRE_ALERT,OK,1.517,1.5,9.8167,11.6468,[8.5035],1,0.19856983423233032,0
1642033800.0,1787421570.095254,PRE_ALERT,OK,0.9,0.5842,4.57,5.2669,[4.0155],1,0.1860831379890442,0
1642068000.0,1787421574.8562417,PRE_ALERT,OK,1.693,1.4451,9.694,11.4479,[8.4048],1,0.1710376739501953,0
1642079700.0,1787421576.4814734,PRE_ALERT,OK,1.577,1.506,9.6241,11.4172,[8.3986],1,0.2195565104484558,0
1642086000.0,1787421577.355737,PRE_ALERT,OK,2.008,1.4476,9.4354,11.183,[8.1975],1,0.12804800271987915,0
1642113000.0,1787421581.107791,PRE_ALERT,OK,2.1,1.4896,9.5132,11.2852,[8.237],1,0.2137739062309265,0
1642124700.0,1787421582.7310748,PRE_ALERT,OK,1.44,1.4952,9.9368,11.7381,[8.6398],1,0.1778622269630432,0
1642131000.0,1787421583.6055777,PRE_ALERT,OK,1.328,1.4507,9.5441,11.2923,[8.3178],1,0.17411047220230103,0
1642158900.0,1787421587.483664,PRE_ALERT,OK,2.324,1.9866,11.1843,13.5511,[9.6974],1,0.19476819038391113,0
1642165200.0,1787421588.3600588,PRE_ALERT,OK,2.417,1.6059,12.4427,14.3721,[11.0544],1,0.15923351049423218,0
1642203900.0,1787421593.73168,PRE_ALERT,OK,1.481,1.435,9.5141,11.1871,[8.2031],1,0.21356678009033203,0
1642210200.0,1787421594.6049557,PRE_ALERT,OK,1.53,1.43,9.6367,11.3267,[8.3382],1,0.16652911901474,0
1642238100.0,1787421598.4828665,PRE_ALERT,OK,1.755,1.8423,9.5476,11.6588,[8.281],1,0.09740769863128662,0
1642244400.0,1787421599.3549414,PRE_ALERT,OK,1.42,1.4938,9.6155,11.4008,[8.3881],1,0.15650027990341187,0
1642256100.0,1787421600.98068,PRE_ALERT,OK,1.479,1.4536,9.6707,11.4135,[8.3945],1,0.23272430896759033,0
1642283100.0,1787421604.7299345,PRE_ALERT,OK,1.428,1.5405,9.6411,11.4487,[8.4327],1,0.23550289869308472,0
1642289400.0,1787421605.608788,PRE_ALERT,OK,1.792,3.1979,9.6942,13.1784,[8.3826],1,0.15974581241607666,0
1642294800.0,1787421606.3569613,PRE_ALERT,OK,2.059,1.4761,9.3001,11.0512,[8.1015],1,0.1484350562095642,0
