phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1641772800.0,1787421533.843744,1,3.5089,0.1211,0.0608,3.106,0.0369,0.358,NOMINAL,NOMINAL,STALE,0,
1641773700.0,1787421533.9678402,1,3.7571,0.1518,,2.805,0.0323,0.359,NOMINAL,NOMINAL,STALE,0,
1641774600.0,1787421534.0923498,1,3.6481,0.1308,,2.725,0.0491,0.544,NOMINAL,NOMINAL,STALE,0,
1641775500.0,1787421534.217979,1,3.7845,0.1481,,3.036,0.1117,1.028,NOMINAL,NOMINAL,STALE,0,
1641776400.0,1787421534.342661,1,4.0819,0.1612,,2.067,0.0904,0.861,NOMINAL,NOMINAL,STALE,0,
1641777300.0,1787421534.4675379,1,3.9001,0.1582,,2.357,0.0968,0.907,NOMINAL,NOMINAL,STALE,0,
1641778200.0,1787421534.5922778,1,3.8373,0.1495,,2.383,0.0829,0.845,NOMINAL,NOMINAL,STALE,0,
1641779100.0,1787421534.717196,1,3.8985,0.1505,,2.279,0.1015,0.853,NOMINAL,NOMINAL,STALE,0,
1641780000.0,1787421534.8420691,1,3.7076,0.1755,,2.404,0.0874,0.785,NOMINAL,NOMINAL,STALE,0,
1641780900.0,1787421534.9681647,1,4.0192,0.1565,,2.671,0.1059,0.907,NOMINAL,NOMINAL,STALE,0,
1641781800.0,1787421535.0923233,1,3.2172,0.165,,3.749,0.1158,1.019,NOMINAL,NOMINAL,STALE,0,
1641782700.0,1787421535.2219503,1,4.5821,0.1861,,3.711,0.1216,1.225,NOMINAL,NOMINAL,STALE,0,
1641783600.0,1787421535.3444347,1,4.5514,0.18,,2.162,0.1091,0.991,NOMINAL,NOMINAL,STALE,0,
1641784500.0,1787421535.4687963,1,4.2609,0.1658,,2.718,0.1264,1.02,NOMINAL,NOMINAL,STALE,0,
