phys_ts,n_channels,zbuf_update_ms
1641772800.0,1,0.00496
1641773700.0,1,0.00438
1641774600.0,1,0.01456
1641775500.0,1,0.01414
1641776400.0,1,0.01738
1641777300.0,1,0.01741
1641778200.0,1,0.01501
1641779100.0,1,0.01763
1641780000.0,1,0.01421
1641780900.0,1,0.0193
1641781800.0,1,0.02247
1641782700.0,1,0.02151
1641783600.0,1,0.01888
1641784500.0,1,0.02179
1641785400.0,1,0.02115
1641786300.0,1,0.02
1641787200.0,1,0.01984
1641788100.0,1,0.01635
1641789000.0,1,0.01882
1641789900.0,1,0.01811
1641790800.0,1,0.0183
1641791700.0,1,0.01917
1641792600.0,1,0.01776
1641793500.0,1,0.01981
1641794400.0,1,0.01958
1641795300.0,1,0.02221
1641796200.0,1,0.01702
1641797100.0,1,0.01562
1641798000.0,1,0.01978
1641798900.0,1,0.01712
1641799800.0,1,0.01462
1641800700.0,1,0.01318
1641801600.0,1,0.01568
1641802500.0,1,0.03843
1641803400.0,1,0.01661
1641804300.0,1,0.01245
1641805200.0,1,0.01629
1641806100.0,1,0.01466
1641807000.0,1,0.0137
1641807900.0,1,0.01402
1641808800.0,1,0.0135
1641809700.0,1,0.01341
1641810600.0,1,0.01846
1641811500.0,1,0.01654
1641812400.0,1,0.0184
1641813300.0,1,0.01642
1641814200.0,1,0.01789
1641815100.0,1,0.01741
1641816000.0,1,0.01645
1641816900.0,1,0.01674
1641817800.0,1,0.00771
1641818700.0,1,0.02192
1641819600.0,1,0.01888
1641820500.0,1,0.01773
1641821400.0,1,0.01382
1641822300.0,1,0.0103
1641823200.0,1,0.01056
1641824100.0,1,0.01402
1641825000.0,1,0.01702
1641825900.0,1,0.02314
1641826800.0,1,0.01574
1641827700.0,1,0.01728
1641828600.0,1,0.01187
1641829500.0,1,0.01242
1641830400.0,1,0.01152
1641831300.0,1,0.02282
1641832200.0,1,0.02259
1641833100.0,1,0.01555
1641834000.0,1,0.0128
1641834900.0,1,0.0129
1641835800.0,1,0.01318
1641836700.0,1,0.0144
1641837600.0,1,0.01619
1641838500.0,1,0.01805
1641839400.0,1,0.01949
1641840300.0,1,0.01885
1641841200.0,1,0.01766
1641842100.0,1,0.01482
1641843000.0,1,0.0183
1641843900.0,1,0.03667
1641844800.0,1,0.01574
1641845700.0,1,0.01488
1641846600.0,1,0.01754
1641847500.0,1,0.01959
1641848400.0,1,0.01587
1641849300.0,1,0.01578
1641850200.0,1,0.01475
1641851100.0,1,0.01472
1641852000.0,1,0.01549
1641852900.0,1,0.0153
1641853800.0,1,0.00982
1641854700.0,1,0.02234
1641855600.0,1,0.02128
1641856500.0,1,0.02163
1641857400.0,1,0.01594
1641858300.0,1,0.01485
1641859200.0,1,0.03277
1641860100.0,1,0.02976
1641861000.0,1,0.028
1641861900.0,1,0.03152
1641862800.0,1,0.03187
1641863700.0,1,0.02803
1641864600.0,1,0.02365
1641865500.0,1,0.0223
1641866400.0,1,0.02525
1641867300.0,1,0.02589
1641868200.0,1,0.02871
1641869100.0,1,0.03152
1641870000.0,1,0.01933
1641870900.0,1,0.01843
1641871800.0,1,0.02784
1641872700.0,1,0.02394
1641873600.0,1,0.02534
1641874500.0,1,0.02557
1641875400.0,1,0.02512
1641876300.0,1,0.02899
1641877200.0,1,0.07184
1641878100.0,1,0.02714
1641879000.0,1,0.03094
1641879900.0,1,0.02704
1641880800.0,1,0.02931
1641881700.0,1,0.02659
1641882600.0,1,0.02675
1641883500.0,1,0.02512
1641884400.0,1,0.03677
1641885300.0,1,0.02064
1641886200.0,1,0.02554
1641887100.0,1,0.02909
1641888000.0,1,0.02614
1641888900.0,1,0.04288
1641889800.0,1,0.00954
1641890700.0,1,0.03446
1641891600.0,1,0.03405
1641892500.0,1,0.02608
1641893400.0,1,0.02563
1641894300.0,1,0.02752
