phys_ts,ai_pub_wall_ts,ap_state,status,alert_transport_ms,preproc_ms,infer_ms,activation_total_ms,per_model_ms,n_models,p_event,y_pred
1641948300.0,1787425519.1602101,PRE_ALERT,OK,1.571,2.2593,10.5011,13.0249,[9.114],1,0.22534584999084473,0
1641954600.0,1787425520.0320866,PRE_ALERT,OK,1.347,1.6256,10.1844,12.0743,[8.8654],1,0.20434802770614624,0
1641982500.0,1787425523.905549,PRE_ALERT,OK,1.355,1.4058,9.3031,10.9489,[8.13],1,0.17127591371536255,0
1641988800.0,1787425524.7805774,PRE_ALERT,OK,1.424,1.5334,9.5033,11.2978,[8.2748],1,0.13405144214630127,0
1641995100.0,1787425525.6575713,PRE_ALERT,OK,1.538,1.4072,9.7534,11.4052,[8.5488],1,0.1602122187614441,0
1642027500.0,1787425530.1575248,PRE_ALERT,OK,1.563,1.5057,9.5103,11.3022,[8.2723],1,0.19856983423233032,0
1642033800.0,1787425531.030927,PRE_ALERT,OK,1.844,1.4528,8.7159,10.3844,[7.447],1,0.1860831379890442,0
1642068000.0,1787425535.7830238,PRE_ALERT,OK,2.11,1.4653,9.2199,10.9559,[8.0316],1,0.1710376739501953,0
1642079700.0,1787425537.4084692,PRE_ALERT,OK,2.219,1.4644,9.6218,11.3382,[8.505],1,0.2195565104484558,0
1642086000.0,1787425538.2828212,PRE_ALERT,OK,2.724,1.4781,9.9126,11.6451,[8.7569],1,0.12804800271987915,0
1642113000.0,1787425542.0332077,PRE_ALERT,OK,1.52,1.4666,10.3211,12.1783,[8.9059],1,0.2137739062309265,0
1642124700.0,1787425543.6556494,PRE_ALERT,OK,1.197,1.5264,9.2934,11.1116,[8.0843],1,0.1778622269630432,0
1642131000.0,1787425544.5312226,PRE_ALERT,OK,1.571,1.4541,9.6455,11.4196,[8.4217],1,0.17411047220230103,0
1642158900.0,1787425548.4064758,PRE_ALERT,OK,1.24,1.4568,9.8652,11.55,[8.6019],1,0.19476819038391113,0
1642165200.0,1787425549.2818685,PRE_ALERT,OK,1.682,1.4387,9.6142,11.3291,[8.4148],1,0.15923351049423218,0
1642203900.0,1787425554.658341,PRE_ALERT,OK,1.281,1.5578,10.7908,12.708,[9.4613],1,0.21356678009033203,0
1642210200.0,1787425555.535015,PRE_ALERT,OK,2.359,1.4475,10.799,12.5076,[9.6389],1,0.16652911901474,0
1642238100.0,1787425559.4070742,PRE_ALERT,OK,1.146,1.4385,9.2538,10.9684,[7.9837],1,0.09740769863128662,0
1642244400.0,1787425560.2809396,PRE_ALERT,OK,2.1,1.4547,6.1908,7.7305,[5.6951],1,0.15650027990341187,0
1642256100.0,1787425561.9069364,PRE_ALERT,OK,1.305,1.4126,10.3617,11.9911,[9.1527],1,0.23272430896759033,0
1642283100.0,1787425565.656574,PRE_ALERT,OK,1.479,1.4695,9.4106,11.1041,[8.2349],1,0.23550289869308472,0
1642289400.0,1787425566.5347977,PRE_ALERT,OK,1.795,1.8831,10.3444,12.5137,[9.1314],1,0.15974581241607666,0
