phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1641778200.0,1787426999.3338008,1,1.3733,0.0601,,315.083,0.0345,0.335,NOMINAL,NOMINAL,STALE,0,
1641779100.0,1787426999.3378637,1,1.122,0.0564,,0.46,0.0165,0.198,NOMINAL,NOMINAL,STALE,0,
1641780000.0,1787426999.394541,1,1.19,0.0573,,0.949,0.0325,0.49,NOMINAL,NOMINAL,STALE,0,
1641780900.0,1787426999.519073,1,1.1809,0.0583,,0.767,0.0313,0.296,NOMINAL,NOMINAL,STALE,0,
1641781800.0,1787426999.6439161,1,1.0763,0.0569,,0.698,0.031,0.364,NOMINAL,NOMINAL,STALE,0,
1641782700.0,1787426999.7689202,1,1.1225,0.0571,,0.719,0.0294,0.278,NOMINAL,NOMINAL,STALE,0,
1641783600.0,1787426999.8941245,1,1.1537,0.0581,,0.732,0.0302,0.393,NOMINAL,NOMINAL,STALE,0,
1641784500.0,1787427000.0193682,1,1.2209,0.0621,,0.873,0.0331,0.298,NOMINAL,NOMINAL,STALE,0,
1641785400.0,1787427000.1444056,1,1.2044,0.0613,,0.848,0.0325,0.357,NOMINAL,NOMINAL,STALE,0,
1641786300.0,1787427000.2691867,1,1.1809,0.0594,,0.69,0.0322,0.315,NOMINAL,NOMINAL,STALE,0,
1641787200.0,1787427000.394148,1,1.1691,0.0574,,0.838,0.0326,0.309,NOMINAL,NOMINAL,STALE,0,
1641788100.0,1787427000.5189486,1,1.1607,0.056,,0.723,0.0318,0.282,NOMINAL,NOMINAL,STALE,0,
1641789000.0,1787427000.644076,1,1.1505,0.0581,,0.756,0.0308,0.378,NOMINAL,NOMINAL,STALE,0,
1641789900.0,1787427000.7697146,1,1.2228,0.062,,0.924,0.0337,0.431,NOMINAL,NOMINAL,STALE,0,
1641790800.0,1787427000.8944962,1,1.264,0.064,,0.885,0.0316,0.295,NOMINAL,NOMINAL,STALE,0,
1641791700.0,1787427001.0193274,1,1.2267,0.061,,0.839,0.034,0.359,NOMINAL,NOMINAL,STALE,0,
1641792600.0,1787427001.1440077,1,1.15,0.0589,,0.715,0.03,0.351,NOMINAL,NOMINAL,STALE,0,
1641793500.0,1787427001.2687976,1,1.1368,0.0615,,0.566,0.0292,0.296,NOMINAL,NOMINAL,STALE,0,
1641794400.0,1787427001.3943164,1,1.1705,0.058,,0.925,0.0299,0.371,NOMINAL,NOMINAL,STALE,0,
1641795300.0,1787427001.5190187,1,1.1696,0.0582,,0.725,0.0311,0.332,NOMINAL,NOMINAL,STALE,0,
1641796200.0,1787427001.6440125,1,1.1172,0.0594,,0.702,0.0317,0.403,NOMINAL,NOMINAL,STALE,0,
1641797100.0,1787427001.7697635,1,1.232,0.0605,,0.943,0.1232,0.449,NOMINAL,NOMINAL,STALE,0,
1641798000.0,1787427001.8945649,1,1.1998,0.0616,,0.961,0.0309,0.357,NOMINAL,NOMINAL,STALE,0,
1641798900.0,1787427002.0192108,1,1.2037,0.0611,,0.818,0.0337,0.346,NOMINAL,NOMINAL,STALE,0,
1641799800.0,1787427002.1441526,1,1.1525,0.0587,,0.723,0.0985,0.417,NOMINAL,NOMINAL,STALE,0,
1641800700.0,1787427002.268894,1,1.1567,0.0569,,0.585,0.0299,0.306,NOMINAL,NOMINAL,STALE,0,
1641801600.0,1787427002.3940144,1,1.1102,0.0555,,0.742,0.0514,0.372,NOMINAL,NOMINAL,STALE,0,
1641802500.0,1787427002.5190487,1,1.1951,0.059,,0.702,0.0299,0.285,NOMINAL,NOMINAL,STALE,0,
1641803400.0,1787427002.6441422,1,1.1242,0.0572,,0.684,0.0295,0.525,NOMINAL,NOMINAL,STALE,0,
1641804300.0,1787427002.7687998,1,1.0899,0.0578,,0.646,0.0297,0.288,NOMINAL,NOMINAL,STALE,0,
1641805200.0,1787427002.8946507,1,1.2046,0.061,,0.977,0.0517,0.433,NOMINAL,NOMINAL,STALE,0,
1641806100.0,1787427003.019199,1,1.2108,0.0627,,0.76,0.032,0.292,NOMINAL,NOMINAL,STALE,0,
1641807000.0,1787427003.144279,1,1.1786,0.0596,,0.833,0.033,0.351,NOMINAL,NOMINAL,STALE,0,
1641807900.0,1787427003.2688704,1,1.131,0.0588,,0.601,0.0303,0.272,NOMINAL,NOMINAL,STALE,0,
1641808800.0,1787427003.393915,1,1.1043,0.0589,,0.719,0.0512,0.33,NOMINAL,NOMINAL,STALE,0,
1641809700.0,1787427003.5194018,1,1.2441,0.0605,,0.828,0.0338,0.321,NOMINAL,NOMINAL,STALE,0,
1641810600.0,1787427003.6439815,1,1.1331,0.0583,,0.638,0.0299,0.351,NOMINAL,NOMINAL,STALE,0,
1641811500.0,1787427003.7689161,1,1.1373,0.06,,0.663,0.0297,0.273,NOMINAL,NOMINAL,STALE,0,
1641812400.0,1787427003.8938553,1,1.1218,0.058,,0.669,0.0284,0.273,NOMINAL,NOMINAL,STALE,0,
1641813300.0,1787427004.0190012,1,1.1784,0.0611,,0.716,0.0302,0.278,NOMINAL,NOMINAL,STALE,0,
1641814200.0,1787427004.1441894,1,1.1581,0.0596,,0.751,0.03,0.391,NOMINAL,NOMINAL,STALE,0,
1641815100.0,1787427004.2687974,1,1.1448,0.0577,,0.532,0.0284,0.271,NOMINAL,NOMINAL,STALE,0,
1641816000.0,1787427004.3939943,1,1.1226,0.0585,,0.715,0.0329,0.359,NOMINAL,NOMINAL,STALE,0,
1641816900.0,1787427004.519016,1,1.1767,0.058,,0.705,0.0328,0.284,NOMINAL,NOMINAL,STALE,0,
1641817800.0,1787427004.644038,1,1.1431,0.0596,,0.658,0.0313,0.353,NOMINAL,NOMINAL,STALE,0,
1641818700.0,1787427004.7689335,1,1.1118,0.0585,,0.679,0.0302,0.28,NOMINAL,NOMINAL,STALE,0,
1641819600.0,1787427004.894132,1,1.1424,0.0592,,0.756,0.0305,0.398,NOMINAL,NOMINAL,STALE,0,
1641820500.0,1787427005.0192091,1,1.191,0.0623,,0.793,0.0313,0.341,NOMINAL,NOMINAL,STALE,0,
1641821400.0,1787427005.1440673,1,1.1213,0.0617,,0.701,0.0295,0.401,NOMINAL,NOMINAL,STALE,0,
1641822300.0,1787427005.2688088,1,1.1258,0.0599,,0.567,0.0282,0.271,NOMINAL,NOMINAL,STALE,0,
1641823200.0,1787427005.3940947,1,1.1972,0.0799,,0.694,0.0293,0.271,NOMINAL,NOMINAL,STALE,0,
1641824100.0,1787427005.5190213,1,1.1862,0.0606,,0.7,0.0315,0.278,NOMINAL,NOMINAL,STALE,0,
1641825000.0,1787427005.6439154,1,1.1307,0.0573,,0.674,0.0277,0.271,NOMINAL,NOMINAL,STALE,0,
1641825900.0,1787427005.7696402,1,1.2264,0.0641,,0.875,0.0306,0.411,NOMINAL,NOMINAL,STALE,0,
1641826800.0,1787427005.8943694,1,1.2174,0.086,,0.825,0.0318,0.385,NOMINAL,NOMINAL,STALE,0,
1641827700.0,1787427006.0191917,1,1.2076,0.0597,,0.789,0.0313,0.29,NOMINAL,NOMINAL,STALE,0,
1641828600.0,1787427006.1443486,1,1.1539,0.0591,,0.872,0.0716,0.382,NOMINAL,NOMINAL,STALE,0,
1641829500.0,1787427006.268836,1,1.1581,0.058,,0.56,0.0304,0.274,NOMINAL,NOMINAL,STALE,0,
1641830400.0,1787427006.3937767,1,1.1075,0.0554,,0.633,0.0302,0.276,NOMINAL,NOMINAL,STALE,0,
1641831300.0,1787427006.519088,1,1.161,0.0576,,0.82,0.0308,0.283,NOMINAL,NOMINAL,STALE,0,
1641832200.0,1787427006.6438832,1,1.1456,0.0579,,0.637,0.0304,0.276,NOMINAL,NOMINAL,STALE,0,
1641833100.0,1787427006.7705646,1,1.245,0.0639,,1.0,0.0324,1.196,NOMINAL,NOMINAL,STALE,0,
1641834000.0,1787427006.8945467,1,1.2036,0.0626,,0.825,0.0324,0.47,NOMINAL,NOMINAL,STALE,0,
1641834900.0,1787427007.0193188,1,1.2111,0.0602,,0.779,0.0342,0.441,NOMINAL,NOMINAL,STALE,0,
1641835800.0,1787427007.1441426,1,1.1419,0.0601,,0.705,0.0311,0.438,NOMINAL,NOMINAL,STALE,0,
1641836700.0,1787427007.2689238,1,1.1705,0.0604,,0.579,0.0313,0.286,NOMINAL,NOMINAL,STALE,0,
1641837600.0,1787427007.3940032,1,1.1059,0.0588,,0.662,0.0288,0.436,NOMINAL,NOMINAL,STALE,0,
1641838500.0,1787427007.5191143,1,1.183,0.0584,,0.703,0.0323,0.315,NOMINAL,NOMINAL,STALE,0,
1641839400.0,1787427007.6439092,1,1.1391,0.0601,,0.658,0.0307,0.277,NOMINAL,NOMINAL,STALE,0,
1641840300.0,1787427007.7688377,1,1.1069,0.0582,,0.652,0.0294,0.275,NOMINAL,NOMINAL,STALE,0,
1641841200.0,1787427007.8944712,1,1.2079,0.0636,,0.915,0.0342,0.31,NOMINAL,NOMINAL,STALE,0,
1641842100.0,1787427008.0190482,1,1.1856,0.0588,,0.67,0.0314,0.287,NOMINAL,NOMINAL,STALE,0,
1641843000.0,1787427008.1441593,1,1.1602,0.0588,,0.718,0.0308,0.406,NOMINAL,NOMINAL,STALE,0,
1641843900.0,1787427008.269106,1,1.1728,0.0588,,0.655,0.029,0.384,NOMINAL,NOMINAL,STALE,0,
