phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1641772800.0,1787428708.8147612,1,1.2438,0.0537,0.0322,0.756,0.0339,0.309,NOMINAL,NOMINAL,STALE,0,
1641773700.0,1787428708.9386353,1,0.9493,0.0535,,0.574,0.0244,0.262,NOMINAL,NOMINAL,STALE,0,
1641774600.0,1787428709.0636973,1,0.9872,0.0524,,0.581,0.0244,0.227,NOMINAL,NOMINAL,STALE,0,
1641775500.0,1787428709.1884556,1,0.9027,0.0537,,0.511,0.0224,0.205,NOMINAL,NOMINAL,STALE,0,
1641776400.0,1787428709.3135788,1,0.9148,0.0541,,0.575,0.0228,0.218,NOMINAL,NOMINAL,STALE,0,
1641777300.0,1787428709.4397135,1,1.2461,0.0605,,0.87,0.0322,0.295,NOMINAL,NOMINAL,STALE,0,
1641778200.0,1787428709.5635624,1,0.9459,0.0518,,0.541,0.0221,0.225,NOMINAL,NOMINAL,STALE,0,
1641779100.0,1787428709.688811,1,1.0128,0.0537,,0.624,0.0243,0.244,NOMINAL,NOMINAL,STALE,0,
1641780000.0,1787428709.8135564,1,0.9473,0.0536,,0.546,0.0228,0.239,NOMINAL,NOMINAL,STALE,0,
1641780900.0,1787428709.9384012,1,0.9016,0.0528,,0.506,0.0198,0.2,NOMINAL,NOMINAL,STALE,0,
1641781800.0,1787428710.0635352,1,0.8965,0.0528,,0.556,0.0209,0.212,NOMINAL,NOMINAL,STALE,0,
1641782700.0,1787428710.1885154,1,0.8973,0.0515,,0.533,0.0224,0.214,NOMINAL,NOMINAL,STALE,0,
1641783600.0,1787428710.3134596,1,0.8532,0.0507,,0.55,0.0205,0.231,NOMINAL,NOMINAL,STALE,0,
1641784500.0,1787428710.439373,1,1.2202,0.0569,,0.703,0.028,0.258,NOMINAL,NOMINAL,STALE,0,
1641785400.0,1787428710.5637302,1,1.0052,0.0527,,0.57,0.0262,0.232,NOMINAL,NOMINAL,STALE,0,
1641786300.0,1787428710.688487,1,0.887,0.0536,,0.553,0.0231,0.214,NOMINAL,NOMINAL,STALE,0,
1641787200.0,1787428710.8133545,1,0.8404,0.0509,,0.52,0.0199,0.205,NOMINAL,NOMINAL,STALE,0,
1641788100.0,1787428710.9383047,1,0.8347,0.0514,,0.497,0.0194,0.197,NOMINAL,NOMINAL,STALE,0,
1641789000.0,1787428711.063339,1,0.817,0.0506,,0.516,0.0195,0.199,NOMINAL,NOMINAL,STALE,0,
1641789900.0,1787428711.1885054,1,0.8846,0.0529,,0.539,0.0213,0.209,NOMINAL,NOMINAL,STALE,0,
1641790800.0,1787428711.3134284,1,0.8367,0.0512,,0.569,0.0214,0.206,NOMINAL,NOMINAL,STALE,0,
1641791700.0,1787428711.4384336,1,0.8647,0.0489,,0.513,0.0209,0.23,NOMINAL,NOMINAL,STALE,0,
1641792600.0,1787428711.563408,1,0.8493,0.0496,,0.536,0.0199,0.209,NOMINAL,NOMINAL,STALE,0,
1641793500.0,1787428711.6887496,1,0.9416,0.0532,,0.675,0.026,0.239,NOMINAL,NOMINAL,STALE,0,
1641794400.0,1787428711.8134928,1,0.9132,0.0516,,0.528,0.0223,0.217,NOMINAL,NOMINAL,STALE,0,
1641795300.0,1787428711.938762,1,1.0713,0.0554,,0.541,0.0214,0.221,NOMINAL,NOMINAL,STALE,0,
1641796200.0,1787428712.0635438,1,0.9404,0.0553,,0.522,0.0205,0.208,NOMINAL,NOMINAL,STALE,0,
