phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1705023000.0,1787428963.8849108,1,1.1776,0.0595,,0.922,0.0357,0.325,NOMINAL,NOMINAL,STALE,0,
1705023900.0,1787428964.0089777,1,0.8764,0.0529,,0.679,0.0265,0.278,NOMINAL,NOMINAL,STALE,0,
1705024800.0,1787428964.1343014,1,1.0156,0.0582,,0.726,0.0265,0.246,NOMINAL,NOMINAL,STALE,0,
1705025700.0,1787428964.2589312,1,0.8563,0.0523,,0.647,0.0259,0.262,NOMINAL,NOMINAL,STALE,0,
1705026600.0,1787428964.3839571,1,0.8651,0.052,,0.651,0.0242,0.227,NOMINAL,NOMINAL,STALE,0,
1705027500.0,1787428964.508681,1,0.7969,0.0518,,0.56,0.0232,0.216,NOMINAL,NOMINAL,STALE,0,
1705028400.0,1787428964.6340125,1,0.8843,0.0822,,0.617,0.0243,0.236,NOMINAL,NOMINAL,STALE,0,
1705029300.0,1787428964.7599387,1,1.2139,0.0618,,0.858,0.0323,0.284,NOMINAL,NOMINAL,STALE,0,
1705030200.0,1787428964.884144,1,0.9646,0.0537,,0.679,0.0263,0.247,NOMINAL,NOMINAL,STALE,0,
1705031100.0,1787428965.0092669,1,1.0473,0.0562,,0.61,0.0495,0.269,NOMINAL,NOMINAL,STALE,0,
1705032000.0,1787428965.4005938,1,1.3333,0.0643,,266.181,0.0307,0.306,NOMINAL,NOMINAL,STALE,0,
1705032900.0,1787428965.4043763,1,1.2311,0.0578,,0.466,0.0188,0.19,NOMINAL,NOMINAL,STALE,0,
1705033800.0,1787428965.5093129,1,1.0856,0.0571,,0.563,0.0253,0.374,NOMINAL,NOMINAL,STALE,0,
1705034700.0,1787428965.63482,1,1.218,0.0611,,0.862,0.0327,0.274,NOMINAL,NOMINAL,STALE,0,
1705035600.0,1787428965.7594926,1,1.1291,0.0585,,0.687,0.0302,0.278,NOMINAL,NOMINAL,STALE,0,
1705036500.0,1787428965.8841038,1,1.0198,0.0553,,0.59,0.0288,0.236,NOMINAL,NOMINAL,STALE,0,
1705037400.0,1787428966.0090334,1,0.986,0.0545,,0.586,0.025,0.229,NOMINAL,NOMINAL,STALE,0,
1705038300.0,1787428966.1343608,1,1.0917,0.0576,,0.66,0.0261,0.253,NOMINAL,NOMINAL,STALE,0,
1705039200.0,1787428966.2590275,1,1.032,0.0582,,0.526,0.0224,0.219,NOMINAL,NOMINAL,STALE,0,
1705040100.0,1787428966.3838873,1,0.9272,0.0575,,0.529,0.0217,0.215,NOMINAL,NOMINAL,STALE,0,
1705041000.0,1787428966.508776,1,0.908,0.055,,0.489,0.021,0.213,NOMINAL,NOMINAL,STALE,0,
1705041900.0,1787428966.6339262,1,0.9338,0.0633,,0.522,0.0215,0.212,NOMINAL,NOMINAL,STALE,0,
1705042800.0,1787428966.7593968,1,1.1183,0.0581,,0.597,0.0238,0.261,NOMINAL,NOMINAL,STALE,0,
1705043700.0,1787428966.8840578,1,1.0192,0.0564,,0.558,0.0215,0.226,NOMINAL,NOMINAL,STALE,0,
1705044600.0,1787428967.0089123,1,0.9545,0.0552,,0.508,0.0205,0.207,NOMINAL,NOMINAL,STALE,0,
1705045500.0,1787428967.1341548,1,1.0485,0.0572,,0.583,0.023,0.221,NOMINAL,NOMINAL,STALE,0,
1705046400.0,1787428967.259018,1,0.9943,0.057,,0.551,0.0228,0.22,NOMINAL,NOMINAL,STALE,0,
1705047300.0,1787428967.3838456,1,0.9293,0.0544,,0.521,0.0198,0.201,NOMINAL,NOMINAL,STALE,0,
1705048200.0,1787428967.5087976,1,0.9085,0.0565,,0.508,0.0202,0.21,NOMINAL,NOMINAL,STALE,0,
1705049100.0,1787428967.6340418,1,0.9877,0.0566,,0.544,0.0214,0.212,NOMINAL,NOMINAL,STALE,0,
1705050000.0,1787428967.7589927,1,0.9825,0.0552,,0.536,0.0203,0.23,NOMINAL,NOMINAL,STALE,0,
1705050900.0,1787428967.8838975,1,0.943,0.0545,,0.515,0.0199,0.206,NOMINAL,NOMINAL,STALE,0,
1705051800.0,1787428968.008895,1,0.9367,0.0547,,0.517,0.0201,0.209,NOMINAL,NOMINAL,STALE,0,
1705052700.0,1787428968.134193,1,1.0754,0.0577,,0.578,0.0213,0.22,NOMINAL,NOMINAL,STALE,0,
1705053600.0,1787428968.259067,1,0.9882,0.0542,,0.575,0.0215,0.216,NOMINAL,NOMINAL,STALE,0,
1705054500.0,1787428968.3838441,1,0.8833,0.0534,,0.6,0.0225,0.217,NOMINAL,NOMINAL,STALE,0,
1705055400.0,1787428968.5087583,1,0.8707,0.0532,,0.541,0.0214,0.216,NOMINAL,NOMINAL,STALE,0,
1705056300.0,1787428968.6338625,1,0.8774,0.0539,,0.612,0.0223,0.22,NOMINAL,NOMINAL,STALE,0,
1705057200.0,1787428968.7601662,1,1.2255,0.0597,,0.922,0.033,0.31,NOMINAL,NOMINAL,STALE,0,
1705058100.0,1787428968.8843317,1,1.0894,0.0565,,0.682,0.0269,0.25,NOMINAL,NOMINAL,STALE,0,
