folder,label,window_d,rep,n_active,wp_eval_ms_median,wp_eval_ms_mean,wp_eval_ms_p95,dds_transport_ms_median,dds_transport_ms_mean,dds_transport_ms_p95,fsm_infer_ms_median,fsm_infer_ms_mean,fsm_infer_ms_p95,node_latency_ms_median,node_latency_ms_mean,node_latency_ms_p95,power_mW_mean,power_mW_p95,gpu_%_mean,gpu_%_p95,cpu_%_mean,cpu_%_p95,ram_MB_mean,ram_MB_p95,action_ms_median,action_ms_mean,action_ms_n
20260614_143454_E3_2023-07_W7_rep1,E3_2023-07,7,1,2304,4.3191,4.232123784722223,4.41707,1.63,1.6610434027777778,2.0552499999999996,0.0448,0.04470368923611111,0.04848499999999999,0.5,0.5371657986111111,0.5738499999999999,3985.421875,4073.0,15.717447916666666,99.0,4.060199652777778,4.7,3045.9639756944443,3058.0,1.251,1.2814567901234566,324
20260614_165638_E1_2021-05_W30_rep1,E1_2021-05,30,1,1536,7.312749999999999,7.2557572265625,9.1609,1.311,1.3467428385416664,1.81125,0.0346,0.03651634114583333,0.0478,0.398,0.4312428385416666,0.534,4431.962890625,4505.0,15.487630208333334,99.0,4.609765625,5.3,3323.494140625,3329.0,0.987,1.0063684210526316,304
20260614_171818_E2_2022-03_W30_rep1,E2_2022-03,30,1,2112,7.3345,7.247167897727272,9.10648,1.352,1.386185606060606,1.8884499999999997,0.035949999999999996,0.038067613636363636,0.0489,0.403,0.4362315340909091,0.542,4421.301136363636,4505.0,15.110795454545455,99.0,4.752083333333334,5.389999999999963,3219.6155303030305,3224.0,0.89,0.952158844765343,277
20260614_174431_E3_2023-07_W30_rep1,E3_2023-07,30,1,2304,7.26185,7.16559045138889,9.01328,1.318,1.3593138020833333,1.86,0.0356,0.03833875868055556,0.0491,0.397,0.45456553819444445,0.576,4428.889322916667,4505.0,14.6796875,99.0,4.618142361111111,5.3,3158.2052951388887,3180.0,0.996,1.0550228758169937,306
20260614_181211_E3_2023-07_W30_rep2,E3_2023-07,30,2,2304,7.2799,7.180925998263888,9.077475,1.322,1.3667534722222223,1.84985,0.0354,0.03745876736111112,0.0483,0.394,0.4479613715277778,0.53,4420.21484375,4505.0,14.875,99.0,4.575998263888889,5.2,3171.4765625,3175.0,1.005,0.967895081967213,305
20260614_183948_E3_2023-07_W30_rep3,E3_2023-07,30,3,2304,7.629149999999999,7.462735243055556,9.360455,1.335,1.37183203125,1.858,0.0358,0.03857743055555555,0.0494,0.396,0.4556618923611112,0.574,4423.009548611111,4505.0,14.92404513888889,99.0,4.647656250000001,5.3,3232.6822916666665,3236.0,0.805,0.8098557377049179,305
20260614_190714_E4_2024-03_W30_rep1,E4_2024-03,30,1,1632,7.2954,7.2220345588235295,9.08428,1.332,1.361925857843137,1.84045,0.0355,0.03766905637254902,0.0484,0.398,0.43049019607843136,0.531,4418.125612745098,4505.0,14.424632352941176,99.0,4.593382352941177,5.2,3090.518382352941,3093.0,0.915,0.9313868613138686,274
20260614_192911_E5_2024-10_W30_rep1,E5_2024-10,30,1,2112,7.3259,7.082458996212121,8.96324,1.274,1.3217717803030302,1.7804499999999999,0.0345,0.03653475378787879,0.0473,0.41,0.4539545454545455,0.5704499999999998,4416.473958333333,4505.0,14.71875,99.0,4.6008522727272725,5.2,2974.3248106060605,2980.0,0.911,0.9257249999999999,80
20260614_195517_E1_2021-05_W7_rep1,E1_2021-05,7,1,1536,3.74395,3.5351531250000003,4.480725,1.323,1.335462890625,1.8042500000000001,0.0351,0.037069075520833335,0.0479,0.393,0.42347200520833334,0.51,4421.682291666667,4505.0,14.877604166666666,99.0,4.130924479166667,4.8,3064.0885416666665,3070.0,1.019,1.0261019736842103,304
20260614_201632_E2_2022-03_W7_rep1,E2_2022-03,7,1,2112,3.6597999999999997,3.3779193655303033,4.360645,1.306,1.3335558712121212,1.814,0.0364,0.03845066287878787,0.04924499999999998,0.398,0.4343868371212122,0.525,4417.106060606061,4505.0,15.159564393939394,99.0,4.108854166666667,4.7,3123.188446969697,3128.0,0.911,0.9120606060606059,297
