event_id,onset (UTC),peak (UTC),end (UTC),peak_count,ambiguous
61,2020-11-29 23:45,2020-12-01 01:00,2020-12-03 21:45,1011.5,
60,2021-05-28 17:15,2021-05-29 01:00,2021-05-30 05:00,1039.53,
1,2021-10-28 16:00,2021-10-28 22:15,2021-11-04 16:30,93.79,
2,2022-01-20 06:45,2022-01-20 12:30,2022-01-21 08:15,1152.03,
4,2022-03-28 10:30,2022-03-28 16:00,2022-03-29 15:45,15.15,
5,2022-03-30 22:45,2022-03-31 08:30,2022-04-01 04:00,4.08,
6,2022-04-02 07:30,2022-04-02 12:45,2022-04-03 17:00,641.54,
59,2022-07-09 06:15,2022-07-09 14:00,2022-07-10 07:15,217.82,
7,2022-08-27 07:00,2022-08-27 13:30,2022-08-28 05:00,722.06,
8,2023-02-24 20:00,2023-02-25 01:15,2023-02-25 08:30,936.79,
9,2023-02-25 18:30,2023-02-26 01:00,2023-02-27 16:45,946.39,
10,2023-03-12 17:15,2023-03-13 12:00,2023-03-16 17:00,949.0,
12,2023-05-07 19:00,2023-05-09 01:15,2023-05-09 19:00,579.67,
13,2023-05-09 16:45,2023-05-10 13:45,2023-05-12 18:45,762.83,
58,2023-07-10 06:00,2023-07-10 21:15,2023-07-11 15:00,1.0,yes
14,2023-07-17 18:30,2023-07-18 02:00,2023-07-21 08:00,896.97,
56,2023-07-24 16:45,2023-07-25 12:00,2023-07-28 15:30,1.57,yes
15,2023-07-28 12:15,2023-07-29 11:00,2023-08-02 05:30,417.24,
16,2023-08-05 02:45,2023-08-05 12:00,2023-08-07 21:15,844.89,
17,2023-08-07 17:00,2023-08-08 21:45,2023-08-11 17:45,34.31,
18,2023-08-31 18:30,2023-09-01 01:30,2023-09-03 06:30,1014.59,
19,2023-12-14 16:00,2023-12-15 18:45,2023-12-17 05:45,0.76,yes
20,2024-01-01 17:00,2024-01-04 01:45,2024-01-10 17:15,934.85,
55,2024-01-22 06:15,2024-01-22 15:15,2024-01-23 06:00,0.73,yes
21,2024-01-28 18:15,2024-01-29 12:30,2024-02-01 06:15,885.38,
22,2024-02-09 05:30,2024-02-10 02:15,2024-02-12 07:30,799.63,
24,2024-02-12 05:00,2024-02-13 01:15,2024-02-20 09:15,976.83,
25,2024-03-15 04:15,2024-03-16 01:45,2024-03-19 08:30,549.51,
26,2024-03-22 15:15,2024-03-24 14:00,2024-03-31 01:30,188.87,
27,2024-05-09 15:45,2024-05-11 12:00,2024-05-13 11:00,630.66,
28,2024-05-13 07:15,2024-05-14 01:30,2024-05-19 18:30,915.83,
50,2024-05-20 02:30,2024-05-21 00:45,2024-05-25 02:00,819.32,
29,2024-06-07 16:15,2024-06-08 08:30,2024-06-11 22:45,479.55,
49,2024-06-11 17:00,2024-06-12 12:45,2024-06-15 19:45,1123.44,
30,2024-07-22 16:45,2024-07-23 12:00,2024-07-26 18:00,640.22,
31,2024-08-05 06:15,2024-08-05 21:30,2024-08-07 06:15,24.4,
32,2024-09-01 05:15,2024-09-03 12:45,2024-09-06 16:15,3.17,
33,2024-09-08 18:30,2024-09-10 00:45,2024-09-11 05:30,1.29,yes
36,2024-09-14 08:15,2024-09-17 12:30,2024-09-21 05:15,529.87,
54,2024-09-23 17:45,2024-09-24 12:15,2024-09-26 18:00,0.98,yes
37,2024-10-07 16:45,2024-10-10 01:45,2024-10-12 16:30,707.91,
38,2024-10-24 04:30,2024-10-28 02:15,2024-11-05 13:15,683.51,
39,2024-11-21 16:15,2024-11-22 02:00,2024-11-25 08:30,827.19,
40,2024-12-20 16:00,2024-12-22 02:00,2024-12-28 18:45,1.64,yes
41,2025-01-04 15:45,2025-01-05 01:45,2025-01-07 00:30,668.24,
42,2025-02-24 15:00,2025-02-25 01:00,2025-02-27 17:30,655.98,
43,2025-03-30 04:30,2025-04-01 02:30,2025-04-04 06:15,15.97,
48,2025-05-13 06:30,2025-05-13 23:00,2025-05-14 18:30,156.76,
44,2025-05-31 04:45,2025-06-01 09:30,2025-06-08 11:30,57.67,
45,2025-08-21 19:15,2025-08-26 08:30,2025-09-02 20:00,34.28,
52,2025-10-21 16:00,2025-10-22 11:00,2025-10-26 23:30,0.87,yes
53,2025-11-04 19:00,2025-11-05 13:15,2025-11-06 18:45,975.2,
46,2025-11-10 05:00,2025-11-12 01:15,2025-11-17 06:00,761.21,
